,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,9.778286,9.872036,9.293911,9.700161,1869200,9.894403,0.194242
1/3/2001,9.628778,10.488153,9.628778,9.894403,3751600,9.080999,-0.813404
1/4/2001,10.112249,10.323187,8.393499,9.080999,7423200,8.765347,-0.315652
1/5/2001,9.109097,9.171597,8.499722,8.765347,2172400,9.299525,0.534178
1/8/2001,8.580775,9.362025,8.580775,9.299525,3538400,9.323809,0.024284
1/9/2001,9.136309,9.448809,9.073809,9.323809,2543200,9.66374,0.339931
1/10/2001,9.22624,10.16374,9.22624,9.66374,3056400,9.335951,-0.327789
1/11/2001,9.632826,9.820326,9.335951,9.335951,2761200,9.542335,0.206384
1/12/2001,9.27671,9.65171,9.27671,9.542335,3970400,9.493774,-0.048561
1/16/2001,9.525024,9.759399,9.431274,9.493774,1907200,9.518056,0.024282
1/17/2001,9.643056,9.814931,9.455556,9.518056,1474000,8.728928,-0.789128
1/18/2001,9.682053,9.713303,8.557053,8.728928,4550400,8.17047,-0.558458
1/19/2001,8.82672,8.82672,7.686095,8.17047,6192800,8.571104,0.400634
1/22/2001,8.117979,8.711729,8.071104,8.571104,2798000,9.068858,0.497754
1/23/2001,8.303233,9.068858,8.303233,9.068858,1855600,8.838188,-0.23067
1/24/2001,9.072563,9.103813,8.588188,8.838188,1892000,9.202403,0.364215
1/25/2001,8.733653,9.358653,8.718028,9.202403,950800,9.165982,-0.036421
1/26/2001,9.119107,9.556607,9.119107,9.165982,1905600,9.473378,0.307396
1/29/2001,8.968378,9.475878,8.938378,9.473378,1670400,9.321864,-0.151514
1/30/2001,9.436864,9.439364,9.224364,9.321864,1395600,9.290784,-0.03108
1/31/2001,9.210784,9.365784,9.083284,9.290784,844000,9.226684,-0.0641
2/1/2001,9.451684,9.451684,8.916684,9.226684,2734400,9.537479,0.310795
2/2/2001,9.362479,9.612479,9.199979,9.537479,1401600,9.718122,0.180643
2/5/2001,9.460622,9.873122,9.410622,9.718122,2099600,10.042518,0.324396
2/6/2001,9.625018,10.057518,9.625018,10.042518,1569600,9.93568,-0.106838
2/7/2001,10.04818,10.07068,9.56068,9.93568,889600,9.955108,0.019428
2/8/2001,9.892608,10.140108,9.892608,9.955108,1748400,10.159065,0.203957
2/9/2001,9.871565,10.184065,9.871565,10.159065,739200,10.396042,0.236977
2/12/2001,10.016042,10.766042,10.016042,10.396042,1780000,10.683527,0.287485
2/13/2001,10.496027,10.683527,10.308527,10.683527,2130400,10.650507,-0.03302
2/14/2001,10.593007,10.788007,10.518007,10.650507,1394000,10.353311,-0.297196
2/15/2001,10.553311,10.690811,10.278311,10.353311,1747600,10.633028,0.279717
2/16/2001,10.148028,10.713028,10.073028,10.633028,1330400,10.747631,0.114603
2/20/2001,10.662631,10.955131,10.602631,10.747631,1784000,10.625255,-0.122376
2/21/2001,10.600255,11.050255,10.425255,10.625255,1692400,10.611655,-0.0136
2/22/2001,10.629155,10.721655,10.391655,10.611655,1857200,10.586407,-0.025248
2/23/2001,10.648907,10.808907,10.461407,10.586407,3251200,10.877776,0.291369
2/26/2001,10.440276,10.987776,10.440276,10.877776,1300800,10.937991,0.060215
2/27/2001,10.872991,11.107991,10.735491,10.937991,2022000,10.434897,-0.503094
2/28/2001,11.067397,11.329897,10.404897,10.434897,3040400,10.520365,0.085468
3/1/2001,10.505365,10.655365,10.367865,10.520365,1993200,10.89914,0.378775
3/2/2001,10.47414,11.03164,10.44664,10.89914,3777600,11.198282,0.299142
3/5/2001,11.110782,11.200782,10.828282,11.198282,2224400,11.062307,-0.135975
3/6/2001,11.137307,11.317307,10.374807,11.062307,4041600,10.706836,-0.355471
3/7/2001,11.164336,11.226836,10.566836,10.706836,2711200,10.464027,-0.242809
3/8/2001,10.731527,10.759027,10.346527,10.464027,2071600,10.446548,-0.017479
3/9/2001,10.414048,10.576548,10.351548,10.446548,1639200,9.984245,-0.462303
3/12/2001,10.521745,10.576745,9.934245,9.984245,763600,9.846328,-0.137917
3/13/2001,10.086328,10.171328,9.673828,9.846328,1531600,9.770575,-0.075753
3/14/2001,9.868075,10.045575,9.673075,9.770575,1621200,9.630713,-0.139862
3/15/2001,9.873213,9.985713,9.628213,9.630713,1538400,9.417045,-0.213668
3/16/2001,9.547045,9.572045,9.147045,9.417045,2717600,8.779917,-0.637128
3/19/2001,8.979917,8.982417,8.604917,8.779917,12274000,8.836247,0.05633
3/20/2001,8.888747,8.963747,8.713747,8.836247,8051200,8.838188,0.001941
3/21/2001,8.938188,9.030688,8.763188,8.838188,5092000,8.428333,-0.409855
3/22/2001,8.955833,8.968333,8.080833,8.428333,4604800,8.62258,0.194247
3/23/2001,8.52508,8.82508,8.37258,8.62258,3958000,8.570131,-0.052449
3/26/2001,8.665131,8.775131,8.402631,8.570131,2485600,8.721643,0.151512
3/27/2001,8.526643,8.869143,8.461643,8.721643,3900000,9.061575,0.339932
3/28/2001,8.674075,9.106575,8.429075,9.061575,4801600,9.692873,0.631298
3/29/2001,8.850373,9.692873,8.817873,9.692873,7021600,9.527768,-0.165105
3/30/2001,9.677768,9.975268,9.517768,9.527768,3975200,9.459779,-0.067989
4/2/2001,9.609779,9.634779,9.259779,9.459779,2376400,9.399562,-0.060217
4/3/2001,9.439562,9.494562,9.327062,9.399562,2518800,9.422873,0.023311
4/4/2001,9.407873,9.795373,9.082873,9.422873,3168400,10.003666,0.580793
4/5/2001,9.293666,10.003666,9.278666,10.003666,2786400,9.920147,-0.083519
4/6/2001,9.965147,10.152647,9.732647,9.920147,3524000,10.032804,0.112657
4/9/2001,9.870304,10.140304,9.802804,10.032804,3870000,10.194031,0.161227
4/10/2001,9.974031,10.336531,9.881531,10.194031,3329600,10.118272,-0.075759
4/11/2001,10.245772,10.345772,9.873272,10.118272,4048400,10.151296,0.033024
4/12/2001,10.083796,10.318796,9.986296,10.151296,2706800,10.118272,-0.033024
4/16/2001,10.245772,10.345772,10.045772,10.118272,1483600,10.236761,0.118489
4/17/2001,10.109261,10.384261,10.076761,10.236761,2930000,9.993956,-0.242805
4/18/2001,10.343956,10.631456,9.701456,9.993956,4279600,10.044456,0.0505
4/19/2001,9.979456,10.141956,9.691956,10.044456,1925600,9.990069,-0.054387
4/20/2001,10.122569,10.122569,9.707569,9.990069,2707600,10.081365,0.091296
4/23/2001,9.906365,10.156365,9.893865,10.081365,1925600,10.046402,-0.034963
4/24/2001,9.891402,10.128902,9.891402,10.046402,1692800,10.120216,0.073814
4/25/2001,9.995216,10.515216,9.977716,10.120216,1800800,10.009495,-0.110721
4/26/2001,10.301995,10.306995,10.001995,10.009495,2598800,10.279498,0.270003
4/27/2001,9.994498,10.321998,9.994498,10.279498,2409200,10.489285,0.209787
4/30/2001,10.264285,10.839285,10.164285,10.489285,2512000,10.306689,-0.182596
5/1/2001,10.491689,10.566689,10.241689,10.306689,1218400,10.149352,-0.157337
5/2/2001,10.351852,10.354352,9.964352,10.149352,2499200,10.139638,-0.009714
5/3/2001,10.127138,10.214638,9.839638,10.139638,1660800,10.328057,0.188419
5/4/2001,10.085557,10.338057,9.848057,10.328057,1792800,10.129925,-0.198132
5/7/2001,10.329925,10.529925,9.904925,10.129925,3218400,9.887121,-0.242804
5/8/2001,10.324621,10.374621,9.662121,9.887121,5455600,9.96676,0.079639
5/9/2001,9.92676,10.12676,9.90176,9.96676,1753200,10.079425,0.112665
5/10/2001,10.006925,10.106925,9.904425,10.079425,1884400,10.102735,0.02331
5/11/2001,10.012735,10.225235,10.012735,10.102735,2504400,10.188201,0.085466
5/14/2001,10.175701,10.363201,10.118201,10.188201,1847200,10.073594,-0.114607
5/15/2001,10.283594,10.296094,10.033594,10.073594,1890800,10.207623,0.134029
5/16/2001,10.020123,10.305123,9.835123,10.207623,2560000,10.701012,0.493389
5/17/2001,10.128512,10.726012,10.083512,10.701012,3272400,10.767049,0.066037
5/18/2001,10.622049,10.814549,10.409549,10.767049,3378800,10.693241,-0.073808
5/21/2001,10.790741,10.893241,10.605741,10.693241,3535600,10.68741,-0.005831
5/22/2001,10.66991,10.83241,10.50741,10.68741,2548800,10.469857,-0.217553
5/23/2001,10.719857,10.882357,10.109857,10.469857,4007200,10.788421,0.318564
5/24/2001,10.403421,10.898421,10.403421,10.788421,3979600,10.763171,-0.02525
5/25/2001,11.048171,11.215671,10.685671,10.763171,3897200,11.013747,0.250576
5/29/2001,10.701247,11.026247,10.638747,11.013747,2417200,10.877776,-0.135971
5/30/2001,11.052776,11.125276,10.840276,10.877776,2886000,11.209931,0.332155
5/31/2001,10.857431,11.394931,10.857431,11.209931,3812400,11.468281,0.25835
6/1/2001,11.150781,11.545781,11.013281,11.468281,3701200,11.821809,0.353528
6/4/2001,11.406809,11.891809,11.269309,11.821809,4033200,11.456628,-0.365181
6/5/2001,11.911628,12.134128,11.394128,11.456628,5207200,11.140007,-0.316621
6/6/2001,11.677507,11.737507,10.952507,11.140007,4416800,11.277925,0.137918
6/7/2001,11.112925,11.437925,10.812925,11.277925,2349200,11.429438,0.151513
6/8/2001,11.241938,11.644438,11.241938,11.429438,1287600,11.274036,-0.155402
6/11/2001,11.411536,11.539036,11.224036,11.274036,3774800,10.961303,-0.312733
6/12/2001,11.403803,11.403803,10.911303,10.961303,2868400,11.02346,0.062157
6/13/2001,11.00596,11.20596,10.99846,11.02346,2576400,10.982668,-0.040792
6/14/2001,10.997668,11.097668,10.872668,10.982668,1965600,11.49936,0.516692
6/15/2001,10.89936,11.49936,10.82436,11.49936,2517600,11.476051,-0.023309
6/18/2001,11.506051,11.606051,11.396051,11.476051,2494000,11.388643,-0.087408
6/19/2001,11.531143,11.531143,11.333643,11.388643,1730800,11.792674,0.404031
6/20/2001,11.272674,11.840174,11.270174,11.792674,2720800,11.988862,0.196188
6/21/2001,11.858862,12.133862,11.758862,11.988862,2666800,11.468281,-0.520581
6/22/2001,12.333281,12.333281,11.430781,11.468281,2342000,11.072019,-0.396262
6/25/2001,11.472019,11.669519,10.614519,11.072019,4085600,11.095326,0.023307
6/26/2001,11.015326,11.202826,10.812826,11.095326,4457600,11.072019,-0.023307
6/27/2001,11.109519,11.162019,10.829519,11.072019,3760000,11.178854,0.106835
6/28/2001,11.103854,11.631354,11.091354,11.178854,2370400,10.751514,-0.42734
6/29/2001,11.214014,11.239014,10.664014,10.751514,6307600,10.819502,0.067988
7/2/2001,10.719502,10.942002,10.569502,10.819502,4537200,10.953533,0.134031
7/3/2001,10.843533,10.996033,10.601033,10.953533,1681200,10.807843,-0.14569
7/5/2001,10.897843,11.007843,10.750343,10.807843,1904400,10.683527,-0.124316
7/6/2001,10.811027,10.858527,10.648527,10.683527,2834800,10.730146,0.046619
7/9/2001,10.670146,10.750146,10.607646,10.730146,3058800,10.683527,-0.046619
7/10/2001,10.796027,10.816027,10.583527,10.683527,2764800,10.634969,-0.048558
7/11/2001,10.647469,10.647469,10.534969,10.634969,2474000,10.611655,-0.023314
7/12/2001,10.616655,10.654155,10.566655,10.611655,2339600,10.829211,0.217556
7/13/2001,10.549211,11.116711,10.541711,10.829211,3444800,10.904971,0.07576
7/16/2001,10.769971,10.989971,10.747471,10.904971,1362000,11.174972,0.270001
7/17/2001,10.804972,11.264972,10.792472,11.174972,2363600,11.295403,0.120431
7/18/2001,11.095403,11.352903,11.007903,11.295403,2328800,11.110868,-0.184535
7/19/2001,11.370868,11.485868,11.033368,11.110868,2367600,11.239071,0.128203
7/20/2001,11.136571,11.239071,11.036571,11.239071,1523600,10.994322,-0.244749
7/23/2001,11.309322,11.344322,10.881822,10.994322,1413200,10.741802,-0.25252
7/24/2001,10.941802,10.976802,10.574302,10.741802,3646400,10.747631,0.005829
7/25/2001,10.540131,10.837631,9.945131,10.747631,6814400,11.169144,0.421513
7/26/2001,10.626644,11.294144,10.624144,11.169144,2962400,11.384758,0.215614
7/27/2001,11.107258,11.582258,11.072258,11.384758,3768000,11.551808,0.16705
7/30/2001,11.284308,11.586808,11.271808,11.551808,3011600,11.29346,-0.258348
7/31/2001,11.68346,11.82096,11.24596,11.29346,4086400,11.10893,-0.18453
8/1/2001,11.39893,11.39893,11.03643,11.10893,2389200,10.936046,-0.172884
8/2/2001,11.211046,11.211046,10.686046,10.936046,3212000,11.033174,0.097128
8/3/2001,10.908174,11.223174,10.820674,11.033174,2605600,11.075903,0.042729
8/6/2001,11.058403,11.395903,10.855903,11.075903,2010000,10.877776,-0.198127
8/7/2001,11.132776,11.135276,10.815276,10.877776,3202400,10.772882,-0.104894
8/8/2001,10.857882,10.922882,10.732882,10.772882,2318800,10.887485,0.114603
8/9/2001,10.739985,10.907485,10.589985,10.887485,3752400,11.159431,0.271946
8/10/2001,10.809431,11.159431,10.809431,11.159431,3168800,11.206051,0.04662
8/13/2001,11.196051,11.333551,11.158551,11.206051,2246400,11.186626,-0.019425
8/14/2001,11.289126,11.289126,11.129126,11.186626,2341600,11.072019,-0.114607
8/15/2001,11.259519,11.329519,11.044519,11.072019,4016000,11.101159,0.02914
8/16/2001,11.063659,11.186159,10.888659,11.101159,3311600,11.460511,0.359352
8/17/2001,11.085511,11.460511,11.078011,11.460511,7626800,11.431377,-0.029134
8/20/2001,11.343877,11.513877,11.268877,11.431377,3220400,11.63533,0.203953
8/21/2001,11.28533,11.78533,11.28533,11.63533,4236400,11.926702,0.291372
8/22/2001,11.676702,12.051702,11.676702,11.926702,6638800,11.849004,-0.077698
8/23/2001,11.929004,12.349004,11.834004,11.849004,3945600,12.080157,0.231153
8/24/2001,11.895157,12.107657,11.782657,12.080157,5396800,12.625989,0.545832
8/27/2001,12.625989,12.725989,12.57599,12.625989,14416000,12.54829,-0.077699
8/28/2001,12.92329,13.02329,12.525791,12.54829,10018800,12.334619,-0.213671
8/29/2001,12.459619,12.46212,12.197119,12.334619,32382400,12.204473,-0.130146
8/30/2001,12.429473,12.496973,12.084473,12.204473,7554000,12.517211,0.312738
8/31/2001,11.98221,12.56971,11.98221,12.517211,4514000,12.692033,0.174822
9/4/2001,12.432035,12.929534,12.394534,12.692033,5771600,12.717287,0.025254
9/5/2001,12.684786,12.924788,12.519787,12.717287,7322400,12.958145,0.240858
9/6/2001,12.650646,13.068145,12.635645,12.958145,7028400,12.606563,-0.351582
9/7/2001,12.969063,13.256563,12.506563,12.606563,6562800,12.60268,-0.003883
9/10/2001,12.607681,12.945181,12.520182,12.60268,4846400,12.435628,-0.167052
9/17/2001,11.993129,12.650628,11.993129,12.435628,8630400,12.625989,0.190361
9/18/2001,12.380988,12.675988,12.37849,12.625989,4497600,12.528862,-0.097127
9/19/2001,12.641361,12.691362,12.228862,12.528862,5935600,12.763902,0.23504
9/20/2001,12.461402,12.836402,12.333902,12.763902,5428400,12.627934,-0.135968
9/21/2001,12.750433,12.750433,12.575434,12.627934,10788000,12.857141,0.229207
9/24/2001,12.80964,12.984639,12.759641,12.857141,4847600,13.245636,0.388495
9/25/2001,12.948135,13.245636,12.895635,13.245636,4186800,13.235919,-0.009717
9/26/2001,13.31092,13.350919,13.100919,13.235919,5110400,13.441818,0.205899
9/27/2001,13.226818,13.579319,13.166819,13.441818,4814800,13.78175,0.339932
9/28/2001,13.519251,13.94175,13.481751,13.78175,6139600,13.723483,-0.058267
10/1/2001,13.855983,13.855983,13.585983,13.723483,5285200,13.597216,-0.126267
10/2/2001,13.922217,13.922217,13.562216,13.597216,4889200,13.247577,-0.349639
10/3/2001,13.647579,13.685077,13.035078,13.247577,7585600,13.457363,0.209786
10/4/2001,13.224863,13.562362,12.999862,13.457363,4665600,13.509804,0.052441
10/5/2001,13.379803,13.529802,13.022303,13.509804,3032400,13.402975,-0.106829
10/8/2001,13.477976,13.712974,13.327974,13.402975,2295200,13.457363,0.054388
10/9/2001,13.337364,13.489864,13.314863,13.457363,1888000,13.498145,0.040782
10/10/2001,13.448146,13.563146,13.425645,13.498145,1887200,13.226209,-0.271936
10/11/2001,13.66621,13.681211,13.09871,13.226209,3175200,13.018366,-0.207843
10/12/2001,13.260866,13.260866,12.733366,13.018366,5443200,13.288371,0.270005
10/15/2001,12.860869,13.325869,12.77337,13.288371,3565600,13.58751,0.299139
10/16/2001,13.625011,13.720012,13.232511,13.58751,3760800,13.529231,-0.058279
10/17/2001,13.616731,13.766731,13.33673,13.529231,3619200,13.58751,0.058279
10/18/2001,13.522512,13.637511,13.467511,13.58751,3370400,13.750675,0.163165
10/19/2001,13.603174,13.750675,13.553175,13.750675,2770000,13.849731,0.099056
10/22/2001,13.662231,13.96223,13.64973,13.849731,2884000,13.509804,-0.339927
10/23/2001,14.122303,14.122303,13.392303,13.509804,8497200,13.179585,-0.330219
10/24/2001,13.642084,13.712086,13.114584,13.179585,5926800,13.362182,0.182597
10/25/2001,12.877182,13.367181,12.834682,13.362182,4952800,12.946497,-0.415685
10/26/2001,13.543997,13.546498,12.946497,12.946497,6526000,12.824119,-0.122378
10/29/2001,12.98162,13.369119,12.78162,12.824119,6493600,12.237495,-0.586624
10/30/2001,12.687496,12.724994,12.234995,12.237495,6765600,12.346274,0.108779
10/31/2001,12.343774,12.693773,12.251274,12.346274,6598000,12.237495,-0.108779
11/1/2001,12.612495,12.612495,11.762495,12.237495,10893200,12.101521,-0.135974
11/2/2001,12.276521,12.389021,12.064021,12.101521,4830400,12.233611,0.13209
11/5/2001,12.063611,12.313611,12.051111,12.233611,3837600,12.412316,0.178705
11/6/2001,12.237316,12.437316,12.112316,12.412316,4261200,12.402607,-0.009709
11/7/2001,12.377607,12.560108,11.910107,12.402607,6559600,11.363393,-1.039214
11/8/2001,12.650893,12.660893,11.238393,11.363393,19134400,10.877776,-0.485617
11/9/2001,11.252776,11.255276,10.340276,10.877776,29179200,11.03123,0.153454
11/12/2001,10.77123,11.18123,10.45873,11.03123,6233200,11.072019,0.040789
11/13/2001,11.012019,11.257019,10.929519,11.072019,7574000,10.702951,-0.369068
11/14/2001,11.115451,11.202951,10.677951,10.702951,6854400,10.788577,0.085626
11/15/2001,10.696077,10.928577,10.601077,10.788577,10123600,11.140798,0.352221
11/16/2001,10.803298,11.273298,10.765798,11.140798,8314800,11.212805,0.072007
11/19/2001,11.095305,11.307805,11.062805,11.212805,4846000,11.335401,0.122596
