,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,22,22.375,18,19.75,3880400,24.25,4.5
1/3/2001,19.875,25.5,19.625,24.25,4693200,20.875,-3.375
1/4/2001,24.25,25.5,20.6875,20.875,6062100,19.4375,-1.4375
1/5/2001,21.375,21.375,18.9375,19.4375,3044500,18.625,-0.8125
1/8/2001,19.0625,20.25,17.6875,18.625,2117600,20.5625,1.9375
1/9/2001,19.375,21.5625,19.25,20.5625,2544700,22.125,1.5625
1/10/2001,19,22.625,19,22.125,3434500,24.5,2.375
1/11/2001,20.8125,25.0625,20.25,24.5,4020000,27.4375,2.9375
1/12/2001,24.8125,28.25,24.5625,27.4375,5090400,31.6875,4.25
1/16/2001,27.5625,31.875,25.625,31.6875,3420100,32.375,0.6875
1/17/2001,33,35,32,32.375,4315700,31.25,-1.125
1/18/2001,32.375,32.5,30,31.25,1966400,30,-1.25
1/19/2001,32.3125,32.5,28.5,30,2621200,28.5,-1.5
1/22/2001,29,29.734375,26.625,28.5,3177100,32.125,3.625
1/23/2001,28.40625,35.5,27.625,32.125,6733800,35.375,3.25
1/24/2001,33.5,37.4375,32.3125,35.375,7461100,29.625,-5.75
1/25/2001,37.25,37.25,29.5,29.625,10758000,29.75,0.125
1/26/2001,28.8125,31.125,27.5,29.75,6098800,31.8125,2.0625
1/29/2001,32.375,33.3125,30.25,31.8125,5069500,30.6875,-1.125
1/30/2001,32.125,32.125,29.75,30.6875,3729400,29.0625,-1.625
1/31/2001,30.9375,31.125,28.9375,29.0625,3340300,27.625,-1.4375
2/1/2001,28.6875,28.8125,27.0625,27.625,2704800,25.75,-1.875
2/2/2001,27.4375,28.75,25.75,25.75,2191300,24.875,-0.875
2/5/2001,25.25,26.4375,24.0625,24.875,1850500,25.8125,0.9375
2/6/2001,24.625,26.6875,24.5,25.8125,2227700,25.25,-0.5625
2/7/2001,25.5,25.6875,22.9375,25.25,2394500,25.625,0.375
2/8/2001,25.5,27.375,25.25,25.625,2269800,24.4375,-1.1875
2/9/2001,25.5625,25.75,23.625,24.4375,1762600,24.9375,0.5
2/12/2001,24.125,25.625,23.25,24.9375,1372600,22.9375,-2
2/13/2001,25.25,25.375,22.6875,22.9375,2094500,21.75,-1.1875
2/14/2001,22.9375,23.0625,20.75,21.75,4049200,23.3125,1.5625
2/15/2001,23.25,25.5625,23.125,23.3125,3918700,21.25,-2.0625
2/16/2001,22.0625,22.625,21.0625,21.25,2651700,19.796875,-1.453125
2/20/2001,21.625,21.625,19.125,19.796875,1912300,17.9375,-1.859375
2/21/2001,19.4375,20.4375,17.5,17.9375,2443000,17,-0.9375
2/22/2001,18.25,18.3125,16.125,17,3399700,19.1875,2.1875
