,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,23.413795,24.512313,22.951259,23.240345,927400,23.419949,0.179604
1/3/2001,23.53558,24.345017,22.205792,23.419949,1113600,23.743212,0.323263
1/4/2001,23.107226,24.783915,22.991591,23.743212,1330000,23.45586,-0.287352
1/5/2001,24.149661,24.265296,22.530788,23.45586,675800,23.419949,-0.035911
1/8/2001,23.36213,24.055931,23.130864,23.419949,963600,22.593773,-0.826176
1/9/2001,23.229759,23.692291,22.304687,22.593773,1225900,22.701546,0.107773
1/10/2001,22.874997,23.337533,21.487393,22.701546,940300,21.875374,-0.826172
1/11/2001,23.031712,23.031712,21.586289,21.875374,879300,21.516167,-0.359207
1/12/2001,22.15215,22.15215,20.880181,21.516167,606400,21.408417,-0.10775
1/16/2001,20.714615,22.044399,20.425529,21.408417,1585900,21.192894,-0.215523
1/17/2001,22.002327,22.175777,20.672542,21.192894,866200,21.049217,-0.143677
1/18/2001,21.164852,21.511753,20.528865,21.049217,679900,20.654089,-0.395128
1/19/2001,20.82754,21.174441,20.018103,20.654089,647800,20.869612,0.215523
1/22/2001,20.811793,21.447779,19.655459,20.869612,1175900,20.869612,0
1/23/2001,20.869612,22.141581,20.696162,20.869612,1044500,21.228811,0.359199
1/24/2001,20.419374,21.286627,20.130293,21.228811,1308300,21.480249,0.251438
1/25/2001,21.133348,22.289686,21.075532,21.480249,1583200,20.905533,-0.574716
1/26/2001,21.599335,21.599335,20.674267,20.905533,840300,21.299215,0.393682
1/29/2001,20.429651,21.706247,20.142881,21.299215,710800,21.862444,0.563229
1/30/2001,21.732935,21.871695,20.447088,21.862444,1500300,21.707275,-0.155169
1/31/2001,21.836788,22.475086,21.605518,21.707275,1221000,21.810719,0.103444
2/1/2001,21.163171,22.088239,21.033658,21.810719,1036600,21.82222,0.011501
2/2/2001,21.803718,22.127491,21.387436,21.82222,886500,22.379688,0.557468
2/5/2001,21.491622,22.629455,21.473121,22.379688,1073800,22.075083,-0.304605
2/6/2001,23.268423,23.305426,21.233271,22.075083,2608600,22.281996,0.206913
2/7/2001,21.569692,22.49476,21.273668,22.281996,805500,22.730272,0.448276
2/8/2001,23.146555,23.146555,22.128977,22.730272,1691500,22.419924,-0.310348
2/9/2001,22.410673,22.780703,22.225661,22.419924,1246500,22.408438,-0.011486
2/12/2001,22.658205,22.741465,21.955153,22.408438,694000,22.690042,0.281604
2/13/2001,22.246007,22.708543,22.162752,22.690042,1425100,22.672794,-0.017248
2/14/2001,23.181583,23.357345,22.413772,22.672794,1212000,22.960171,0.287377
2/15/2001,23.46896,23.561467,22.728905,22.960171,1632700,22.598085,-0.362086
2/16/2001,22.348314,22.857103,21.839525,22.598085,1462700,23.13833,0.540245
2/20/2001,22.75905,23.314092,22.435277,23.13833,1103300,22.362452,-0.775878
2/21/2001,23.139509,23.278269,21.539141,22.362452,1492300,22.241764,-0.120688
2/22/2001,22.519283,23.444355,21.779228,22.241764,804400,21.471626,-0.770138
2/23/2001,22.896232,22.896232,21.24961,21.471626,1167800,22.316475,0.844849
2/26/2001,21.354401,22.473736,21.224892,22.316475,1443400,22.603834,0.287359
2/27/2001,22.02104,22.779597,22.02104,22.603834,990900,23.30501,0.701176
2/28/2001,22.398444,23.30501,22.398444,23.30501,1357400,22.971664,-0.333346
3/1/2001,23.276939,23.461952,22.499882,22.971664,1284300,23.103848,0.132184
3/2/2001,22.965088,23.168602,22.252785,23.103848,1024500,23.247528,0.14368
3/5/2001,22.553726,23.478794,22.553726,23.247528,1728600,24.040636,0.793108
