,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,16.626001,16.938501,16.313501,16.438501,2038800,16.155838,-0.282663
1/3/2001,16.687088,17.062088,15.812088,16.155838,4367200,15.373055,-0.782783
1/4/2001,16.154305,16.248055,14.841805,15.373055,4025800,15.481765,0.10871
1/5/2001,15.231765,15.888015,15.169265,15.481765,2049400,16.003626,0.521861
1/8/2001,15.503626,16.097376,15.378626,16.003626,1649200,16.221069,0.217443
1/9/2001,15.752319,16.752319,15.627319,16.221069,2173400,16.264555,0.043486
1/10/2001,16.170805,16.389555,15.889555,16.264555,1244200,15.851421,-0.413134
1/11/2001,16.632671,16.851421,15.570171,15.851421,2278400,15.046888,-0.804533
1/12/2001,15.984388,16.609388,14.921888,15.046888,3418400,14.807703,-0.239185
1/16/2001,14.901453,15.526453,14.588953,14.807703,3584400,14.307586,-0.500117
1/17/2001,14.995086,15.245086,14.120086,14.307586,4923800,14.829443,0.521857
1/18/2001,14.204443,15.266943,14.141943,14.829443,3064800,14.459799,-0.369644
1/19/2001,14.741049,14.897299,13.991049,14.459799,2440800,14.590259,0.13046
1/22/2001,14.184009,14.840259,13.902759,14.590259,2170400,15.133865,0.543606
1/23/2001,14.352615,15.446365,14.352615,15.133865,2170600,15.199096,0.065231
1/24/2001,14.917846,15.574096,14.417846,15.199096,1992600,14.829443,-0.369653
1/25/2001,14.485693,14.985693,13.923193,14.829443,5314400,14.242349,-0.587094
1/26/2001,15.211099,15.242349,14.148599,14.242349,3407200,13.616994,-0.625355
1/29/2001,14.296994,14.296994,13.421994,13.616994,4305200,14.097109,0.480115
1/30/2001,13.887108,14.70711,13.852108,14.097109,4599600,14.716383,0.619274
1/31/2001,13.566383,14.716383,13.566383,14.716383,5131000,14.612009,-0.104374
2/1/2001,14.287008,14.792009,14.262009,14.612009,3597400,14.396307,-0.215702
2/2/2001,14.581306,14.606306,14.206306,14.396307,2784800,14.465886,0.069579
2/5/2001,14.125886,14.595885,14.125886,14.465886,2246400,14.490238,0.024352
2/6/2001,14.580238,14.765237,14.145237,14.490238,2544400,14.82075,0.330512
2/7/2001,14.470752,14.835752,14.420751,14.82075,2356600,14.883373,0.062623
2/8/2001,14.793373,15.018374,14.743374,14.883373,4990800,14.685064,-0.198309
2/9/2001,14.730064,14.955064,14.605064,14.685064,1531800,14.511118,-0.173946
2/12/2001,14.761118,14.761118,14.231119,14.511118,2761400,14.535581,0.024463
2/13/2001,14.590581,14.590581,14.215581,14.535581,3216000,14.17211,-0.363471
2/14/2001,14.69211,14.69211,14.062111,14.17211,3893400,13.777176,-0.394934
2/15/2001,14.167177,14.177178,13.517178,13.777176,8581600,14.042789,0.265613
2/16/2001,13.69779,14.177789,13.69779,14.042789,3943800,14.332871,0.290082
2/20/2001,14.327872,14.477872,13.927872,14.332871,2458600,14.336369,0.003498
2/21/2001,14.176369,14.711369,13.886368,14.336369,2481200,14.238504,-0.097865
2/22/2001,14.368503,14.543502,13.603504,14.238504,2072600,14.158127,-0.080377
2/23/2001,14.273129,14.293127,13.803128,14.158127,1934600,14.151134,-0.006993
2/26/2001,13.956132,14.201133,13.756133,14.151134,1654000,14.381801,0.230667
2/27/2001,14.051801,14.4318,14.0118,14.381801,2172000,14.839641,0.45784
2/28/2001,14.309642,15.109641,14.28464,14.839641,6557800,14.399277,-0.440364
3/1/2001,15.029277,15.029277,14.304276,14.399277,3704800,14.525097,0.12582
3/2/2001,14.350096,14.570097,14.125095,14.525097,2681600,14.808191,0.283094
3/5/2001,14.403193,14.823193,14.003191,14.808191,1955400,14.937501,0.12931
3/6/2001,15.017501,15.017501,14.677501,14.937501,2325400,15.09478,0.157279
3/7/2001,14.724781,15.17478,14.699782,15.09478,4161200,15.003907,-0.090873
3/8/2001,15.238908,15.238908,14.848906,15.003907,2842800,14.920032,-0.083875
3/9/2001,15.050033,15.050033,14.400034,14.920032,1448800,14.923525,0.003493
3/12/2001,14.873524,14.923525,14.598525,14.923525,2006400,13.941436,-0.982089
3/13/2001,15.046435,15.046435,13.896436,13.941436,3989000,13.738726,-0.20271
3/14/2001,14.033726,14.033726,13.553724,13.738726,3195600,13.735231,-0.003495
3/15/2001,13.865232,14.04523,13.460231,13.735231,2614800,13.602424,-0.132807
3/16/2001,13.542425,13.942424,13.542425,13.602424,2930200,13.700279,0.097855
3/19/2001,13.525278,13.945278,13.525278,13.700279,1918000,13.623394,-0.076885
3/20/2001,13.633394,14.213394,13.623394,13.623394,2378200,13.661842,0.038448
3/21/2001,13.641842,13.886842,13.616842,13.661842,2168800,13.735231,0.073389
3/22/2001,13.630231,13.79523,13.085231,13.735231,4815400,13.427674,-0.307557
