,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,12.129852,12.848602,11.973602,12.848602,7021200,13.724646,0.876044
1/3/2001,11.974646,13.755896,11.630896,13.724646,20566800,14.154078,0.429432
1/4/2001,13.310328,14.247828,13.091578,14.154078,22259200,13.192149,-0.961929
1/5/2001,13.004649,14.192149,12.598399,13.192149,30578400,13.260858,0.068709
1/8/2001,12.698358,13.573358,12.292108,13.260858,11865600,12.917312,-0.343546
1/9/2001,13.417312,13.792312,12.729812,12.917312,11454600,13.346745,0.429433
1/10/2001,12.440495,13.440495,12.346745,13.346745,14501000,13.587229,0.240484
1/11/2001,13.212229,13.649729,12.930979,13.587229,14693200,13.48416,-0.103069
1/12/2001,13.67166,13.67166,13.01541,13.48416,8350600,13.999479,0.515319
1/16/2001,12.655729,14.186979,12.343229,13.999479,21287800,13.621581,-0.377898
1/17/2001,14.309081,14.309081,13.496581,13.621581,16560800,13.449802,-0.171779
1/18/2001,13.731052,13.793552,13.106052,13.449802,11780000,13.518516,0.068714
1/19/2001,13.674766,13.893516,13.081016,13.518516,11225800,13.844886,0.32637
1/22/2001,13.532386,14.094886,13.282386,13.844886,8684000,13.844886,0
1/23/2001,13.532386,14.001136,13.438636,13.844886,8757400,14.033837,0.188951
1/24/2001,13.502587,14.158837,13.190087,14.033837,11042200,14.154078,0.120241
1/25/2001,13.966578,14.591578,13.560328,14.154078,8711400,14.617862,0.463784
1/26/2001,13.649112,14.930362,13.586612,14.617862,11745400,14.846676,0.228814
1/29/2001,14.841675,15.046675,14.186676,14.846676,13714000,15.245179,0.398503
1/30/2001,14.610178,15.480177,14.260178,15.245179,15187000,14.791692,-0.453487
1/31/2001,15.531692,15.851691,14.791692,14.791692,15905800,14.643289,-0.148403
2/1/2001,14.953291,15.443291,14.053289,14.643289,12553800,14.731235,0.087946
2/2/2001,14.731235,15.406236,14.641235,14.731235,9311200,14.637792,-0.093443
2/5/2001,14.807792,15.127794,14.457794,14.637792,9242400,14.005666,-0.632126
2/6/2001,14.520667,14.840667,13.755666,14.005666,13367200,13.604406,-0.40126
2/7/2001,14.334406,14.374406,13.279405,13.604406,14626600,13.398277,-0.206129
2/8/2001,14.023277,14.023277,13.303278,13.398277,11619600,13.604406,0.206129
2/9/2001,13.404405,13.779405,13.234405,13.604406,10775800,13.758316,0.15391
2/12/2001,13.603315,13.883316,13.578315,13.758316,8587800,13.807778,0.049462
2/13/2001,13.962777,14.432778,13.757777,13.807778,9626000,13.961697,0.153919
2/14/2001,13.686697,14.136698,13.666697,13.961697,8626000,13.986425,0.024728
2/15/2001,13.991426,14.456426,13.716424,13.986425,10574800,14.126593,0.140168
2/16/2001,13.996592,14.386591,13.756592,14.126593,8758000,13.499968,-0.626625
2/20/2001,14.489968,14.554969,13.384969,13.499968,11386600,13.123439,-0.376529
2/21/2001,13.748439,14.173438,13.093438,13.123439,13770400,13.260858,0.137419
2/22/2001,12.760858,13.270858,11.960859,13.260858,14869600,13.505463,0.244605
2/23/2001,12.860462,13.915463,12.460463,13.505463,9874800,14.011162,0.505699
2/26/2001,13.086163,14.271162,12.521162,14.011162,12056400,14.134839,0.123677
2/27/2001,13.90484,14.57484,13.384839,14.134839,12820200,14.244407,0.109568
2/28/2001,14.519407,14.544407,13.269407,14.244407,12699600,13.86231,-0.382097
3/1/2001,13.617309,14.04231,12.96731,13.86231,13457400,13.780835,-0.081475
3/2/2001,13.455836,14.490836,13.430834,13.780835,11280400,13.789263,0.008428
3/5/2001,13.774262,14.099262,13.469261,13.789263,8531400,14.120789,0.331526
3/6/2001,14.09079,14.46579,13.815791,14.120789,8971800,14.820368,0.699579
3/7/2001,13.670368,14.820368,13.580368,14.820368,11277000,15.092893,0.272525
3/8/2001,14.607892,15.157891,14.607892,15.092893,13711800,14.750129,-0.342764
3/9/2001,15.100129,15.125129,14.57513,14.750129,8953400,14.502885,-0.247244
3/12/2001,14.692886,15.007887,14.267887,14.502885,14741800,15.241796,0.738911
3/13/2001,14.516796,15.241796,14.216796,15.241796,16513600,14.539412,-0.702384
3/14/2001,14.764412,15.069413,14.094412,14.539412,25571400,14.679892,0.14048
3/15/2001,14.604891,14.994893,14.504893,14.679892,12948800,14.44108,-0.238812
3/16/2001,14.741079,15.231079,14.341079,14.44108,18050000,14.882174,0.441094
3/19/2001,13.972174,15.097174,13.827173,14.882174,10553800,14.41017,-0.472004
3/20/2001,15.705171,15.91517,14.315169,14.41017,17218600,14.314647,-0.095523
3/21/2001,14.739647,15.339647,14.094646,14.314647,16723400,13.955024,-0.359623
3/22/2001,14.420024,14.570026,13.090024,13.955024,20123800,14.828795,0.873771
3/23/2001,13.488795,14.828795,13.413796,14.828795,15785400,14.750129,-0.078666
3/26/2001,15.07513,15.350129,14.29013,14.750129,11939200,15.306422,0.556293
3/27/2001,13.941422,15.406422,13.661421,15.306422,19161000,15.28956,-0.016862
3/28/2001,14.989561,15.37956,14.659561,15.28956,13029000,14.935555,-0.354005
3/29/2001,15.130555,15.405554,14.730555,14.935555,11123800,15.382278,0.446723
3/30/2001,14.782278,15.387277,14.597278,15.382278,12760800,15.174363,-0.207915
4/2/2001,15.394364,15.789365,14.809363,15.174363,16126800,14.679892,-0.494471
4/3/2001,15.504893,15.504893,14.359892,14.679892,14116800,14.134837,-0.545055
4/4/2001,14.904835,15.104836,14.004836,14.134837,18445800,14.5675,0.432663
4/5/2001,14.4425,14.917501,14.287501,14.5675,11382400,13.932552,-0.634948
4/6/2001,15.062551,15.387552,13.462553,13.932552,26638400,14.216314,0.283762
4/9/2001,14.091314,14.696316,13.941315,14.216314,9621200,14.587172,0.370858
4/10/2001,14.427172,15.227173,14.392172,14.587172,12583200,14.764174,0.177002
4/11/2001,15.439175,15.579174,14.624174,14.764174,11780000,14.876553,0.112379
