,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,1.412098,1.423817,1.318348,1.326161,4024000,1.406365,0.080204
1/3/2001,1.222771,1.418083,1.222771,1.406365,4220800,1.400769,-0.005596
1/4/2001,1.408581,1.416394,1.377331,1.400769,2980800,1.382117,-0.018652
1/5/2001,1.346961,1.393836,1.323524,1.382117,5014400,1.376521,-0.005596
1/8/2001,1.399958,1.458552,1.341364,1.376521,3168000,1.389578,0.013057
1/9/2001,1.354422,1.389578,1.334891,1.389578,3806400,1.432478,0.0429
1/10/2001,1.358259,1.440291,1.342634,1.432478,6652800,1.419421,-0.013057
1/11/2001,1.446765,1.497546,1.407703,1.419421,7433600,1.391443,-0.027978
1/12/2001,1.465661,1.465661,1.371911,1.391443,2252800,1.3616,-0.029843
1/16/2001,1.4241,1.4241,1.326443,1.3616,5030400,1.344813,-0.016787
1/17/2001,1.37997,1.391688,1.325282,1.344813,3726400,1.342948,-0.001865
1/18/2001,1.362479,1.382011,1.335136,1.342948,2704000,1.286992,-0.055956
1/19/2001,1.404179,1.404179,1.271367,1.286992,2633600,1.266474,-0.020518
1/22/2001,1.223505,1.305536,1.223505,1.266474,4380800,1.298183,0.031709
1/23/2001,1.243496,1.305996,1.235683,1.298183,2891200,1.311239,0.013056
1/24/2001,1.287801,1.350301,1.26827,1.311239,2323200,1.251553,-0.059686
1/25/2001,1.392178,1.435147,1.21249,1.251553,5616000,1.193731,-0.057822
1/26/2001,1.318731,1.318731,1.189825,1.193731,4905600,1.205669,0.011938
1/29/2001,1.180669,1.213169,1.152544,1.205669,5041600,1.191643,-0.014026
1/30/2001,1.221018,1.221018,1.161643,1.191643,4182400,1.192538,0.000895
1/31/2001,1.194413,1.225663,1.181913,1.192538,4222400,1.22059,0.028052
2/1/2001,1.177465,1.26434,1.174965,1.22059,2313600,1.191643,-0.028947
2/2/2001,1.242893,1.279768,1.191643,1.191643,1876800,1.214025,0.022382
2/5/2001,1.165275,1.21465,1.165275,1.214025,2195200,1.223873,0.009848
2/6/2001,1.202623,1.228248,1.180123,1.223873,2388800,1.222083,-0.00179
2/7/2001,1.210208,1.225208,1.195208,1.222083,1132800,1.2188,-0.003283
2/8/2001,1.225675,1.2413,1.20505,1.2188,1920000,1.207161,-0.011639
2/9/2001,1.247161,1.247161,1.193411,1.207161,2728000,1.219397,0.012236
2/12/2001,1.190647,1.233772,1.165647,1.219397,1886400,1.223276,0.003879
2/13/2001,1.215151,1.255151,1.195776,1.223276,1246400,1.22626,0.002984
2/14/2001,1.213135,1.26126,1.201885,1.22626,2148800,1.253119,0.026859
2/15/2001,1.184994,1.284994,1.184994,1.253119,2150400,1.236705,-0.016414
2/16/2001,1.28608,1.31733,1.22483,1.236705,1812800,1.207758,-0.028947
2/20/2001,1.272133,1.333383,1.205883,1.207758,1793600,1.193731,-0.014027
2/21/2001,1.228106,1.262481,1.113731,1.193731,2120000,1.191941,-0.00179
2/22/2001,1.203191,1.215691,1.168816,1.191941,1387200,1.168066,-0.023875
2/23/2001,1.215566,1.215566,1.101816,1.168066,2718400,1.192836,0.02477
2/26/2001,1.156586,1.225961,1.150961,1.192836,1793600,1.301738,0.108902
2/27/2001,1.270488,1.323613,1.246113,1.301738,2449600,1.314438,0.0127
2/28/2001,1.290063,1.336313,1.286313,1.314438,3361600,1.30269,-0.011748
3/1/2001,1.325815,1.350815,1.302065,1.30269,2916800,1.32047,0.01778
3/2/2001,1.271095,1.358595,1.26047,1.32047,1955200,1.310945,-0.009525
3/5/2001,1.34532,1.395945,1.308445,1.310945,2537600,1.347775,0.03683
3/6/2001,1.2909,1.3559,1.2884,1.347775,2516800,1.395717,0.047942
3/7/2001,1.338842,1.437592,1.338842,1.395717,5467200,1.435721,0.040004
3/8/2001,1.346971,1.443846,1.346971,1.435721,3812800,1.413497,-0.022224
3/9/2001,1.405997,1.484122,1.399747,1.413497,2908800,1.377937,-0.03556
3/12/2001,1.440437,1.446062,1.377312,1.377937,2224000,1.420482,0.042545
3/13/2001,1.336732,1.424857,1.311732,1.420482,3390400,1.397304,-0.023178
3/14/2001,1.418554,1.462304,1.384179,1.397304,5067200,1.407147,0.009843
3/15/2001,1.380897,1.457772,1.380897,1.407147,2761600,1.388414,-0.018733
3/16/2001,1.461539,1.495289,1.381539,1.388414,4344000,1.424608,0.036194
3/19/2001,1.360858,1.453358,1.353983,1.424608,2644800,1.408734,-0.015874
3/20/2001,1.441859,1.497484,1.405609,1.408734,2011200,1.395082,-0.013652
3/21/2001,1.433207,1.433207,1.361332,1.395082,2905600,1.388414,-0.006668
3/22/2001,1.399039,1.417789,1.267789,1.388414,3827200,1.405241,0.016827
3/23/2001,1.372116,1.435866,1.320241,1.405241,3457600,1.438896,0.033655
3/26/2001,1.381396,1.473896,1.373896,1.438896,1672000,1.455724,0.016828
3/27/2001,1.417599,1.462599,1.372599,1.455724,3264000,1.434451,-0.021273
3/28/2001,1.466951,1.466951,1.366951,1.434451,1800000,1.436039,0.001588
3/29/2001,1.440414,1.464789,1.371664,1.436039,1894400,1.456359,0.02032
3/30/2001,1.400734,1.459484,1.358859,1.456359,2040000,1.447151,-0.009208
4/2/2001,1.467151,1.492151,1.398401,1.447151,2768000,1.410639,-0.036512
4/3/2001,1.482514,1.521264,1.394389,1.410639,1811200,1.469693,0.059054
4/4/2001,1.353443,1.479693,1.353443,1.469693,1620800,1.499221,0.029528
4/5/2001,1.454221,1.501096,1.422346,1.499221,1934400,1.469058,-0.030163
4/6/2001,1.514683,1.514683,1.414683,1.469058,1915200,1.491601,0.022543
4/9/2001,1.452226,1.524101,1.452226,1.491601,2339200,1.499221,0.00762
4/10/2001,1.479221,1.545471,1.469221,1.499221,2251200,1.467471,-0.03175
4/11/2001,1.525596,1.528721,1.413096,1.467471,3140800,1.449691,-0.01778
4/12/2001,1.500316,1.530316,1.421566,1.449691,2780800,1.458899,0.009208
4/16/2001,1.430774,1.461399,1.421399,1.458899,1876800,1.482711,0.023812
4/17/2001,1.438336,1.482711,1.404586,1.482711,1206400,1.510968,0.028257
4/18/2001,1.458468,1.533468,1.435343,1.510968,1596800,1.519223,0.008255
4/19/2001,1.518598,1.527973,1.490473,1.519223,1824000,1.50557,-0.013653
4/20/2001,1.519945,1.538695,1.48057,1.50557,1590400,1.505888,0.000318
4/23/2001,1.503388,1.519638,1.485263,1.505888,1195200,1.498586,-0.007302
4/24/2001,1.512336,1.522961,1.486086,1.498586,1430400,1.522398,0.023812
4/25/2001,1.475523,1.535523,1.469273,1.522398,1150400,1.516048,-0.00635
4/26/2001,1.469173,1.538548,1.456673,1.516048,5449600,1.485886,-0.030162
4/27/2001,1.535886,1.542136,1.454636,1.485886,2652800,1.460486,-0.0254
4/30/2001,1.497986,1.502986,1.446736,1.460486,2155200,1.444611,-0.015875
5/1/2001,1.488361,1.488361,1.419611,1.444611,2624000,1.430006,-0.014605
5/2/2001,1.471256,1.471256,1.383756,1.430006,3771200,1.365237,-0.064769
5/3/2001,1.427737,1.433987,1.365237,1.365237,3609600,1.387461,0.022224
5/4/2001,1.323086,1.393086,1.315586,1.387461,2419200,1.36873,-0.018731
5/7/2001,1.405605,1.41623,1.36748,1.36873,2272000,1.36492,-0.00381
5/8/2001,1.378045,1.38742,1.35617,1.36492,1432000,1.347775,-0.017145
5/9/2001,1.3759,1.3759,1.3259,1.347775,1912000,1.416036,0.068261
5/10/2001,1.331661,1.425411,1.329161,1.416036,4179200,1.408099,-0.007937
5/11/2001,1.430599,1.476849,1.394349,1.408099,2456000,1.406512,-0.001587
5/14/2001,1.403387,1.428387,1.394012,1.406512,1243200,1.428737,0.022225
5/15/2001,1.384362,1.440612,1.384362,1.428737,1192000,1.501761,0.073024
5/16/2001,1.358011,1.564261,1.351761,1.501761,2811200,1.535098,0.033337
5/17/2001,1.466348,1.596973,1.466348,1.535098,3752000,1.523033,-0.012065
5/18/2001,1.540533,1.546783,1.499283,1.523033,1550400,1.54748,0.024447
5/21/2001,1.491855,1.56248,1.48248,1.54748,2297600,1.517,-0.03048
5/22/2001,1.547625,1.562,1.507,1.517,2481600,1.49541,-0.02159
5/23/2001,1.52666,1.52666,1.48291,1.49541,1289600,1.481441,-0.013969
5/24/2001,1.509566,1.515191,1.455816,1.481441,1124800,1.466519,-0.014922
5/25/2001,1.492144,1.492144,1.454644,1.466519,1467200,1.486839,0.02032
5/29/2001,1.450589,1.493714,1.427464,1.486839,3438400,1.572843,0.086004
5/30/2001,1.559093,1.581593,1.557218,1.572843,2889600,1.589575,0.016732
5/31/2001,1.558325,1.605825,1.558325,1.589575,2668800,1.569496,-0.020079
6/1/2001,1.606996,1.606996,1.563871,1.569496,2654400,1.615677,0.046181
