,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,19.600027,19.725027,17.412527,17.912527,1731600,19.138329,1.225802
1/3/2001,16.763329,19.138329,16.450829,19.138329,2633400,19.138329,0
1/4/2001,18.888329,20.638329,18.763329,19.138329,2874200,18.980164,-0.158165
1/5/2001,19.105164,19.292664,18.605164,18.980164,1337100,18.821989,-0.158175
1/8/2001,18.821989,19.259489,18.509489,18.821989,889000,18.821989,0
1/9/2001,18.071989,18.946989,17.759489,18.821989,1995200,18.505663,-0.316326
1/10/2001,18.818163,18.943163,18.255663,18.505663,1247300,18.5452,0.039537
1/11/2001,18.6077,18.8577,17.8577,18.5452,1296600,18.861538,0.316338
1/12/2001,17.674038,19.049038,17.674038,18.861538,1778400,20.166424,1.304886
1/16/2001,17.978924,20.353924,17.853924,20.166424,2995600,20.957268,0.790844
1/17/2001,20.707268,21.832268,20.019768,20.957268,2946100,20.799093,-0.158175
1/18/2001,21.174093,21.236593,19.736593,20.799093,2684100,19.612835,-1.186258
1/19/2001,20.862835,20.925335,19.175335,19.612835,1671700,20.87818,1.265345
1/22/2001,18.87818,20.87818,18.25318,20.87818,1890500,21.392225,0.514045
1/23/2001,20.579725,22.017225,19.892225,21.392225,2514900,21.352682,-0.039543
1/24/2001,21.477682,22.540182,21.352682,21.352682,2339600,20.720007,-0.632675
1/25/2001,20.720007,21.345007,20.407507,20.720007,2095300,20.917717,0.19771
1/26/2001,20.355217,20.917717,20.292717,20.917717,1274700,21.099609,0.181892
1/29/2001,20.54961,21.359612,19.749611,21.099609,1112800,20.625107,-0.474502
1/30/2001,21.22511,21.425111,19.955109,20.625107,1435700,20.409998,-0.215109
1/31/2001,19.850001,20.749998,19.699999,20.409998,1198300,20.030394,-0.379604
2/1/2001,21.070395,21.070395,19.860394,20.030394,965200,19.45467,-0.575724
2/2/2001,20.37467,20.52467,19.424669,19.45467,1471200,20.688383,1.233713
2/5/2001,18.388382,21.078382,18.308382,20.688383,2318300,20.644091,-0.044292
2/6/2001,20.714091,21.26409,19.85409,20.644091,1590500,21.346355,0.702264
2/7/2001,20.106353,22.106353,20.006355,21.346355,2283800,21.162886,-0.183469
2/8/2001,21.612887,22.412886,21.052885,21.162886,1757700,20.764299,-0.398587
2/9/2001,21.044297,21.044297,20.3943,20.764299,1381800,20.644091,-0.120208
2/12/2001,20.83409,21.01409,20.414092,20.644091,957600,20.074684,-0.569407
2/13/2001,20.544685,20.844684,19.944684,20.074684,1181800,19.739372,-0.335312
2/14/2001,20.389371,20.529371,19.17937,19.739372,1269300,20.144283,0.404911
2/15/2001,19.504284,20.764282,19.404283,20.144283,2197600,20.517555,0.373272
2/16/2001,19.927555,20.897556,19.717554,20.517555,1846200,20.846548,0.328993
2/20/2001,20.446546,22.796549,20.396547,20.846548,2120300,20.37204,-0.474508
2/21/2001,20.922039,21.022037,20.182037,20.37204,816000,19.740477,-0.631563
2/22/2001,20.640477,20.740475,19.550477,19.740477,1124200,19.048601,-0.691876
2/23/2001,20.038601,20.128601,17.888601,19.048601,1948400,19.68239,0.633789
2/26/2001,19.18239,19.78239,19.05239,19.68239,1344900,20.860779,1.178389
2/27/2001,19.860779,21.610779,19.860779,20.860779,2468500,21.236589,0.37581
2/28/2001,20.656587,21.406587,20.496587,21.236589,2037500,20.548664,-0.687925
