,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,8.085483,8.144612,7.139409,7.257668,3398400,7.156866,-0.100802
1/3/2001,7.275125,7.452514,6.683829,7.156866,2934000,6.904862,-0.252004
1/4/2001,7.082251,7.20051,6.431825,6.904862,3240800,7.257668,0.352806
1/5/2001,7.08028,7.612446,6.96202,7.257668,2231300,7.862473,0.604805
1/8/2001,7.271177,7.980733,7.271177,7.862473,2178600,7.358468,-0.504005
1/9/2001,7.949764,8.068024,7.240209,7.358468,2036000,7.509668,0.1512
1/10/2001,7.332279,7.627928,7.332279,7.509668,1521200,7.257668,-0.252
1/11/2001,7.848964,7.848964,7.257668,7.257668,1883700,7.862473,0.604805
1/12/2001,7.271177,7.862473,7.271177,7.862473,2721500,8.064074,0.201601
1/16/2001,8.064074,8.300592,7.827555,8.064074,2274300,7.308067,-0.756007
1/17/2001,8.195012,8.195012,7.130679,7.308067,2870000,7.156866,-0.151201
1/18/2001,7.334254,7.511644,6.802088,7.156866,2806800,7.308067,0.151201
1/19/2001,7.01242,7.367197,6.835031,7.308067,1461600,7.45927,0.151203
1/22/2001,7.695788,7.873177,7.40014,7.45927,1361300,7.257668,-0.201602
1/23/2001,7.494187,7.553316,6.96202,7.257668,2174300,7.308067,0.050399
1/24/2001,7.248938,7.367197,7.01242,7.308067,1241800,7.560071,0.252004
1/25/2001,7.264422,7.737459,7.205293,7.560071,1100600,7.509668,-0.050403
1/26/2001,7.568798,7.627928,7.273149,7.509668,681700,7.273795,-0.235873
1/29/2001,7.567077,7.604921,7.188648,7.273795,1291400,7.112514,-0.161281
1/30/2001,7.169278,7.254425,6.819231,7.112514,1313300,6.951233,-0.161281
1/31/2001,7.083683,7.263437,6.941773,6.951233,1301200,7.160901,0.209668
2/1/2001,6.858158,7.227126,6.820315,7.160901,816200,7.322182,0.161281
2/2/2001,7.189732,7.331643,7.151888,7.322182,992600,7.354437,0.032255
2/5/2001,7.288212,7.581494,7.250369,7.354437,1369600,7.806023,0.451586
2/6/2001,7.2573,7.806023,7.191075,7.806023,1747800,8.039885,0.233862
2/7/2001,7.803366,8.068267,7.774984,8.039885,2441700,7.701191,-0.338694
2/8/2001,8.117463,8.193149,7.672808,7.701191,1837300,8.265676,0.564485
2/9/2001,7.792639,8.265676,7.707492,8.265676,3818300,8.370509,0.104833
2/12/2001,8.342126,8.370509,7.916394,8.370509,2189800,8.11246,-0.258049
2/13/2001,8.453045,8.481428,8.055695,8.11246,1336500,8.11246,0
2/14/2001,8.150303,8.339517,8.065156,8.11246,1635100,7.902795,-0.209665
2/15/2001,8.167696,8.167696,7.694659,7.902795,1472600,7.935054,0.032259
2/16/2001,7.991819,8.218876,7.802604,7.935054,1964600,8.064074,0.12902
2/20/2001,8.158682,8.376279,7.912702,8.064074,1583200,7.725382,-0.338692
2/21/2001,8.879592,8.879592,7.70646,7.725382,2093900,7.572165,-0.153217
2/22/2001,7.628929,7.676233,7.335647,7.572165,1776300,7.152834,-0.419331
2/23/2001,7.578567,7.644792,6.944697,7.152834,1909500,7.378629,0.225795
2/26/2001,7.208336,7.463776,7.208336,7.378629,1268900,7.40282,0.024191
2/27/2001,7.40282,7.516349,7.28929,7.40282,559700,7.354437,-0.048383
2/28/2001,7.477427,7.515269,7.316594,7.354437,1234800,7.338306,-0.016131
3/1/2001,7.338306,7.338306,7.168013,7.338306,924700,7.410884,0.072578
3/2/2001,7.23113,7.637941,7.23113,7.410884,707200,7.668932,0.258048
3/5/2001,7.413492,7.848686,7.39457,7.668932,966000,7.73345,0.064518
3/6/2001,7.84698,7.884822,7.695608,7.73345,900100,8.515663,0.782213
3/7/2001,7.891254,8.525123,7.891254,8.515663,4273100,8.846291,0.330628
3/8/2001,8.685459,8.931438,8.44894,8.846291,3887000,8.394699,-0.451592
3/9/2001,8.9245,8.9245,8.366317,8.394699,1661200,7.983433,-0.411266
3/12/2001,8.551077,8.551077,7.936129,7.983433,1721300,7.749576,-0.233857
3/13/2001,8.042859,8.099623,7.181932,7.749576,2244300,7.427011,-0.322565
3/14/2001,7.41755,7.786518,7.285099,7.427011,1124600,7.209281,-0.21773
3/15/2001,7.45526,7.597171,7.143056,7.209281,1664400,7.257668,0.048387
3/16/2001,7.210364,7.352275,7.068453,7.257668,1058000,7.386692,0.129024
3/19/2001,7.23532,7.452917,7.23532,7.386692,702900,7.491522,0.10483
3/20/2001,7.387455,7.907795,7.387455,7.491522,1352100,7.177025,-0.314497
3/21/2001,7.640602,7.640602,7.177025,7.177025,1084500,6.935103,-0.241922
3/22/2001,7.228387,7.266229,6.480988,6.935103,2308600,7.168962,0.233859
3/23/2001,6.8946,7.358177,6.8946,7.168962,910900,7.007681,-0.161281
3/26/2001,7.196896,7.357728,6.837388,7.007681,1073800,6.991553,-0.016128
3/27/2001,7.019936,7.0767,6.840182,6.991553,1232800,6.773822,-0.217731
3/28/2001,7.029261,7.086026,6.773822,6.773822,858000,6.596413,-0.177409
3/29/2001,6.728864,6.757246,6.094994,6.596413,2249800,7.136707,0.540294
3/30/2001,6.758278,7.136707,6.550141,7.136707,1786100,6.652861,-0.483846
4/2/2001,7.078594,7.173201,6.416342,6.652861,2185500,6.169017,-0.483844
4/3/2001,6.736662,6.736662,6.036567,6.169017,2192800,6.475451,0.306434
4/4/2001,6.06864,6.626823,6.030797,6.475451,2319900,6.733505,0.258054
4/5/2001,6.686202,6.752427,6.421301,6.733505,1362400,6.693181,-0.040324
4/6/2001,6.740484,7.024306,6.418819,6.693181,847300,7.064128,0.370947
4/9/2001,6.723542,7.07359,6.685699,7.064128,866700,7.257668,0.19354
