,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,21.350183,21.875185,20.885183,20.925184,3234000,20.124996,-0.800188
1/3/2001,22.444996,22.444996,19.769997,20.124996,5100000,18.722172,-1.402824
1/4/2001,21.012173,21.012173,18.637173,18.722172,8699400,19.284647,0.562475
1/5/2001,18.934649,19.709648,18.879648,19.284647,4510600,19.706497,0.42185
1/8/2001,19.081497,19.926497,19.081497,19.706497,4684000,20.07143,0.364933
1/9/2001,19.72143,20.171431,19.07143,20.07143,4910800,19.806946,-0.264484
1/10/2001,20.026945,20.091946,19.501946,19.806946,2970400,19.472132,-0.334814
1/11/2001,20.042132,20.042132,19.342133,19.472132,3423200,19.385084,-0.087048
1/12/2001,19.515083,19.860082,18.985082,19.385084,2856800,19.385084,0
1/16/2001,19.385084,19.660083,18.935083,19.385084,3030200,18.9331,-0.451984
1/17/2001,19.608101,19.608101,18.6031,18.9331,2873000,19.043592,0.110492
1/18/2001,18.86859,19.648591,18.40359,19.043592,3026200,18.966583,-0.077009
1/19/2001,19.081583,19.341583,18.391582,18.966583,2802600,19.010109,0.043526
1/22/2001,18.95011,19.27011,18.545109,19.010109,2788800,19.328167,0.318058
1/23/2001,18.978166,19.598167,18.873167,19.328167,2749200,19.505428,0.177261
1/24/2001,19.115429,19.70043,18.475429,19.505428,2841400,19.589354,0.083926
1/25/2001,19.064355,19.789355,18.544354,19.589354,2803800,19.139496,-0.449858
1/26/2001,19.909497,20.194496,19.084498,19.139496,3021600,18.927994,-0.211502
1/29/2001,19.247993,19.312994,18.612993,18.927994,2488600,19.713585,0.785591
1/30/2001,18.603584,20.008585,18.553585,19.713585,3565800,20.170155,0.45657
1/31/2001,19.365155,20.180153,18.655154,20.170155,3374200,20.505882,0.335727
2/1/2001,20.005882,20.715881,20.005882,20.505882,4760600,20.411871,-0.094011
2/2/2001,20.586872,20.886871,19.966871,20.411871,3541000,20.092943,-0.318928
2/5/2001,20.567944,20.892944,20.017944,20.092943,3516400,20.160078,0.067135
2/6/2001,20.160078,20.530078,19.760078,20.160078,2478400,19.925077,-0.235001
2/7/2001,19.250078,19.950079,18.990078,19.925077,10432400,20.113083,0.188006
2/8/2001,19.958082,20.208082,19.408083,20.113083,5343400,19.935154,-0.177929
2/9/2001,20.285154,20.295152,19.845153,19.935154,2211800,19.747147,-0.188007
2/12/2001,20.027148,20.142147,19.087147,19.747147,3202000,19.471861,-0.275286
2/13/2001,19.881861,19.886862,19.27186,19.471861,3961200,18.934704,-0.537157
2/14/2001,19.734703,19.734703,18.884703,18.934704,4497000,19.035418,0.100714
2/15/2001,18.735417,19.280417,18.590419,19.035418,3723600,19.891512,0.856094
2/16/2001,19.391512,19.961512,19.366512,19.891512,4063600,20.160078,0.268566
2/20/2001,19.885078,20.260078,19.760078,20.160078,2877200,19.857943,-0.302135
2/21/2001,20.182942,20.282942,19.432942,19.857943,3691200,19.891512,0.033569
2/22/2001,20.116512,20.391512,19.441511,19.891512,4147400,19.606142,-0.28537
2/23/2001,19.906141,19.951141,19.106142,19.606142,2825800,19.522217,-0.083925
2/26/2001,19.247215,19.697216,19.122215,19.522217,2759600,19.723646,0.201429
2/27/2001,19.398645,20.048647,19.358646,19.723646,3416000,19.824366,0.10072
2/28/2001,19.799366,20.009365,19.599365,19.824366,2216600,19.320786,-0.50358
3/1/2001,19.945786,20.045786,19.175785,19.320786,2392000,19.512148,0.191362
3/2/2001,19.15215,19.712149,19.15215,19.512148,3081000,19.639719,0.127571
3/5/2001,19.489719,19.689718,19.114719,19.639719,2092800,19.404715,-0.235004
3/6/2001,19.754715,19.754715,19.304714,19.404715,2447200,19.532284,0.127569
3/7/2001,19.042284,19.992283,19.042284,19.532284,3433200,20.143311,0.611027
3/8/2001,19.518311,20.293311,19.31831,20.143311,3189000,19.774008,-0.369303
3/9/2001,20.324007,20.374006,19.424007,19.774008,2250200,19.085775,-0.688233
3/12/2001,19.785776,20.160776,19.005775,19.085775,2893800,18.934704,-0.151071
3/13/2001,19.184704,19.184704,18.359703,18.934704,2928400,18.622482,-0.312222
3/14/2001,18.962482,19.087482,18.412481,18.622482,2918400,18.43112,-0.191362
3/15/2001,18.71612,18.71612,17.606119,18.43112,4126200,18.202833,-0.228287
3/16/2001,17.842832,18.717832,17.842832,18.202833,4838800,17.944323,-0.25851
3/19/2001,18.219323,18.384324,17.909324,17.944323,2833600,18.014832,0.070509
3/20/2001,17.909832,18.674832,17.884833,18.014832,4046600,17.239315,-0.775517
3/21/2001,18.314316,18.364315,17.239315,17.239315,4904600,17.121805,-0.11751
3/22/2001,16.996805,17.246805,15.871805,17.121805,6359800,17.289669,0.167864
3/23/2001,16.914669,17.439669,16.689669,17.289669,5829600,17.826822,0.537153
3/26/2001,17.476824,17.876823,17.161823,17.826822,4004000,18.535191,0.708369
3/27/2001,17.455191,18.780191,17.35519,18.535191,5860200,18.602345,0.067154
3/28/2001,18.497345,18.702345,17.772345,18.602345,3422000,18.196114,-0.406231
3/29/2001,18.721114,18.721114,17.896113,18.196114,3570800,18.551977,0.355863
3/30/2001,18.021978,18.711979,17.806978,18.551977,2498000,18.414333,-0.137644
4/2/2001,18.689335,19.154335,18.189335,18.414333,2825400,17.927549,-0.486784
4/3/2001,18.577548,18.627548,17.777547,17.927549,3189400,18.145763,0.218214
4/4/2001,17.695764,18.520763,17.265763,18.145763,3050200,18.632551,0.486788
