,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,4.039111,4.132861,3.851611,3.929736,1896000,3.994796,0.06506
1/3/2001,3.838546,3.994796,3.619796,3.994796,1608000,4.144438,0.149642
1/4/2001,3.785063,4.300688,3.785063,4.144438,1417200,4.027329,-0.117109
1/5/2001,4.371079,4.371079,3.980454,4.027329,1198000,3.929736,-0.097593
1/8/2001,4.054736,4.164111,3.851611,3.929736,784000,3.942748,0.013012
1/9/2001,4.052123,4.052123,3.802123,3.942748,802800,3.910216,-0.032532
1/10/2001,4.003966,4.003966,3.441466,3.910216,1172800,3.877683,-0.032533
1/11/2001,4.080808,4.080808,3.783933,3.877683,715600,3.936242,0.058559
1/12/2001,3.858117,3.951867,3.748742,3.936242,975600,4.014317,0.078075
1/16/2001,3.826817,4.045567,3.654942,4.014317,844800,3.903711,-0.110606
1/17/2001,4.278711,4.278711,3.888086,3.903711,521200,3.942748,0.039037
1/18/2001,3.895873,3.958373,3.567748,3.942748,795600,3.838649,-0.104099
1/19/2001,4.104274,4.104274,3.713649,3.838649,597200,3.851661,0.013012
1/22/2001,3.882911,3.914161,3.711036,3.851661,540000,3.929736,0.078075
1/23/2001,3.742236,4.054736,3.695361,3.929736,774000,3.884194,-0.045542
1/24/2001,4.009194,4.040444,3.884194,3.884194,502400,3.884194,0
1/25/2001,4.040444,4.040444,3.446694,3.884194,2572400,3.81913,-0.065064
1/26/2001,3.69413,3.897255,3.303505,3.81913,2597200,3.852701,0.033571
1/29/2001,3.847701,3.905201,3.647701,3.852701,692000,3.95576,0.103059
1/30/2001,3.70576,3.95576,3.47826,3.95576,664800,3.905794,-0.049966
1/31/2001,3.930794,4.150794,3.900794,3.905794,1667600,3.894341,-0.011453
2/1/2001,3.984341,4.039341,3.741841,3.894341,898800,3.8704,-0.023941
2/2/2001,4.0304,4.0429,3.7829,3.8704,931200,3.764217,-0.106183
2/5/2001,4.081717,4.081717,3.761717,3.764217,1100400,3.825636,0.061419
2/6/2001,3.675636,3.903136,3.238136,3.825636,1762400,3.924532,0.098896
2/7/2001,3.674532,3.944532,3.649532,3.924532,619600,3.837086,-0.087446
2/8/2001,4.047086,4.097086,3.759586,3.837086,1074800,3.777753,-0.059333
2/9/2001,3.980253,3.980253,3.705253,3.777753,1006800,3.825636,0.047883
2/12/2001,3.688136,3.913136,3.675636,3.825636,749200,3.883931,0.058295
2/13/2001,3.831431,3.906431,3.806431,3.883931,964000,3.856868,-0.027063
2/14/2001,3.944368,3.961868,3.804368,3.856868,880000,4.011975,0.155107
2/15/2001,3.676975,4.036975,3.664475,4.011975,1487200,3.909959,-0.102016
2/16/2001,4.154959,4.332459,3.769959,3.909959,1411200,3.869357,-0.040602
2/20/2001,4.014357,4.164357,3.836857,3.869357,883600,3.867277,-0.00208
2/21/2001,3.872277,3.904777,3.652277,3.867277,843600,3.814186,-0.053091
2/22/2001,3.941686,3.941686,3.654186,3.814186,864800,3.789203,-0.024983
2/23/2001,3.851703,3.851703,3.569203,3.789203,1190800,3.983869,0.194666
2/26/2001,3.616369,4.153869,3.541369,3.983869,1046000,4.040825,0.056956
2/27/2001,3.953325,4.193325,3.953325,4.040825,844800,3.97097,-0.069855
2/28/2001,4.23347,4.28347,3.93347,3.97097,943200,4.042974,0.072004
3/1/2001,4.137974,4.150474,3.857974,4.042974,1135600,4.136474,0.0935
3/2/2001,3.976474,4.321474,3.948974,4.136474,982000,4.3052,0.168726
3/5/2001,3.8652,4.3777,3.8652,4.3052,1636800,4.328842,0.023642
3/6/2001,4.336342,4.621342,4.258842,4.328842,2025600,4.579243,0.250401
3/7/2001,4.114243,4.744243,4.081743,4.579243,3219200,4.581393,0.00215
3/8/2001,4.578893,4.671393,4.548893,4.581393,1494000,4.521211,-0.060182
3/9/2001,4.691211,4.693711,4.516211,4.521211,1597200,4.406219,-0.114992
3/12/2001,4.673719,4.781219,4.406219,4.406219,1880400,4.411593,0.005374
3/13/2001,4.524093,4.524093,4.074093,4.411593,2660800,4.277257,-0.134336
3/14/2001,4.427257,4.494757,4.164757,4.277257,1452800,4.294451,0.017194
3/15/2001,4.541951,4.541951,4.261951,4.294451,1293600,4.16549,-0.128961
3/16/2001,4.40049,4.42549,4.12549,4.16549,1359600,4.296603,0.131113
3/19/2001,4.039103,4.364103,3.939103,4.296603,1109200,4.149368,-0.147235
3/20/2001,4.584368,4.584368,4.131868,4.149368,921200,4.017185,-0.132183
3/21/2001,4.309685,4.327185,3.934685,4.017185,1372400,4.009659,-0.007526
3/22/2001,3.969659,4.144659,3.557159,4.009659,1561600,3.931207,-0.078452
3/23/2001,4.148707,4.148707,3.798707,3.931207,1477200,4.098858,0.167651
3/26/2001,3.833858,4.188858,3.788858,4.098858,1024400,4.126801,0.027943
3/27/2001,3.971801,4.136801,3.939301,4.126801,652400,4.053721,-0.07308
3/28/2001,4.173721,4.248721,3.936221,4.053721,633600,4.051575,-0.002146
3/29/2001,4.026575,4.226575,3.901575,4.051575,1520400,4.034377,-0.017198
3/30/2001,4.024377,4.176877,3.909377,4.034377,687600,3.999986,-0.034391
4/2/2001,4.029986,4.392486,3.942486,3.999986,1010000,3.86995,-0.130036
4/3/2001,4.20495,4.20495,3.80995,3.86995,1190400,3.948404,0.078454
