,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,18.429955,18.554955,17.367455,17.492455,346200,17.492455,0
1/3/2001,17.742455,18.367455,17.492455,17.492455,806700,16.088736,-1.403719
1/4/2001,18.276236,18.276236,15.338736,16.088736,868600,16.304688,0.215952
1/5/2001,15.929688,16.429688,15.742188,16.304688,558800,16.448658,0.14397
1/8/2001,16.198658,16.886158,16.011158,16.448658,979500,16.376675,-0.071983
1/9/2001,16.751675,16.751675,15.501675,16.376675,566600,16.2687,-0.107975
1/10/2001,16.2687,16.5812,15.8937,16.2687,306400,15.764798,-0.503902
1/11/2001,16.702298,16.702298,15.514798,15.764798,867100,16.124735,0.359937
1/12/2001,15.249735,16.187235,15.062235,16.124735,528000,15.908778,-0.215957
1/16/2001,16.283778,16.283778,15.033778,15.908778,349400,15.836791,-0.071987
1/17/2001,15.836791,15.961791,15.586791,15.836791,264500,15.980757,0.143966
1/18/2001,15.730757,16.168257,15.605757,15.980757,212700,15.944769,-0.035988
1/19/2001,16.194769,16.382269,15.569769,15.944769,301900,16.232708,0.287939
1/22/2001,15.982708,16.357708,15.357708,16.232708,261000,16.2687,0.035992
1/23/2001,16.1437,16.7687,15.8312,16.2687,838400,16.448658,0.179958
1/24/2001,17.136158,18.261158,15.761158,16.448658,2118700,16.772606,0.323948
1/25/2001,16.272606,16.772606,16.022606,16.772606,772500,16.880573,0.107967
1/26/2001,16.443073,17.568073,16.443073,16.880573,981500,17.31105,0.430477
1/29/2001,16.571051,17.401051,16.571051,17.31105,661100,17.080694,-0.230356
1/30/2001,17.230693,17.600694,17.060693,17.080694,405800,16.988556,-0.092138
1/31/2001,17.148556,17.328556,16.378555,16.988556,426000,16.959761,-0.028795
2/1/2001,17.10976,17.10976,16.709761,16.959761,253900,16.873373,-0.086388
2/2/2001,17.163374,17.423374,16.723374,16.873373,277400,17.34281,0.469437
2/5/2001,16.78281,17.44281,16.70281,17.34281,508600,17.34281,0
2/6/2001,17.402809,17.402809,16.902809,17.34281,541400,17.121214,-0.221596
2/7/2001,17.501213,17.751213,17.011213,17.121214,486900,17.290327,0.169113
2/8/2001,17.190326,17.540327,17.120327,17.290327,711400,17.581905,0.291578
2/9/2001,17.131906,17.631906,17.081905,17.581905,665900,17.931797,0.349892
2/12/2001,17.231796,18.141796,17.231796,17.931797,1173300,17.780172,-0.151625
2/13/2001,18.240173,18.290172,17.570173,17.780172,302100,17.756842,-0.02333
2/14/2001,17.546841,18.046841,17.416842,17.756842,490800,17.558577,-0.198265
2/15/2001,18.048576,18.048576,17.248575,17.558577,783300,17.640223,0.081646
2/16/2001,17.500224,18.140223,17.340224,17.640223,608100,17.820997,0.180774
2/20/2001,17.510998,18.160998,17.360998,17.820997,605800,17.960947,0.13995
2/21/2001,17.960947,18.160948,17.810948,17.960947,821400,18.100906,0.139959
2/22/2001,17.960905,18.310905,17.760906,18.100906,775800,17.057068,-1.043838
2/23/2001,16.807068,17.407068,16.307068,17.057068,3432900,17.109554,0.052486
2/26/2001,17.159553,17.319553,16.669554,17.109554,1407100,17.214521,0.104967
2/27/2001,16.74452,17.24452,16.74452,17.214521,1273600,17.232014,0.017493
2/28/2001,17.252015,17.382016,16.782015,17.232014,1523800,17.576069,0.344055
3/1/2001,16.986069,17.626071,16.84607,17.576069,1783400,17.587732,0.011663
3/2/2001,17.567731,17.917732,17.427732,17.587732,991000,17.523582,-0.06415
3/5/2001,17.923584,17.953583,16.973583,17.523582,1010300,17.581905,0.058323
3/6/2001,17.681905,17.681905,17.231904,17.581905,737400,17.640223,0.058318
3/7/2001,17.540223,17.790223,17.130223,17.640223,543700,17.640223,0
3/8/2001,17.640223,17.940222,17.370223,17.640223,565400,17.581905,-0.058318
3/9/2001,17.721906,17.721906,17.081905,17.581905,571200,17.494429,-0.087476
3/12/2001,17.68443,17.974429,17.094429,17.494429,535200,17.447781,-0.046648
3/13/2001,17.527781,17.57778,16.82778,17.447781,484200,17.144543,-0.303238
3/14/2001,17.414543,17.414543,16.944544,17.144543,423800,17.331148,0.186605
3/15/2001,16.861149,17.331148,16.611149,17.331148,708800,17.371973,0.040825
3/16/2001,17.081972,17.371973,16.961971,17.371973,779900,17.430283,0.05831
3/19/2001,17.330285,17.480285,17.120284,17.430283,729500,17.24951,-0.180773
3/20/2001,17.559509,17.619511,16.979509,17.24951,546900,17.232014,-0.017496
3/21/2001,17.272015,18.012015,17.182015,17.232014,1149300,16.298975,-0.933039
3/22/2001,17.798975,17.798975,15.798975,16.298975,569400,16.619707,0.320732
3/23/2001,16.119707,16.819708,15.569708,16.619707,653700,16.870464,0.250757
3/26/2001,17.140465,17.140465,16.540464,16.870464,919400,16.922943,0.052479
3/27/2001,16.832943,17.092944,16.502943,16.922943,764400,16.823809,-0.099134
3/28/2001,16.873809,16.993809,16.223809,16.823809,1173700,16.882126,0.058317
3/29/2001,16.832125,16.932125,16.462126,16.882126,839300,17.255335,0.373209
3/30/2001,16.715334,17.325335,16.515335,17.255335,1215000,17.401125,0.14579
4/2/2001,17.151125,17.781124,17.071125,17.401125,1014600,17.261175,-0.13995
4/3/2001,17.561175,17.651175,17.101176,17.261175,923800,17.232014,-0.029161
4/4/2001,17.282015,17.582015,17.122016,17.232014,865100,17.185364,-0.04665
4/5/2001,17.515364,17.515364,16.965365,17.185364,1107200,17.022081,-0.163283
4/6/2001,17.48208,18.032081,16.43208,17.022081,1101700,17.511919,0.489838
4/9/2001,16.731918,17.981918,16.731918,17.511919,574900,17.966778,0.454859
4/10/2001,17.35678,18.056779,17.306779,17.966778,605200,17.955111,-0.011667
4/11/2001,18.07511,18.15511,17.215109,17.955111,427200,17.92013,-0.034981
4/12/2001,17.84013,17.92013,17.19013,17.92013,538800,17.873478,-0.046652
4/16/2001,17.773477,18.173479,17.483478,17.873478,439800,18.235033,0.361555
4/17/2001,17.865033,18.235033,17.615033,18.235033,737000,18.089241,-0.145792
4/18/2001,18.089241,18.319241,17.45924,18.089241,659700,17.791838,-0.297403
4/19/2001,18.321839,18.381838,17.681838,17.791838,641900,17.319489,-0.472349
4/20/2001,18.119488,18.219488,17.069489,17.319489,1044600,17.669373,0.349884
4/23/2001,17.269374,17.769374,17.169373,17.669373,883700,17.669373,0
4/24/2001,17.619374,17.919373,17.469374,17.669373,737500,17.698536,0.029163
4/25/2001,17.648535,17.838536,17.448536,17.698536,508900,17.756842,0.058306
4/26/2001,17.656841,18.206841,17.61684,17.756842,771700,17.797668,0.040826
4/27/2001,17.877668,17.917667,17.557669,17.797668,568500,18.252527,0.454859
4/30/2001,17.952528,18.502527,17.802528,18.252527,1748300,18.514944,0.262417
5/1/2001,17.914944,18.564943,17.614944,18.514944,1633800,17.272837,-1.242107
5/2/2001,19.302836,19.322836,17.192837,17.272837,1420200,17.19903,-0.073807
5/3/2001,17.27903,17.589031,17.069031,17.19903,1058300,17.452913,0.253883
5/4/2001,17.272913,17.482914,17.022913,17.452913,946900,17.405682,-0.047231
5/7/2001,17.625683,17.625683,17.215683,17.405682,566800,17.069138,-0.336544
5/8/2001,17.639138,17.709137,16.869137,17.069138,778800,17.281694,0.212556
5/9/2001,16.961695,17.411694,16.951695,17.281694,703200,17.417488,0.135794
