,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,1.695421,1.747504,1.518338,1.523546,4348800,1.533375,0.009829
1/3/2001,1.507333,1.533375,1.293792,1.533375,7140000,1.395765,-0.13761
1/4/2001,1.614515,1.614515,1.343682,1.395765,4683200,1.467846,0.072081
1/5/2001,1.36368,1.48868,1.36368,1.467846,2496800,1.507164,0.039318
1/8/2001,1.507164,1.559248,1.460289,1.507164,3562400,1.471123,-0.036041
1/9/2001,1.523206,1.523206,1.408623,1.471123,2501600,1.487506,0.016383
1/10/2001,1.461465,1.581256,1.456256,1.487506,2076000,1.503888,0.016382
1/11/2001,1.488263,1.550763,1.477846,1.503888,1544000,1.461294,-0.042594
1/12/2001,1.518585,1.518585,1.393585,1.461294,3276000,1.513717,0.052423
1/16/2001,1.40955,1.513717,1.40955,1.513717,1448000,1.448188,-0.065529
1/17/2001,1.552355,1.552355,1.432563,1.448188,2240000,1.356448,-0.09174
1/18/2001,1.523115,1.53874,1.309573,1.356448,6264000,1.421977,0.065529
1/19/2001,1.338643,1.463643,1.333435,1.421977,1248800,1.4187,-0.003277
1/22/2001,1.423909,1.460367,1.4187,1.4187,843200,1.40887,-0.00983
1/23/2001,1.419287,1.450537,1.388037,1.40887,1061600,1.415424,0.006554
1/24/2001,1.425841,1.457091,1.415424,1.415424,420000,1.461294,0.04587
1/25/2001,1.430044,1.555044,1.398794,1.461294,2107200,1.477676,0.016382
1/26/2001,1.493301,1.514135,1.441218,1.477676,1200800,1.441634,-0.036042
1/29/2001,1.4983,1.522467,1.429134,1.441634,1985600,1.431151,-0.010483
1/30/2001,1.426984,1.447818,1.406151,1.431151,1699200,1.468894,0.037743
1/31/2001,1.401394,1.483894,1.401394,1.468894,2681600,1.431151,-0.037743
2/1/2001,1.481151,1.481151,1.364484,1.431151,1454400,1.445829,0.014678
2/2/2001,1.422496,1.489163,1.420829,1.445829,2126400,1.47204,0.026211
2/5/2001,1.427873,1.522873,1.427873,1.47204,2133600,1.469943,-0.002097
2/6/2001,1.479109,1.499109,1.413276,1.469943,964800,1.554781,0.084838
2/7/2001,1.458947,1.554781,1.425614,1.554781,1594400,1.504111,-0.05067
2/8/2001,1.570778,1.570778,1.487444,1.504111,864800,1.580917,0.076806
2/9/2001,1.460917,1.59425,1.45675,1.580917,1779200,1.584118,0.003201
2/12/2001,1.600785,1.617451,1.559118,1.584118,1371200,1.576117,-0.008001
2/13/2001,1.58445,1.60695,1.536117,1.576117,1377600,1.591585,0.015468
2/14/2001,1.567418,1.625751,1.546585,1.591585,1689600,1.531847,-0.059738
2/15/2001,1.617681,1.617681,1.471847,1.531847,1288800,1.533447,0.0016
2/16/2001,1.530947,1.587614,1.508447,1.533447,1508000,1.533447,0
2/20/2001,1.579281,1.595947,1.527614,1.533447,811200,1.493977,-0.03947
2/21/2001,1.551477,1.59231,1.493143,1.493977,994400,1.443307,-0.05067
2/22/2001,1.522474,1.529974,1.41164,1.443307,1785600,1.436373,-0.006934
2/23/2001,1.442206,1.475539,1.392206,1.436373,1747200,1.471042,0.034669
2/26/2001,1.416876,1.518542,1.416876,1.471042,1340000,1.477443,0.006401
2/27/2001,1.47661,1.490777,1.473277,1.477443,555200,1.44544,-0.032003
2/28/2001,1.496274,1.496274,1.42044,1.44544,1143200,1.427839,-0.017601
3/1/2001,1.435339,1.446173,1.406173,1.427839,1262400,1.424105,-0.003734
3/2/2001,1.428272,1.428272,1.415772,1.424105,1796000,1.464108,0.040003
3/5/2001,1.409941,1.509941,1.397441,1.464108,1654400,1.506778,0.04267
3/6/2001,1.441778,1.506778,1.382611,1.506778,1310400,1.600652,0.093874
3/7/2001,1.483152,1.715652,1.483152,1.600652,6617600,1.706793,0.106141
3/8/2001,1.665126,1.760959,1.631793,1.706793,5320800,1.681725,-0.025068
3/9/2001,1.741725,1.758392,1.679225,1.681725,1332800,1.626787,-0.054938
3/12/2001,1.651787,1.651787,1.563453,1.626787,2090400,1.597452,-0.029335
3/13/2001,1.601619,1.609952,1.499119,1.597452,1857600,1.56865,-0.028802
3/14/2001,1.605317,1.65115,1.559484,1.56865,1635200,1.560115,-0.008535
3/15/2001,1.622615,1.622615,1.518448,1.560115,1118400,1.525979,-0.034136
3/16/2001,1.579312,1.640979,1.516812,1.525979,950400,1.546781,0.020802
3/19/2001,1.515114,1.555114,1.515114,1.546781,1714400,1.536113,-0.010668
3/20/2001,1.553613,1.598613,1.529446,1.536113,2223200,1.458775,-0.077338
3/21/2001,1.587941,1.587941,1.433775,1.458775,2280800,1.450774,-0.008001
3/22/2001,1.39244,1.450774,1.309107,1.450774,3619200,1.482776,0.032002
3/23/2001,1.432776,1.499442,1.432776,1.482776,2059200,1.48651,0.003734
3/26/2001,1.48901,1.505677,1.42401,1.48651,1668800,1.488111,0.001601
3/27/2001,1.483111,1.515611,1.475611,1.488111,2008800,1.453441,-0.03467
3/28/2001,1.515941,1.520108,1.453441,1.453441,1344800,1.385169,-0.068272
3/29/2001,1.479335,1.479335,1.379335,1.385169,1256000,1.440107,0.054938
3/30/2001,1.34844,1.440107,1.34844,1.440107,2184000,1.402771,-0.037336
4/2/2001,1.481104,1.502771,1.394437,1.402771,1395200,1.360101,-0.04267
4/3/2001,1.427601,1.442601,1.353434,1.360101,2698400,1.338766,-0.021335
4/4/2001,1.330432,1.429599,1.322099,1.338766,2784000,1.402771,0.064005
4/5/2001,1.303604,1.427771,1.302771,1.402771,1788000,1.39477,-0.008001
4/6/2001,1.40727,1.40727,1.38227,1.39477,576000,1.454508,0.059738
4/9/2001,1.382008,1.494508,1.377841,1.454508,1476800,1.477443,0.022935
4/10/2001,1.44161,1.51911,1.44161,1.477443,1917600,1.466775,-0.010668
4/11/2001,1.504275,1.516775,1.442608,1.466775,1502400,1.485443,0.018668
4/12/2001,1.456277,1.497943,1.456277,1.485443,820800,1.495044,0.009601
4/16/2001,1.488378,1.516711,1.475878,1.495044,1946400,1.571317,0.076273
4/17/2001,1.470484,1.578817,1.457984,1.571317,2007200,1.525979,-0.045338
4/18/2001,1.596812,1.596812,1.515145,1.525979,1620000,1.418772,-0.107207
4/19/2001,1.586272,1.586272,1.387938,1.418772,12101600,1.433706,0.014934
4/20/2001,1.414539,1.527039,1.410373,1.433706,7065600,1.444907,0.011201
4/23/2001,1.427407,1.462407,1.412407,1.444907,3890400,1.485977,0.04107
4/24/2001,1.580977,1.580977,1.452643,1.485977,2896800,1.505711,0.019734
4/25/2001,1.507378,1.511544,1.440711,1.505711,5378400,1.57985,0.074139
4/26/2001,1.48485,1.686517,1.48485,1.57985,4723200,1.57025,-0.0096
4/27/2001,1.58525,1.58525,1.53025,1.57025,1750400,1.542514,-0.027736
4/30/2001,1.585014,1.597514,1.532514,1.542514,3266400,1.519579,-0.022935
5/1/2001,1.562079,1.562079,1.498745,1.519579,1697600,1.44384,-0.075739
5/2/2001,1.529674,1.529674,1.39634,1.44384,1552800,1.453441,0.009601
5/3/2001,1.438441,1.461775,1.399275,1.453441,1380000,1.488111,0.03467
5/4/2001,1.434778,1.495611,1.433944,1.488111,1498400,1.493444,0.005333
5/7/2001,1.493444,1.543444,1.485111,1.493444,2673600,1.477443,-0.016001
5/8/2001,1.527443,1.527443,1.452443,1.477443,1192800,1.504111,0.026668
5/9/2001,1.441611,1.554111,1.441611,1.504111,1911200,1.510512,0.006401
5/10/2001,1.500512,1.525512,1.483845,1.510512,2546400,1.502511,-0.008001
5/11/2001,1.515011,1.515011,1.475011,1.502511,602400,1.613453,0.110942
5/14/2001,1.46762,1.663453,1.46762,1.613453,5012000,1.639054,0.025601
5/15/2001,1.599888,1.651554,1.599888,1.639054,1951200,1.714945,0.075891
5/16/2001,1.744112,1.744112,1.694112,1.714945,5815200,1.739329,0.024384
5/17/2001,1.702662,1.757662,1.693496,1.739329,3932000,1.776716,0.037387
5/18/2001,1.731716,1.815049,1.731716,1.776716,2119200,1.853116,0.0764
5/21/2001,1.794783,1.853949,1.757283,1.853116,2458400,1.831985,-0.021131
