,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,3.111969,3.216136,3.059886,3.059886,2409600,3.186451,0.126565
1/3/2001,3.019785,3.186451,2.863535,3.186451,7230600,3.313015,0.126564
1/4/2001,3.240098,3.552598,3.240098,3.313015,8973000,3.33535,0.022335
1/5/2001,3.314516,3.3666,3.189516,3.33535,5757000,3.46936,0.13401
1/8/2001,3.354776,3.53186,3.34436,3.46936,7308000,3.484249,0.014889
1/9/2001,3.463416,3.484249,3.400916,3.484249,7108800,3.402355,-0.081894
1/10/2001,3.485688,3.496105,3.319021,3.402355,4066800,3.394911,-0.007444
1/11/2001,3.457411,3.478244,3.363661,3.394911,3991200,3.27579,-0.119121
1/12/2001,3.317457,3.317457,3.21329,3.27579,5740200,3.4098,0.13401
1/16/2001,3.263967,3.44105,3.232717,3.4098,3211200,3.432136,0.022336
1/17/2001,3.442553,3.45297,3.32797,3.432136,2411400,3.36513,-0.067006
1/18/2001,3.531797,3.531797,3.323464,3.36513,5432400,3.298125,-0.067005
1/19/2001,3.423125,3.423125,3.266875,3.298125,3772800,3.36513,0.067005
1/22/2001,3.27138,3.385964,3.198464,3.36513,3341400,3.342795,-0.022335
1/23/2001,3.384462,3.446962,3.290712,3.342795,3104400,3.327904,-0.014891
1/24/2001,3.307071,3.338321,3.119571,3.327904,4322400,3.33535,0.007446
1/25/2001,3.283266,3.377016,3.21035,3.33535,3562200,3.179006,-0.156344
1/26/2001,3.397756,3.397756,3.085256,3.179006,3748800,3.246011,0.067005
1/29/2001,3.204344,3.369344,3.204344,3.246011,6009600,3.404441,0.15843
1/30/2001,3.141108,3.456108,3.134441,3.404441,5268000,3.633149,0.228708
1/31/2001,3.311483,3.639816,3.258149,3.633149,8666400,3.735592,0.102443
2/1/2001,3.592259,3.758926,3.592259,3.735592,11226600,3.633149,-0.102443
2/2/2001,3.716483,3.748149,3.618149,3.633149,5643600,3.645059,0.01191
2/5/2001,3.670059,3.710059,3.605059,3.645059,2784600,3.672457,0.027398
2/6/2001,3.617457,3.782457,3.61579,3.672457,3247800,3.567635,-0.104822
2/7/2001,3.750968,3.759301,3.534301,3.567635,4546200,3.65459,0.086955
2/8/2001,3.541257,3.666257,3.537923,3.65459,4057800,3.670075,0.015485
2/9/2001,3.618408,3.741741,3.576742,3.670075,3074400,3.778475,0.1084
2/12/2001,3.650141,3.788475,3.625141,3.778475,5522400,3.8428,0.064325
2/13/2001,3.799466,3.9128,3.754466,3.8428,5399400,3.72249,-0.12031
2/14/2001,3.84749,3.855824,3.705824,3.72249,3939000,3.751079,0.028589
2/15/2001,3.669413,3.794413,3.669413,3.751079,2791200,3.786814,0.035735
2/16/2001,3.738481,3.815148,3.713481,3.786814,4030800,3.898787,0.111973
2/20/2001,3.80212,3.94212,3.785454,3.898787,9072600,3.904743,0.005956
2/21/2001,3.89141,3.94141,3.818077,3.904743,6601800,3.919168,0.014425
2/22/2001,3.927502,3.937502,3.777502,3.919168,5841600,3.993704,0.074536
2/23/2001,3.957037,4.023704,3.857037,3.993704,6167400,4.020153,0.026449
2/26/2001,3.983487,4.10682,3.94682,4.020153,5554200,4.047805,0.027652
2/27/2001,3.961138,4.051138,3.952805,4.047805,3954600,4.020153,-0.027652
2/28/2001,4.07182,4.11182,3.988487,4.020153,5883000,4.010535,-0.009618
3/1/2001,3.950535,4.033868,3.887201,4.010535,6763800,3.967257,-0.043278
3/2/2001,3.967257,3.983924,3.928924,3.967257,7410000,3.973266,0.006009
3/5/2001,3.9816,4.014933,3.933266,3.973266,5824800,3.954032,-0.019234
3/6/2001,4.030698,4.037365,3.925698,3.954032,7858800,3.970864,0.016832
3/7/2001,3.965864,4.124197,3.955864,3.970864,6060000,4.017751,0.046887
3/8/2001,3.956084,4.051084,3.956084,4.017751,3862800,4.006929,-0.010822
3/9/2001,4.026929,4.091929,3.968596,4.006929,3670800,3.987694,-0.019235
3/12/2001,4.014361,4.034361,3.962695,3.987694,4145400,3.711189,-0.276505
3/13/2001,4.094522,4.094522,3.699522,3.711189,14389800,3.545284,-0.165905
3/14/2001,3.671951,3.680284,3.438617,3.545284,7888200,3.609001,0.063717
3/15/2001,3.505667,3.635667,3.397334,3.609001,8006400,3.364954,-0.244047
3/16/2001,3.661621,3.691621,3.316621,3.364954,10189800,3.54769,0.182736
3/19/2001,3.379356,3.587689,3.349356,3.54769,6102000,3.485175,-0.062515
3/20/2001,3.520176,3.553509,3.411842,3.485175,10037400,3.52605,0.040875
3/21/2001,3.47105,3.629384,3.409384,3.52605,4954800,3.473151,-0.052899
3/22/2001,3.491484,3.554818,3.408151,3.473151,6337800,3.516432,0.043281
