,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,1.48003,1.481332,1.314666,1.340707,1521600,1.588611,0.247904
1/3/2001,1.333402,1.588611,1.317777,1.588611,1692000,1.606319,0.017708
1/4/2001,1.551631,1.61934,1.551631,1.606319,1744800,1.406478,-0.199841
1/5/2001,1.613509,1.613509,1.271061,1.406478,2925600,1.350826,-0.055652
1/8/2001,1.423743,1.431555,1.340409,1.350826,717600,1.449482,0.098656
1/9/2001,1.373961,1.457294,1.373961,1.449482,684000,1.441893,-0.007589
1/10/2001,1.457518,1.457518,1.410643,1.441893,1236000,1.558256,0.116363
1/11/2001,1.443672,1.558256,1.443672,1.558256,576000,1.613908,0.055652
1/12/2001,1.5462,1.629533,1.533179,1.613908,1336800,1.798571,0.184663
1/16/2001,1.618883,1.822008,1.587633,1.798571,3192000,1.861812,0.063241
1/17/2001,1.814937,1.882645,1.791499,1.861812,2445600,1.917464,0.055652
1/18/2001,1.860173,1.956527,1.818506,1.917464,921600,1.978808,0.061344
1/19/2001,1.920866,1.983366,1.889616,1.978808,1116000,1.925053,-0.053755
1/22/2001,1.984949,1.984949,1.776615,1.925053,1586400,2.01612,0.091067
1/23/2001,1.898932,2.180182,1.867682,2.01612,2932800,2.033828,0.017708
1/24/2001,2.033828,2.033828,1.908828,2.033828,2616000,2.028769,-0.005059
1/25/2001,2.02356,2.028769,1.919394,2.028769,895200,1.912405,-0.116364
1/26/2001,1.974905,2.058238,1.901988,1.912405,1024800,1.973117,0.060712
1/29/2001,1.944471,2.004367,1.796685,1.973117,1159200,2.028769,0.055652
1/30/2001,1.955852,2.028769,1.94804,2.028769,595200,1.993354,-0.035415
1/31/2001,2.014188,2.032417,1.988146,1.993354,705600,2.008531,0.015177
2/1/2001,1.969469,2.021552,1.923245,2.008531,436800,1.902287,-0.106244
2/2/2001,2.008407,2.016871,1.837183,1.902287,1044000,1.88205,-0.020237
2/5/2001,1.910696,1.9133,1.848196,1.88205,823200,1.937701,0.055651
2/6/2001,1.927284,2.005409,1.903847,1.937701,3360000,1.864342,-0.073359
2/7/2001,1.960696,1.960696,1.846113,1.864342,1341600,1.846635,-0.017707
2/8/2001,1.890906,1.909135,1.846635,1.846635,679200,1.818809,-0.027826
2/9/2001,1.868288,1.889121,1.816205,1.818809,1315200,1.785923,-0.032886
2/12/2001,1.80936,1.819777,1.726027,1.785923,1567200,1.720153,-0.06577
2/13/2001,1.787862,1.845153,1.69932,1.720153,751200,1.629086,-0.091067
2/14/2001,1.720232,1.738461,1.629086,1.629086,950400,1.692327,0.063241
2/15/2001,1.637639,1.692327,1.629827,1.692327,1185600,1.664501,-0.027826
2/16/2001,1.664501,1.700959,1.638459,1.664501,818400,1.780864,0.116363
2/20/2001,1.674094,1.780864,1.614198,1.780864,1408800,1.751773,-0.029091
2/21/2001,1.69318,1.802555,1.69318,1.751773,1476000,1.659441,-0.092332
2/22/2001,1.742775,1.742775,1.609962,1.659441,1634400,1.679678,0.020237
2/23/2001,1.669261,1.679678,1.552074,1.679678,1956000,1.699916,0.020238
2/26/2001,1.684291,1.725958,1.673874,1.699916,816000,1.684738,-0.015178
2/27/2001,1.700363,1.736821,1.67953,1.684738,751200,1.699916,0.015178
2/28/2001,1.685593,1.699916,1.663458,1.699916,1524000,1.710034,0.010118
3/1/2001,1.6892,1.72045,1.652742,1.710034,2328000,1.67462,-0.035414
3/2/2001,1.679829,1.690245,1.669412,1.67462,1730400,1.613908,-0.060712
3/5/2001,1.680315,1.681617,1.585263,1.613908,1296000,1.659441,0.045533
3/6/2001,1.622983,1.659441,1.617775,1.659441,288000,1.639205,-0.020236
3/7/2001,1.660038,1.675663,1.639205,1.639205,1020000,1.636675,-0.00253
3/8/2001,1.644487,1.670529,1.618446,1.636675,1274400,1.629086,-0.007589
3/9/2001,1.636899,1.644711,1.613461,1.629086,2556000,1.538019,-0.091067
3/12/2001,1.498957,1.55104,1.449478,1.538019,2611200,1.526003,-0.012016
3/13/2001,1.492799,1.564414,1.434206,1.526003,3612000,1.426715,-0.099288
3/14/2001,1.50484,1.525673,1.426715,1.426715,4140000,1.416597,-0.010118
3/15/2001,1.427014,1.458264,1.382743,1.416597,2215200,1.305293,-0.111304
3/16/2001,1.414668,1.445918,1.300085,1.305293,3225600,1.411537,0.106244
3/19/2001,1.345131,1.411537,1.312579,1.411537,1478400,1.406478,-0.005059
3/20/2001,1.380436,1.468978,1.380436,1.406478,991200,1.437466,0.030988
3/21/2001,1.449836,1.462856,1.418586,1.437466,823200,1.502604,0.065138
3/22/2001,1.434896,1.580729,1.434896,1.502604,1704000,1.474778,-0.027826
3/23/2001,1.519049,1.526862,1.456549,1.474778,4317600,1.457071,-0.017707
3/26/2001,1.470743,1.483113,1.441446,1.457071,3345600,1.431774,-0.025297
3/27/2001,1.453259,1.455212,1.382295,1.431774,2448000,1.34134,-0.090434
3/28/2001,1.429231,1.429231,1.312044,1.34134,2671200,1.148455,-0.192885
3/29/2001,1.312517,1.35158,1.125017,1.148455,3619200,1.216755,0.0683
3/30/2001,1.167276,1.261026,1.162068,1.216755,6177600,1.338178,0.121423
4/2/2001,1.213178,1.387657,1.210574,1.338178,5433600,1.353356,0.015178
4/3/2001,1.339033,1.392419,1.29346,1.353356,8186400,1.366004,0.012648
4/4/2001,1.358192,1.485796,1.352983,1.366004,3295200,1.507663,0.141659
4/5/2001,1.380059,1.51808,1.351413,1.507663,2443200,1.454541,-0.053122
4/6/2001,1.454541,1.467562,1.420687,1.454541,1183200,1.376122,-0.078419
4/9/2001,1.438622,1.466955,1.371955,1.376122,1413600,1.497545,0.121423
4/10/2001,1.382545,1.585045,1.372961,1.497545,1104000,1.361552,-0.135993
4/11/2001,1.497385,1.522385,1.356135,1.361552,3900000,1.346981,-0.014571
4/12/2001,1.293647,1.379481,1.120731,1.346981,13485600,1.274127,-0.072854
4/16/2001,1.33746,1.37871,1.227043,1.274127,4752000,1.531948,0.257821
4/17/2001,1.258198,1.601115,1.249448,1.531948,9549600,1.783697,0.251749
4/18/2001,1.634114,1.869114,1.61578,1.783697,8253600,1.871931,0.088234
4/19/2001,1.784848,1.928181,1.781515,1.871931,5246400,1.688583,-0.183348
4/20/2001,1.745667,1.783167,1.62525,1.688583,3386400,1.608849,-0.079734
4/23/2001,1.690932,1.690932,1.608849,1.608849,2709600,1.538019,-0.07083
4/24/2001,1.623853,1.627186,1.517603,1.538019,2493600,1.610468,0.072449
4/25/2001,1.547968,1.650051,1.535884,1.610468,1476000,1.595492,-0.014976
4/26/2001,1.661325,1.661325,1.589242,1.595492,760800,1.581731,-0.013761
4/27/2001,1.644231,1.645065,1.577981,1.581731,696000,1.711249,0.129518
4/30/2001,1.622499,1.786665,1.576249,1.711249,5428800,1.739581,0.028332
5/1/2001,1.707081,1.742081,1.657081,1.739581,1336800,1.752532,0.012951
5/2/2001,1.733365,1.781698,1.710865,1.752532,4286400,1.751723,-0.000809
5/3/2001,1.752557,1.752557,1.69839,1.751723,1161600,1.726224,-0.025499
5/4/2001,1.734558,1.738308,1.691641,1.726224,648000,1.693035,-0.033189
5/7/2001,1.778451,1.804285,1.679285,1.693035,1279200,1.676846,-0.016189
5/8/2001,1.713096,1.713096,1.661429,1.676846,151200,1.619777,-0.057069
5/9/2001,1.702277,1.702277,1.562694,1.619777,1435200,1.655394,0.035617
5/10/2001,1.626227,1.688727,1.617894,1.655394,988800,1.668346,0.012952
5/11/2001,1.655013,1.668346,1.596679,1.668346,880800,1.614515,-0.053831
5/14/2001,1.669932,1.669932,1.612849,1.614515,842400,1.640823,0.026308
5/15/2001,1.613739,1.659573,1.597489,1.640823,470400,1.674417,0.033594
5/16/2001,1.625667,1.709834,1.614834,1.674417,700800,1.703154,0.028737
5/17/2001,1.723988,1.728571,1.625654,1.703154,852000,1.718129,0.014975
5/18/2001,1.699379,1.730212,1.678546,1.718129,717600,1.778031,0.059902
5/21/2001,1.710114,1.780947,1.702197,1.778031,1567200,1.794221,0.01619
5/22/2001,1.779221,1.823388,1.747138,1.794221,2632800,1.760627,-0.033594
5/23/2001,1.793544,1.806877,1.698127,1.760627,1329600,1.81041,0.049783
5/24/2001,1.75916,1.82166,1.75916,1.81041,664800,1.782078,-0.028332
5/25/2001,1.811245,1.832912,1.780828,1.782078,1089600,1.722581,-0.059497
5/29/2001,1.803415,1.803415,1.706331,1.722581,722400,1.618968,-0.103613
5/30/2001,1.723551,1.723551,1.589801,1.618968,1898400,1.651752,0.032784
5/31/2001,1.620502,1.684252,1.620502,1.651752,1908000,1.650537,-0.001215
6/1/2001,1.65762,1.669287,1.547203,1.650537,916800,1.659441,0.008904
6/4/2001,1.676108,1.676108,1.606108,1.659441,1077600,1.729057,0.069616
6/5/2001,1.643224,1.74364,1.643224,1.729057,974400,1.750508,0.021451
6/6/2001,1.767175,1.767175,1.740092,1.750508,4780800,1.75577,0.005262
6/7/2001,1.752853,1.812853,1.75077,1.75577,2373600,1.783697,0.027927
6/8/2001,1.764114,1.80578,1.763697,1.783697,3170400,1.776816,-0.006881
6/11/2001,1.785149,1.814316,1.767649,1.776816,1516800,1.803125,0.026309
6/12/2001,1.778958,1.803125,1.764792,1.803125,760800,1.787745,-0.01538
6/13/2001,1.803161,1.803578,1.780661,1.787745,2076000,1.652561,-0.135184
6/14/2001,1.784644,1.784644,1.652561,1.652561,585600,1.586588,-0.065973
6/15/2001,1.630338,1.632422,1.512422,1.586588,3494400,1.513735,-0.072853
6/18/2001,1.594152,1.594985,1.513735,1.513735,532800,1.537614,0.023879
6/19/2001,1.540114,1.671364,1.504697,1.537614,1039200,1.647299,0.109685
6/20/2001,1.521883,1.655633,1.493549,1.647299,681600,1.629895,-0.017404
6/21/2001,1.656145,1.656145,1.564478,1.629895,643200,1.584969,-0.044926
6/22/2001,1.638719,1.645802,1.584969,1.584969,424800,1.558256,-0.026713
6/25/2001,1.585339,1.594506,1.542422,1.558256,2282400,1.608849,0.050593
6/26/2001,1.565099,1.608849,1.538849,1.608849,1123200,1.671584,0.062735
6/27/2001,1.610751,1.718668,1.610751,1.671584,1317600,1.693845,0.022261
6/28/2001,1.689678,1.761762,1.671345,1.693845,4459200,1.718129,0.024284
6/29/2001,1.701462,1.730629,1.675212,1.718129,4173600,1.695464,-0.022665
7/2/2001,1.706297,1.745047,1.657547,1.695464,1296000,1.688583,-0.006881
7/3/2001,1.694833,1.721083,1.658583,1.688583,504000,1.566351,-0.122232
7/5/2001,1.661351,1.662184,1.542184,1.566351,4725600,1.592659,0.026308
7/6/2001,1.545159,1.609743,1.544743,1.592659,1555200,1.584564,-0.008095
7/9/2001,1.612897,1.684564,1.584564,1.584564,1543200,1.564327,-0.020237
7/10/2001,1.599743,1.60391,1.564327,1.564327,1473600,1.579303,0.014976
7/11/2001,1.56597,1.603053,1.560553,1.579303,2700000,1.737962,0.158659
7/12/2001,1.619628,1.746295,1.619628,1.737962,2140800,1.720153,-0.017809
7/13/2001,1.73682,1.739737,1.720153,1.720153,1022400,1.701939,-0.018214
7/16/2001,1.724856,1.735273,1.681106,1.701939,1560000,1.787745,0.085806
7/17/2001,1.722328,1.830661,1.720661,1.787745,4780800,1.788959,0.001214
7/18/2001,1.784792,1.801459,1.784375,1.788959,3220800,1.7242,-0.064759
7/19/2001,1.7917,1.797117,1.720867,1.7242,2083200,1.70801,-0.01619
7/20/2001,1.720927,1.722177,1.68426,1.70801,2409600,1.758603,0.050593
7/23/2001,1.712769,1.758603,1.706519,1.758603,1620000,1.77965,0.021047
7/24/2001,1.733817,1.782567,1.733817,1.77965,2464800,1.786935,0.007285
7/25/2001,1.780685,1.786935,1.770269,1.786935,1980000,1.824981,0.038046
7/26/2001,1.785814,1.825398,1.775398,1.824981,4519200,1.843599,0.018618
7/27/2001,1.820265,1.864432,1.818599,1.843599,6141600,1.818505,-0.025094
