,Open,High,Low,Close,Volume,Next Day Close,Difference
11/13/2009,20.800996,21.900996,20.550996,21.530996,22079100,21.881475,0.350479
11/16/2009,21.681475,21.881475,20.911474,21.881475,2080000,21.824644,-0.056831
11/17/2009,21.814644,21.954643,21.284643,21.824644,1328000,21.360481,-0.464163
11/18/2009,21.810482,21.830482,21.310482,21.360481,918300,21.66361,0.303129
11/19/2009,21.063609,21.933608,21.063609,21.66361,1031500,21.98567,0.32206
11/20/2009,21.275671,22.105671,21.275671,21.98567,1080900,22.165649,0.179979
11/23/2009,22.46565,22.745649,21.945649,22.165649,741100,22.260374,0.094725
11/24/2009,22.360374,22.410374,22.010374,22.260374,633100,22.487717,0.227343
11/25/2009,21.747717,22.547716,21.737717,22.487717,362600,21.928833,-0.558884
11/27/2009,21.518833,22.078832,21.518833,21.928833,141400,21.786745,-0.142088
11/30/2009,21.906746,21.906746,21.406746,21.786745,853000,22.080395,0.29365
12/1/2009,22.210397,22.340396,21.770396,22.080395,803500,22.355103,0.274708
12/2/2009,22.045104,22.505103,22.005103,22.355103,571300,22.080395,-0.274708
12/3/2009,22.590396,22.590396,21.770396,22.080395,410000,22.591911,0.511516
12/4/2009,22.21191,22.721911,22.04191,22.591911,318100,22.383516,-0.208395
12/7/2009,22.523517,22.523517,22.033518,22.383516,271500,22.383516,0
12/8/2009,22.253517,22.503517,21.753517,22.383516,652900,22.733999,0.350483
12/9/2009,22.363998,22.854,22.233999,22.733999,609400,22.449823,-0.284176
12/10/2009,23.519822,23.519822,22.139821,22.449823,848400,22.108814,-0.341009
12/11/2009,22.368814,22.508814,21.878815,22.108814,600300,21.5973,-0.511514
12/14/2009,22.087302,22.127301,21.547301,21.5973,489100,21.493103,-0.104197
12/15/2009,21.603101,21.693101,21.323102,21.493103,700100,21.530996,0.037893
12/16/2009,21.640996,21.850995,21.350995,21.530996,585400,21.256289,-0.274707
12/17/2009,21.566288,21.566288,20.896288,21.256289,634000,21.379433,0.123144
12/18/2009,21.419434,21.419434,20.919434,21.379433,2105100,21.407846,0.028413
12/21/2009,21.307846,21.417847,20.977846,21.407846,536400,21.218397,-0.189449
12/22/2009,21.398397,21.428398,21.118396,21.218397,766100,21.227875,0.009478
12/23/2009,22.037874,22.067875,21.217875,21.227875,1103000,20.98159,-0.246285
12/24/2009,21.291589,21.43159,20.93159,20.98159,254300,21.426792,0.445202
12/28/2009,20.956791,21.486791,20.956791,21.426792,804300,21.417318,-0.009474
