,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,11.972517,12.160017,11.378767,11.878767,1104400,10.950207,-0.92856
1/3/2001,13.481457,13.856457,10.856457,10.950207,2569200,10.146206,-0.804001
1/4/2001,12.646206,12.646206,9.896206,10.146206,4019200,10.225474,0.079268
1/5/2001,10.131724,10.444224,9.662974,10.225474,3299400,10.633137,0.407663
1/8/2001,10.039387,10.726887,9.945637,10.633137,3367800,10.621813,-0.011324
1/9/2001,10.559313,10.684313,10.121813,10.621813,3146800,10.644461,0.022648
1/10/2001,11.206961,11.300711,10.175711,10.644461,2717600,10.225474,-0.418987
1/11/2001,11.381724,11.381724,9.881724,10.225474,2911000,10.55387,0.328396
1/12/2001,9.64762,10.67887,9.39762,10.55387,2989800,10.225474,-0.328396
1/16/2001,10.756724,10.881724,9.756724,10.225474,3191400,10.519898,0.294424
1/17/2001,9.738648,10.676148,9.269898,10.519898,5556200,10.689757,0.169859
1/18/2001,10.221007,10.814757,9.877257,10.689757,2288200,10.972847,0.28309
1/19/2001,10.004097,11.066597,9.535347,10.972847,3791400,11.05212,0.079273
1/22/2001,10.83337,11.36462,10.42712,11.05212,1933400,11.233302,0.181182
1/23/2001,10.827052,11.920802,10.827052,11.233302,1821800,11.357866,0.124564
1/24/2001,11.107866,11.732866,11.014116,11.357866,1492200,11.527728,0.169862
1/25/2001,11.340228,11.715228,11.277728,11.527728,1279800,11.391837,-0.135891
1/26/2001,11.829337,12.079337,11.016837,11.391837,1504600,11.423545,0.031708
1/29/2001,11.338546,12.178544,11.338546,11.423545,1410200,11.233302,-0.190243
1/30/2001,11.853303,11.978303,11.193301,11.233302,2435400,11.19707,-0.036232
1/31/2001,11.29707,11.372071,10.597069,11.19707,1394600,11.05212,-0.14495
2/1/2001,11.30212,11.51712,10.80212,11.05212,1261400,11.164451,0.112331
2/2/2001,10.974453,11.604452,10.854452,11.164451,1705400,11.256855,0.092404
2/5/2001,11.116853,11.601854,11.046854,11.256855,1097200,11.276787,0.019932
2/6/2001,11.306786,11.621786,10.906786,11.276787,795200,11.457973,0.181186
2/7/2001,11.032972,11.647971,11.012971,11.457973,1715600,11.648211,0.190238
