,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,26.222545,26.342739,22.256199,23.337929,38311200,25.50503,2.167101
1/3/2001,22.07955,25.625223,21.658876,25.50503,40774000,25.638386,0.133356
1/4/2001,24.917233,26.299443,24.736943,25.638386,28003400,25.238306,-0.40008
1/5/2001,25.658976,25.719073,24.096476,25.238306,23702000,24.304789,-0.933517
1/8/2001,25.927385,25.927385,23.403345,24.304789,24139300,23.804703,-0.500086
1/9/2001,25.066723,25.367203,22.963357,23.804703,20868600,23.838028,0.033325
1/10/2001,23.297161,24.258701,22.395721,23.838028,25797500,24.838232,1.000204
1/11/2001,23.936792,25.258906,23.576216,24.838232,24543000,24.371471,-0.466761
1/12/2001,25.453201,25.573391,23.710411,24.371471,17475000,25.271648,0.900177
1/16/2001,23.649055,25.451938,23.588958,25.271648,20548800,24.904913,-0.366735
1/17/2001,26.166933,26.647703,24.664529,24.904913,25388400,25.405014,0.500101
1/18/2001,25.164627,25.825687,24.443474,25.405014,20061900,25.071615,-0.333399
1/19/2001,25.852865,26.153348,24.711038,25.071615,20134500,24.404808,-0.666807
1/22/2001,25.486542,25.967308,24.104328,24.404808,21519500,24.904913,0.500105
1/23/2001,24.724626,25.325586,24.364046,24.904913,21966400,24.704868,-0.200045
1/24/2001,24.885158,25.546215,24.224098,24.704868,19910900,24.504841,-0.200027
1/25/2001,24.925515,25.706765,24.384648,24.504841,21644500,23.804703,-0.700138
1/26/2001,25.547493,25.90807,23.744607,23.804703,27932800,23.674004,-0.130699
1/29/2001,24.145157,25.47208,23.30862,23.674004,23948200,24.671528,0.997524
1/30/2001,23.238835,24.690758,22.911915,24.671528,20636800,24.527504,-0.144024
1/31/2001,25.267887,25.460194,24.123657,24.527504,22199900,24.660852,0.133348
2/1/2001,24.920469,25.141622,24.343546,24.660852,18290300,24.687538,0.026686
2/2/2001,24.658691,25.283691,24.274078,24.687538,16682100,25.525024,0.837486
2/5/2001,24.11156,25.765407,23.794254,25.525024,22720800,25.391676,-0.133348
2/6/2001,25.632063,25.862829,25.007063,25.391676,16601100,25.044933,-0.346743
2/7/2001,25.737243,25.862243,24.727626,25.044933,13552300,25.146296,0.101363
2/8/2001,25.732833,26.11745,25.040526,25.146296,18416800,24.356798,-0.789498
2/9/2001,25.779874,25.789491,24.097181,24.356798,19217800,25.343655,0.986857
2/12/2001,23.564809,25.641732,23.564809,25.343655,18671300,25.15696,-0.186695
2/13/2001,25.63773,25.955037,25.128114,25.15696,14894900,24.67687,-0.48009
2/14/2001,25.542253,25.5711,24.542253,24.67687,13769200,25.594387,0.917517
2/15/2001,23.979,25.70977,23.83477,25.594387,24972000,25.071615,-0.522772
2/16/2001,24.590848,25.388925,24.360078,25.071615,17593600,25.439684,0.368069
2/20/2001,24.968531,26.035837,24.939684,25.439684,20833500,25.231636,-0.208048
2/21/2001,25.616249,26.337406,25.154713,25.231636,19237400,25.124969,-0.106667
2/22/2001,25.365356,25.509586,24.124969,25.124969,23817300,24.634188,-0.490781
2/23/2001,24.989958,25.422648,23.518801,24.634188,24303200,25.594387,0.960199
2/26/2001,24.652077,25.62323,23.882847,25.594387,21916500,25.605043,0.010656
2/27/2001,25.105043,25.605043,24.643503,25.605043,23482000,24.804888,-0.800155
2/28/2001,26.247195,26.477965,23.939501,24.804888,27615500,24.490156,-0.314732
3/1/2001,24.095926,24.644003,23.528619,24.490156,24916100,23.775352,-0.714804
3/2/2001,24.525352,24.823429,23.727275,23.775352,22860300,24.134045,0.358693
3/5/2001,23.816739,24.403275,23.672509,24.134045,17338700,24.316074,0.182029
3/6/2001,25.11415,25.45069,24.21992,24.316074,16319200,24.615879,0.299805
3/7/2001,24.125492,24.885109,24.125492,24.615879,14445000,24.556984,-0.058895
3/8/2001,24.826214,25.028137,23.720444,24.556984,17234900,23.45413,-1.102854
3/9/2001,24.838747,24.95413,23.107977,23.45413,20686900,21.200279,-2.253851
3/12/2001,24.469509,24.757973,20.238739,21.200279,47536600,22.661808,1.461529
3/13/2001,21.863732,22.825268,21.142578,22.661808,44657200,21.965836,-0.695972
3/14/2001,21.696606,23.138913,21.071606,21.965836,36854500,21.992613,0.026777
3/15/2001,22.39646,22.732996,21.62723,21.992613,25841600,21.735632,-0.256981
3/16/2001,21.543325,22.841402,21.254865,21.735632,46645000,22.003319,0.267687
3/19/2001,21.618706,22.503319,21.089859,22.003319,21665000,21.441187,-0.562132
3/20/2001,22.835417,23.41234,21.39311,21.441187,23217300,20.879063,-0.562124
3/21/2001,21.88868,22.417523,20.754063,20.879063,27914400,20.183077,-0.695986
3/22/2001,21.192694,21.250384,18.952307,20.183077,58179000,21.409067,1.22599
3/23/2001,20.216761,21.409067,19.639837,21.409067,47566000,21.537548,0.128481
3/26/2001,21.797162,22.277932,21.364472,21.537548,32389600,22.436958,0.89941
3/27/2001,21.321574,22.754264,21.129264,22.436958,38014300,22.244228,-0.19273
3/28/2001,21.955765,22.292305,21.523075,22.244228,27938400,22.163925,-0.080303
3/29/2001,22.067772,22.240849,21.490849,22.163925,28043200,22.410187,0.246262
3/30/2001,22.304417,22.46788,21.794804,22.410187,30605200,22.378057,-0.03213
4/2/2001,22.108827,23.195367,21.493443,22.378057,25218300,21.243099,-1.134958
4/3/2001,23.041175,23.079635,20.839252,21.243099,24543200,21.200279,-0.04282
4/4/2001,21.152203,22.450279,20.661816,21.200279,27904500,22.538671,1.338392
4/5/2001,21.480978,22.682901,21.096361,22.538671,24746400,22.040787,-0.497884
4/6/2001,22.40617,22.5504,21.252324,22.040787,25639300,22.485149,0.444362
4/9/2001,21.946685,22.869762,21.735149,22.485149,18492500,23.464849,0.9797
4/10/2001,22.426389,25.099466,22.282159,23.464849,27155500,23.165045,-0.299804
4/11/2001,24.251582,24.347735,22.665045,23.165045,20953800,23.930607,0.765562
4/12/2001,22.824837,23.930607,22.50753,23.930607,17955900,23.903845,-0.026762
4/16/2001,23.788459,23.999999,23.192305,23.903845,14695400,24.337492,0.433647
4/17/2001,23.029799,24.366335,22.924029,24.337492,21327600,25.638414,1.300922
4/18/2001,23.70572,25.70572,23.359567,25.638414,37897000,25.970333,0.331919
4/19/2001,24.99918,26.008796,24.83572,25.970333,22944400,25.750835,-0.219498
4/20/2001,26.145065,26.145065,25.173912,25.750835,24201800,25.269016,-0.481819
4/23/2001,25.797859,25.807476,24.961322,25.269016,16860300,24.621229,-0.647787
4/24/2001,25.592383,26.361616,24.525076,24.621229,19359000,25.595573,0.974344
4/25/2001,24.528267,26.239803,24.239803,25.595573,18572100,26.393263,0.79769
4/26/2001,26.056723,26.479799,25.614416,26.393263,21886000,26.741245,0.347982
4/27/2001,26.116245,26.741245,25.145091,26.741245,16308500,25.981047,-0.760198
