,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,11.354348,11.635598,10.791848,11.229348,860400,10.765457,-0.463891
1/3/2001,11.265457,11.265457,9.827957,10.765457,1053400,10.445533,-0.319924
1/4/2001,11.070533,11.070533,9.789283,10.445533,793400,10.429538,-0.015995
1/5/2001,10.492038,10.992038,10.304538,10.429538,783200,10.541511,0.111973
1/8/2001,10.322761,11.010261,10.322761,10.541511,662600,10.653483,0.111972
1/9/2001,10.684733,11.247233,10.372233,10.653483,609200,11.037389,0.383906
1/10/2001,10.474889,11.349889,10.474889,11.037389,1247600,11.229348,0.191959
1/11/2001,11.104348,11.260598,10.666848,11.229348,803400,11.069385,-0.159963
1/12/2001,11.319385,11.319385,10.725635,11.069385,577400,10.941413,-0.127972
1/16/2001,11.128913,11.222663,10.441413,10.941413,820600,10.509517,-0.431896
1/17/2001,11.384517,11.384517,10.353267,10.509517,1320400,10.141603,-0.367914
1/18/2001,10.860353,10.860353,9.360353,10.141603,885200,10.173599,0.031996
1/19/2001,9.861099,10.517349,9.454849,10.173599,785400,10.46153,0.287931
1/22/2001,9.96153,10.71153,9.96153,10.46153,747800,10.877427,0.415897
1/23/2001,10.064927,10.908677,10.064927,10.877427,805400,11.165361,0.287934
1/24/2001,10.602861,11.321611,10.384111,11.165361,799200,11.917183,0.751822
1/25/2001,10.479683,12.323433,10.479683,11.917183,2739600,11.869195,-0.047988
1/26/2001,11.994195,12.275445,11.181695,11.869195,1250600,12.254382,0.385187
1/29/2001,11.599381,12.699381,11.589381,12.254382,1750000,12.105938,-0.148444
1/30/2001,12.400938,12.640937,12.080938,12.105938,970400,12.236471,0.130533
1/31/2001,11.98147,12.32147,11.971469,12.236471,884200,11.926784,-0.309687
2/1/2001,12.621786,12.621786,11.881784,11.926784,662200,12.282544,0.35576
2/2/2001,11.602544,12.387543,11.602544,12.282544,1027800,12.802094,0.51955
2/5/2001,11.837094,12.912095,11.782094,12.802094,1801600,12.866084,0.06399
2/6/2001,12.931085,12.981084,12.381084,12.866084,1431600,13.541762,0.675678
2/7/2001,12.236762,13.586762,11.961762,13.541762,1490600,13.308859,-0.232903
2/8/2001,13.658859,13.658859,12.898859,13.308859,2014000,13.503368,0.194509
2/9/2001,13.123369,13.973369,12.94837,13.503368,1242200,13.513604,0.010236
2/12/2001,13.493603,13.708603,13.118603,13.513604,904400,13.858335,0.344731
2/13/2001,13.058336,14.073335,12.903335,13.858335,975800,13.840391,-0.017944
2/14/2001,13.875391,14.290392,13.72039,13.840391,669400,13.355983,-0.484408
2/15/2001,14.225982,14.225982,13.305982,13.355983,904600,13.55846,0.202477
2/16/2001,13.208459,14.008459,13.208459,13.55846,1278000,13.853211,0.294751
2/20/2001,13.00321,13.928211,13.00321,13.853211,1354800,13.79426,-0.058951
2/21/2001,14.00926,14.184259,13.084261,13.79426,1160800,13.050981,-0.743279
2/22/2001,13.965982,14.000982,12.470981,13.050981,1286800,13.156068,0.105087
2/23/2001,12.851068,13.401067,12.406068,13.156068,876800,13.507198,0.35113
2/26/2001,12.792198,13.532198,12.702198,13.507198,1474800,13.568712,0.061514
2/27/2001,13.573713,13.728712,13.073713,13.568712,669400,13.2996,-0.269112
2/28/2001,13.824599,13.824599,13.1046,13.2996,622200,13.399549,0.099949
3/1/2001,13.20455,13.60955,13.16955,13.399549,884000,13.942912,0.543363
3/2/2001,12.92791,13.987912,12.92791,13.942912,938200,14.199222,0.25631
3/5/2001,13.874221,14.489221,13.79922,14.199222,844200,14.527289,0.328067
3/6/2001,14.687289,14.787289,14.247288,14.527289,1692600,14.99632,0.469031
3/7/2001,14.266321,15.081321,14.196321,14.99632,1139200,14.86817,-0.12815
3/8/2001,15.11817,15.228171,14.293171,14.86817,1061800,14.740019,-0.128151
3/9/2001,15.08502,15.330019,14.48502,14.740019,647400,14.114639,-0.62538
3/12/2001,15.60964,15.629638,14.079639,14.114639,867200,13.420054,-0.694585
3/13/2001,14.775054,14.775054,13.300053,13.420054,1214800,13.158623,-0.261431
3/14/2001,12.818623,14.138623,12.743622,13.158623,1223200,12.725471,-0.433152
3/15/2001,13.57047,13.575469,12.415469,12.725471,1339600,12.530683,-0.194788
3/16/2001,12.910684,13.580684,12.355683,12.530683,970000,13.056104,0.525421
3/19/2001,12.036106,13.056104,12.036106,13.056104,869600,13.407248,0.351144
3/20/2001,12.607247,13.802246,12.607247,13.407248,1334600,13.284214,-0.123034
3/21/2001,13.469213,13.659214,12.579212,13.284214,1308800,12.874125,-0.410089
3/22/2001,13.409125,13.434124,11.959126,12.874125,1025200,13.248331,0.374206
3/23/2001,12.643332,13.493332,12.088331,13.248331,791800,13.263713,0.015382
3/26/2001,13.738713,13.988713,12.893712,13.263713,740800,13.125308,-0.138405
3/27/2001,13.495308,13.495308,12.220309,13.125308,795800,12.494798,-0.63051
3/28/2001,12.794797,13.069799,12.369798,12.494798,931600,11.787405,-0.707393
3/29/2001,12.667404,12.667404,11.627403,11.787405,1044400,11.866858,0.079453
3/30/2001,11.711859,12.391857,11.666859,11.866858,1589800,11.45421,-0.412648
4/2/2001,12.464211,12.464211,11.059212,11.45421,1288400,11.092817,-0.361393
4/3/2001,11.752817,12.027819,10.852818,11.092817,859200,11.538785,0.445968
4/4/2001,10.928785,11.958785,10.928785,11.538785,1102000,12.046268,0.507483
4/5/2001,11.146268,12.381267,10.936267,12.046268,836600,12.08984,0.043572
4/6/2001,11.879841,12.654841,11.029841,12.08984,786200,12.341019,0.251179
4/9/2001,11.976017,12.856018,11.906017,12.341019,1339800,12.733157,0.392138
4/10/2001,12.368157,12.918157,11.918157,12.733157,682000,12.410219,-0.322938
4/11/2001,13.04022,13.04022,12.250219,12.410219,602000,12.646021,0.235802
4/12/2001,12.18602,13.201021,12.18602,12.646021,1258200,12.943331,0.29731
4/16/2001,12.563332,13.16333,12.563332,12.943331,547200,12.838243,-0.105088
4/17/2001,13.043243,13.448244,12.543243,12.838243,912200,12.492235,-0.346008
4/18/2001,13.122234,13.392234,12.327234,12.492235,823400,12.097528,-0.394707
4/19/2001,12.872528,12.872528,11.497528,12.097528,1237000,12.118035,0.020507
4/20/2001,12.078036,12.358035,11.748036,12.118035,824000,12.753667,0.635632
4/23/2001,11.638667,12.818668,11.638667,12.753667,612800,12.689592,-0.064075
4/24/2001,13.159593,13.309593,12.609592,12.689592,639200,12.505053,-0.184539
4/25/2001,12.865052,12.960053,12.310054,12.505053,1120800,13.053548,0.548495
4/26/2001,11.963548,13.173547,11.963548,13.053548,1649200,13.068922,0.015374
4/27/2001,13.073921,13.143921,12.528921,13.068922,845800,13.130437,0.061515
4/30/2001,13.010438,13.640437,12.895436,13.130437,787200,12.633202,-0.497235
5/1/2001,13.608203,13.608203,12.563203,12.633202,893200,11.400383,-1.232819
5/2/2001,12.910383,12.910383,11.385383,11.400383,1792200,11.502903,0.10252
5/3/2001,11.262903,11.662902,10.787902,11.502903,1350800,11.559292,0.056389
5/4/2001,11.234293,11.784293,11.234293,11.559292,863600,11.264543,-0.294749
5/7/2001,12.039543,12.164543,11.189543,11.264543,1122000,11.156897,-0.107646
5/8/2001,11.366898,11.366898,10.991898,11.156897,766200,11.615674,0.458777
5/9/2001,10.720673,11.730674,10.705674,11.615674,1459200,11.39782,-0.217854
5/10/2001,11.812819,12.072819,11.162819,11.39782,1038600,11.171569,-0.226251
5/11/2001,11.58657,11.58657,10.996569,11.171569,906400,11.540958,0.369389
5/14/2001,10.820957,11.590957,10.820957,11.540958,924600,11.728224,0.187266
5/15/2001,11.393223,11.768223,11.393223,11.728224,902000,11.666656,-0.061568
5/16/2001,11.786657,11.921657,11.436656,11.666656,969800,11.797483,0.130827
5/17/2001,11.547483,11.862481,10.927482,11.797483,1191400,11.905227,0.107744
5/18/2001,11.820228,12.350227,11.800227,11.905227,953000,11.871874,-0.033353
5/21/2001,12.141875,12.141875,11.781874,11.871874,521800,11.222872,-0.649002
5/22/2001,12.222872,12.247872,11.197872,11.222872,1770000,10.838087,-0.384785
5/23/2001,11.588087,11.593086,10.413088,10.838087,1661000,10.44048,-0.397607
5/24/2001,11.22548,11.22548,10.19048,10.44048,1332600,10.389167,-0.051313
5/25/2001,10.489167,10.939166,10.339168,10.389167,1098200,10.425086,0.035919
5/29/2001,10.605086,10.805087,10.230086,10.425086,1232000,10.325041,-0.100045
5/30/2001,10.540041,10.550041,9.87504,10.325041,1037800,10.142912,-0.182129
5/31/2001,10.497912,10.922911,10.007912,10.142912,1091600,10.076214,-0.066698
6/1/2001,10.081215,10.361214,9.876216,10.076214,1074400,10.135215,0.059001
6/4/2001,10.280216,10.605216,10.030216,10.135215,1344200,10.153172,0.017957
6/5/2001,10.188172,10.41317,9.703171,10.153172,716600,9.870996,-0.282176
6/6/2001,10.180995,10.180995,9.635995,9.870996,1123000,9.663216,-0.20778
6/7/2001,9.813218,10.178217,9.493218,9.663216,1414600,9.758122,0.094906
6/8/2001,9.738122,9.988122,9.463122,9.758122,829400,9.678603,-0.079519
6/11/2001,10.088603,10.308604,9.638604,9.678603,764200,9.642691,-0.035912
6/12/2001,9.712691,10.087691,9.577691,9.642691,1520400,9.696559,0.053868
6/13/2001,9.901559,11.86156,9.521559,9.696559,826600,9.47082,-0.225739
6/14/2001,9.785821,9.835822,9.40082,9.47082,706200,9.496473,0.025653
6/15/2001,9.461473,9.781473,9.246473,9.496473,668600,9.137342,-0.359131
6/18/2001,9.837343,9.837343,9.137342,9.137342,583000,9.145037,0.007695
6/19/2001,9.420036,9.445036,8.945036,9.145037,593200,9.003948,-0.141089
6/20/2001,9.27895,9.593948,8.828949,9.003948,824600,8.490906,-0.513042
6/21/2001,9.590907,9.750906,8.165907,8.490906,1447600,8.501165,0.010259
6/22/2001,8.581165,8.886165,7.956165,8.501165,1837000,8.490906,-0.010259
6/25/2001,8.510907,8.945906,8.190907,8.490906,997600,8.747428,0.256522
6/26/2001,8.247428,8.94243,8.202428,8.747428,650600,8.326732,-0.420696
6/27/2001,8.996732,9.011733,8.211732,8.326732,1093000,7.926554,-0.400178
6/28/2001,8.626554,8.646554,7.826554,7.926554,936600,7.906032,-0.020522
6/29/2001,8.196032,8.471032,7.871032,7.906032,1159800,7.859856,-0.046176
7/2/2001,8.014856,8.589855,7.569856,7.859856,1211400,7.913728,0.053872
7/3/2001,7.888728,8.178728,7.788728,7.913728,481000,8.070204,0.156476
