,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,19.765133,20.952633,19.327633,20.140133,50342900,22.196695,2.056562
1/3/2001,18.08732,22.58732,18.08732,22.196695,78291900,21.913029,-0.283666
1/4/2001,22.116154,23.491154,20.803654,21.913029,68769000,20.788504,-1.124525
1/5/2001,22.788504,23.351004,20.476004,20.788504,44974700,20.707453,-0.081051
1/8/2001,20.269953,21.082453,19.394953,20.707453,45070800,20.910076,0.202623
1/9/2001,21.191326,21.597576,20.535076,20.910076,40814400,21.39636,0.486284
1/10/2001,20.02136,21.77136,19.52136,21.39636,51494300,21.639496,0.243136
1/11/2001,20.639496,22.514496,20.264496,21.639496,64954600,20.829029,-0.810467
1/12/2001,22.266529,22.516529,20.516529,20.829029,51374500,20.34276,-0.486269
1/16/2001,21.15526,21.34276,19.96776,20.34276,60301100,19.775415,-0.567345
1/17/2001,22.275415,22.337915,19.400415,19.775415,7427400,20.869553,1.094138
1/18/2001,19.619553,20.994553,18.682053,20.869553,86633300,21.761072,0.891519
1/19/2001,21.573572,22.823572,20.511072,21.761072,81348900,21.639496,-0.121576
1/22/2001,20.951996,22.139496,20.764496,21.639496,45756600,22.936245,1.296749
1/23/2001,20.998745,23.45187,20.311245,22.936245,84553900,23.503574,0.567329
1/24/2001,22.941074,24.316074,22.441074,23.503574,73579100,22.368916,-1.134658
1/25/2001,23.681416,23.931416,22.181416,22.368916,45890400,23.260439,0.891523
1/26/2001,21.510439,23.447939,21.135439,23.260439,48063700,24.030386,0.769947
1/29/2001,22.217886,24.342886,21.717886,24.030386,49092800,23.989843,-0.040543
1/30/2001,24.364843,25.177343,23.802343,23.989843,60806400,23.989843,0
1/31/2001,24.302343,25.583593,23.489843,23.989843,71894200,24.516655,0.526812
2/1/2001,23.766655,24.641655,23.204155,24.516655,50297000,23.138861,-1.377794
2/2/2001,25.123236,25.685736,22.951361,23.138861,47151200,22.503099,-0.635762
2/5/2001,22.878099,23.128099,21.487474,22.503099,39185100,22.989649,0.48655
2/6/2001,22.114649,23.489649,22.036524,22.989649,40329200,22.665283,-0.324366
2/7/2001,22.727783,23.790283,21.602783,22.665283,53148000,22.462557,-0.202726
2/8/2001,23.212557,23.962557,22.400057,22.462557,42899000,21.732729,-0.729828
2/9/2001,22.545229,23.795229,21.670229,21.732729,40892100,22.422003,0.689274
2/12/2001,21.547003,23.047003,21.484503,22.422003,30482000,21.043447,-1.378556
2/13/2001,22.730947,23.855947,20.980947,21.043447,41910800,22.138182,1.094735
2/14/2001,20.575682,22.560057,19.950682,22.138182,47442300,23.232927,1.094745
2/15/2001,22.857927,23.920427,22.545427,23.232927,58334500,22.300367,-0.93256
2/16/2001,22.675367,23.237867,21.550367,22.300367,41543900,20.394695,-1.905672
2/20/2001,23.019695,23.082195,20.332195,20.394695,52397300,19.948698,-0.445997
2/21/2001,20.198698,21.948698,19.698698,19.948698,51582200,19.462137,-0.486561
2/22/2001,20.399637,21.024637,19.087137,19.462137,58517400,19.421591,-0.040546
2/23/2001,19.859091,20.234091,17.984091,19.421591,63558300,19.137774,-0.283817
2/26/2001,20.200274,20.340899,18.075274,19.137774,60349600,18.8134,-0.324374
2/27/2001,19.3134,20.6884,18.8134,18.8134,40787300,18.529583,-0.283817
2/28/2001,19.342083,20.154583,17.967083,18.529583,48601400,18.894497,0.364914
3/1/2001,18.019497,19.019497,16.831997,18.894497,56268300,19.016136,0.121639
3/2/2001,18.203636,20.828636,18.078636,19.016136,54626200,19.705418,0.689282
3/5/2001,19.205418,20.080418,18.830418,19.705418,33275700,20.435246,0.729828
3/6/2001,20.560246,21.810246,20.372746,20.435246,59734200,21.367804,0.932558
3/7/2001,21.180304,22.117804,20.117804,21.367804,77832700,21.570541,0.202737
3/8/2001,21.258041,22.008041,21.008041,21.570541,64903100,19.097221,-2.47332
3/9/2001,19.847221,20.253471,18.659721,19.097221,95273400,18.00247,-1.094751
3/12/2001,18.75247,19.62747,17.81497,18.00247,59597600,19.056683,1.054213
3/13/2001,17.931683,19.306683,17.431683,19.056683,52027200,18.853945,-0.202738
3/14/2001,18.166445,19.666445,17.791445,18.853945,57451000,18.489029,-0.364916
3/15/2001,19.739029,19.926529,18.426529,18.489029,40752100,18.083574,-0.405455
3/16/2001,18.646074,19.021074,17.896074,18.083574,59068600,17.556475,-0.527099
3/19/2001,17.993975,18.243975,15.868975,17.556475,76656300,15.97518,-1.581295
3/20/2001,18.72518,18.78768,15.91268,15.97518,64431100,16.583363,0.608183
3/21/2001,15.770863,17.770863,15.645863,16.583363,68549500,18.61067,2.027307
3/22/2001,16.04817,18.73567,15.98567,18.61067,94022700,18.691763,0.081093
