,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,0.674747,0.674747,0.502653,0.560017,512207700,0.584412,0.024395
1/3/2001,0.534869,0.615701,0.534869,0.584412,294176200,0.575927,-0.008485
1/4/2001,0.599394,0.602002,0.573319,0.575927,88412700,0.595018,0.019091
1/5/2001,0.553299,0.613271,0.553299,0.595018,210163600,0.591836,-0.003182
1/8/2001,0.591836,0.594444,0.584013,0.591836,155889200,0.585472,-0.006364
1/9/2001,0.595902,0.603725,0.580257,0.585472,62675700,0.583351,-0.002121
1/10/2001,0.588566,0.598996,0.562491,0.583351,132552300,0.586533,0.003182
1/11/2001,0.57871,0.596962,0.56828,0.586533,144420800,0.591836,0.005303
1/12/2001,0.576191,0.594444,0.555331,0.591836,99347700,0.593957,0.002121
1/16/2001,0.580919,0.604387,0.573097,0.593957,475802500,0.610928,0.016971
1/17/2001,0.574423,0.616143,0.574423,0.610928,262704900,0.613049,0.002121
1/18/2001,0.607834,0.644338,0.602619,0.613049,246835900,0.605625,-0.007424
1/19/2001,0.623878,0.626485,0.605625,0.605625,172691700,0.609867,0.004242
1/22/2001,0.589007,0.609867,0.581185,0.609867,42005900,0.61411,0.004243
1/23/2001,0.601073,0.616718,0.601073,0.61411,197361900,0.621534,0.007424
1/24/2001,0.600674,0.624141,0.595459,0.621534,130018800,0.619413,-0.002121
1/25/2001,0.619413,0.62202,0.61159,0.619413,136553000,0.623655,0.004242
1/26/2001,0.60801,0.627566,0.606706,0.623655,33737900,0.63214,0.008485
1/29/2001,0.61128,0.648827,0.61128,0.63214,215231200,0.633668,0.001528
1/30/2001,0.629914,0.682063,0.629914,0.633668,169624300,0.631292,-0.002376
1/31/2001,0.637133,0.654238,0.630458,0.631292,116816700,0.629595,-0.001697
2/1/2001,0.644197,0.644197,0.594134,0.629595,126684900,0.631462,0.001867
2/2/2001,0.6227,0.633131,0.597669,0.631462,146154300,0.63214,0.000678
2/5/2001,0.630471,0.63214,0.621709,0.63214,29203900,0.647413,0.015273
2/6/2001,0.609866,0.649499,0.609866,0.647413,125351400,0.644189,-0.003224
2/7/2001,0.652116,0.652116,0.62917,0.644189,39872200,0.640795,-0.003394
2/8/2001,0.649139,0.698369,0.636206,0.640795,272572800,0.648941,0.008146
2/9/2001,0.634756,0.668132,0.634756,0.648941,239634700,0.647413,-0.001528
2/12/2001,0.651168,0.651168,0.636983,0.647413,38672100,0.648262,0.000849
2/13/2001,0.646176,0.652434,0.646176,0.648262,155622400,0.649111,0.000849
2/14/2001,0.649111,0.653283,0.644939,0.649111,39472100,0.646565,-0.002546
2/15/2001,0.644479,0.648651,0.638221,0.646565,26136900,0.644868,-0.001697
2/16/2001,0.644868,0.64904,0.631935,0.644868,32271100,0.643171,-0.001697
2/20/2001,0.643171,0.655687,0.634827,0.643171,256970600,0.650808,0.007637
2/21/2001,0.632034,0.656649,0.632034,0.650808,124151100,0.648941,-0.001867
2/22/2001,0.651444,0.654365,0.638094,0.648941,155489200,0.651656,0.002715
2/23/2001,0.644981,0.66,0.626624,0.651656,55874600,0.649959,-0.001697
2/26/2001,0.654131,0.654131,0.637443,0.649959,144687600,0.647583,-0.002376
2/27/2001,0.64508,0.649252,0.640908,0.647583,286841600,0.662008,0.014425
2/28/2001,0.626546,0.665763,0.626546,0.662008,584618300,0.671511,0.009503
3/1/2001,0.639387,0.672763,0.637301,0.671511,179092600,0.686615,0.015104
3/2/2001,0.649484,0.69037,0.64865,0.686615,188693800,0.694082,0.007467
3/5/2001,0.675308,0.700339,0.675308,0.694082,279240500,0.707828,0.013746
3/6/2001,0.669863,0.747044,0.669863,0.707828,388723100,0.704264,-0.003564
3/7/2001,0.708436,0.710522,0.695921,0.704264,137353100,0.694082,-0.010182
3/8/2001,0.721199,0.723285,0.694082,0.694082,280840600,0.681014,-0.013068
3/9/2001,0.715224,0.717311,0.677677,0.681014,90412800,0.673717,-0.007297
3/12/2001,0.688319,0.688319,0.669545,0.673717,146554400,0.66099,-0.012727
3/13/2001,0.679764,0.680181,0.654732,0.66099,131885700,0.643171,-0.017819
3/14/2001,0.687394,0.687394,0.638999,0.643171,362852500,0.625352,-0.017819
3/15/2001,0.669157,0.669157,0.619094,0.625352,167757600,0.625692,0.00034
3/16/2001,0.62903,0.631115,0.572708,0.625692,215364600,0.626371,0.000679
3/19/2001,0.621781,0.626371,0.611352,0.626371,235100700,0.616019,-0.010352
3/20/2001,0.641468,0.641885,0.609761,0.616019,214831100,0.612625,-0.003394
3/21/2001,0.625141,0.643915,0.608453,0.612625,218698300,0.602443,-0.010182
3/22/2001,0.625389,0.625806,0.571153,0.602443,118950600,0.618564,0.016121
3/23/2001,0.579347,0.641509,0.57893,0.618564,218164900,0.62671,0.008146
3/26/2001,0.604599,0.640061,0.596255,0.62671,160956500,0.631292,0.004582
3/27/2001,0.616691,0.631292,0.616691,0.631292,216031300,0.63248,0.001188
3/28/2001,0.629559,0.637903,0.61913,0.63248,82545100,0.63265,0.00017
3/29/2001,0.627227,0.633484,0.615128,0.63265,181626300,0.650298,0.017648
3/30/2001,0.60691,0.651133,0.597732,0.650298,158289600,0.636383,-0.013915
4/2/2001,0.665587,0.665587,0.615523,0.636383,180426000,0.610758,-0.025625
4/3/2001,0.677926,0.677926,0.607003,0.610758,226299400,0.606685,-0.004073
4/4/2001,0.616698,0.633803,0.587911,0.606685,214431100,0.619413,0.012728
4/5/2001,0.588123,0.621499,0.57811,0.619413,86012200,0.597352,-0.022061
4/6/2001,0.630728,0.631145,0.59318,0.597352,217098100,0.624504,0.027152
4/9/2001,0.564011,0.628676,0.564011,0.624504,84945500,0.623825,-0.000679
4/10/2001,0.625493,0.662207,0.623408,0.623825,130818900,0.617037,-0.006788
4/11/2001,0.629136,0.629136,0.5749,0.617037,177759000,0.618734,0.001697
4/12/2001,0.618317,0.622071,0.592868,0.618734,92813300,0.603121,-0.015613
4/16/2001,0.634828,0.636496,0.601452,0.603121,129218400,0.599388,-0.003733
4/17/2001,0.608567,0.608567,0.550576,0.599388,372187400,0.610928,0.01154
4/18/2001,0.592988,0.633039,0.58381,0.610928,347250300,0.610249,-0.000679
4/19/2001,0.611918,0.614004,0.602322,0.610249,155355800,0.604988,-0.005261
4/20/2001,0.611246,0.623762,0.604153,0.604988,316312600,0.591072,-0.013916
4/23/2001,0.623197,0.639885,0.577305,0.591072,245502200,0.601254,0.010182
4/24/2001,0.576222,0.604175,0.575805,0.601254,145220900,0.602443,0.001189
4/25/2001,0.589927,0.625389,0.587841,0.602443,32804500,0.60414,0.001697
4/26/2001,0.610398,0.620828,0.60414,0.60414,183226400,0.604988,0.000848
4/27/2001,0.600816,0.607074,0.590386,0.604988,81745100,0.613473,0.008485
4/30/2001,0.592613,0.628075,0.582183,0.613473,345116700,0.639777,0.026304
5/1/2001,0.579284,0.643949,0.579284,0.639777,826787000,0.663875,0.024098
5/2/2001,0.621321,0.690159,0.614646,0.663875,363519500,0.653353,-0.010522
5/3/2001,0.674213,0.674213,0.653353,0.653353,218298300,0.659293,0.00594
5/4/2001,0.644691,0.659293,0.640519,0.659293,94680300,0.660481,0.001188
5/7/2001,0.663818,0.684678,0.64713,0.660481,443397800,0.66099,0.000509
5/8/2001,0.660156,0.667248,0.658904,0.66099,473535500,0.676942,0.015952
5/9/2001,0.638143,0.679446,0.638143,0.676942,236434200,0.682372,0.00543
5/10/2001,0.671942,0.713244,0.669021,0.682372,210964000,0.679657,-0.002715
