,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,21.24832,21.24832,18.37332,18.62332,2182300,20.316339,1.693019
1/3/2001,18.191339,21.378839,16.191339,20.316339,4862300,18.473928,-1.842411
1/4/2001,20.161428,20.473928,17.848928,18.473928,4529100,18.872299,0.398371
1/5/2001,19.372299,19.372299,17.747299,18.872299,3108700,18.025776,-0.846523
1/8/2001,18.900776,18.900776,16.900776,18.025776,2432900,18.274752,0.248976
1/9/2001,17.837252,18.399752,16.587252,18.274752,3896200,18.872299,0.597547
1/10/2001,17.434799,19.247299,16.747299,18.872299,4262200,22.108961,3.236662
1/11/2001,16.608961,23.108961,16.608961,22.108961,8568600,24.20035,2.091389
1/12/2001,26.309725,27.82535,23.76285,24.20035,9620000,24.648512,0.448162
1/16/2001,25.148512,25.273512,24.211012,24.648512,3712800,26.839489,2.190977
1/17/2001,26.901989,27.714489,26.276989,26.839489,4023900,30.125957,3.286468
1/18/2001,26.000957,30.313457,25.125957,30.125957,4274400,29.478617,-0.64734
1/19/2001,30.541117,30.916117,28.166117,29.478617,3234500,27.984774,-1.493843
1/22/2001,29.359774,29.422274,27.484774,27.984774,2292700,28.333332,0.348558
1/23/2001,27.583332,28.645832,26.520832,28.333332,2218800,28.582312,0.24898
1/24/2001,27.644812,29.144812,27.082312,28.582312,1905600,27.38723,-1.195082
1/25/2001,28.94973,29.69973,27.26223,27.38723,1304100,29.229647,1.842417
1/26/2001,26.542147,29.854647,25.167147,29.229647,11350500,28.88109,-0.348557
1/29/2001,29.331091,32.63109,27.13109,28.88109,25648300,29.797304,0.916214
1/30/2001,28.397302,29.897302,27.397302,29.797304,4411400,30.673695,0.876391
1/31/2001,30.173695,32.273693,29.573697,30.673695,4055400,30.729467,0.055772
2/1/2001,30.659467,33.149469,30.079465,30.729467,3366000,29.167892,-1.561575
2/2/2001,31.127891,31.60789,28.917892,29.167892,2431500,27.478851,-1.689041
2/5/2001,29.59885,29.59885,26.988849,27.478851,3118300,26.809614,-0.669237
2/6/2001,27.649614,27.649614,26.559614,26.809614,2629800,24.985121,-1.824493
2/7/2001,25.29512,25.61512,23.425119,24.985121,4862700,24.021086,-0.964035
2/8/2001,26.371086,26.371086,23.881086,24.021086,2576200,23.02519,-0.995896
2/9/2001,23.62519,24.12519,22.72519,23.02519,1862000,21.909781,-1.115409
2/12/2001,21.909781,22.559781,20.919781,21.909781,3173900,21.519388,-0.390393
2/13/2001,22.059387,23.649387,21.519388,21.519388,1770700,23.088924,1.569536
2/14/2001,21.858924,23.858924,20.508924,23.088924,1706200,25.216166,2.127242
2/15/2001,23.566166,25.686165,23.066166,25.216166,2330000,22.268309,-2.947857
2/16/2001,22.168308,22.968308,21.318308,22.268309,2787800,20.117167,-2.151142
2/20/2001,22.817168,22.917166,19.697167,20.117167,3432200,20.157001,0.039834
2/21/2001,19.857002,21.107002,19.507002,20.157001,2445500,20.029528,-0.127473
2/22/2001,20.239529,21.239529,17.889529,20.029528,2526600,20.220736,0.191208
2/23/2001,20.040738,20.340737,17.350737,20.220736,2134300,19.439953,-0.780783
2/26/2001,20.419952,20.909954,18.789953,19.439953,2450000,16.858583,-2.58137
