,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,36.172623,37.19851,35.415192,35.415192,2168000,33.833767,-1.581425
1/3/2001,37.036068,37.659268,33.833767,33.833767,3013100,32.206326,-1.627441
1/4/2001,34.766248,35.149758,29.876508,32.206326,6585500,33.67514,1.468814
1/5/2001,31.326145,34.490096,30.300258,33.67514,2724600,34.340454,0.665314
1/8/2001,33.237862,34.867775,33.237862,34.340454,1605800,34.23811,-0.102344
1/9/2001,34.66956,35.196881,33.231396,34.23811,1952800,34.186909,-0.051201
1/10/2001,33.707523,34.73341,32.87339,34.186909,1565500,33.982189,-0.20472
1/11/2001,34.269821,35.420345,33.608264,33.982189,2344700,33.526714,-0.455475
1/12/2001,34.380024,34.715591,32.520004,33.526714,1725400,33.890076,0.363362
1/16/2001,33.218933,34.532452,33.218933,33.890076,1365500,32.574806,-1.31527
1/17/2001,34.54029,34.54029,32.143359,32.574806,2711200,32.851177,0.276371
1/18/2001,33.388088,34.05923,32.419727,32.851177,1828700,32.656696,-0.194481
1/19/2001,32.59917,32.944328,31.045959,32.656696,2297500,32.498035,-0.158661
1/22/2001,32.833603,33.830727,32.085762,32.498035,1629300,31.92486,-0.573175
1/23/2001,32.615175,32.979509,31.090726,31.92486,2155300,32.886982,0.962122
1/24/2001,31.487175,33.443073,30.528404,32.886982,3527700,33.265705,0.378723
1/25/2001,32.31652,34.224479,32.067241,33.265705,2251100,32.805099,-0.460606
1/26/2001,34.77058,34.81852,32.632519,32.805099,1315300,32.088619,-0.71648
1/29/2001,33.335026,33.335026,32.088619,32.088619,1511200,33.10194,1.013321
1/30/2001,31.491199,33.111526,31.328209,33.10194,2069800,33.13776,0.03582
1/31/2001,32.610435,34.029419,32.51456,33.13776,1738600,34.232956,1.095196
2/1/2001,32.181183,34.242546,32.181183,34.232956,1715400,34.105034,-0.127922
2/2/2001,34.105034,34.411843,32.983273,34.105034,1493700,33.777477,-0.327557
2/5/2001,33.43232,34.956764,33.43232,33.777477,1450300,34.053841,0.276364
2/6/2001,34.015489,34.552403,33.248471,34.053841,1101100,34.545147,0.491306
2/7/2001,33.624725,34.641026,33.13575,34.545147,1759400,34.41209,-0.133057
2/8/2001,34.181988,34.709309,33.894356,34.41209,1481800,34.621914,0.209824
2/9/2001,33.950772,35.005421,33.433037,34.621914,1798200,34.657742,0.035828
2/12/2001,34.590626,35.17548,33.881138,34.657742,1055800,35.21048,0.552738
2/13/2001,34.194176,35.383057,33.868194,35.21048,1699600,34.263668,-0.946812
2/14/2001,35.385433,35.385433,34.167789,34.263668,1950700,35.154171,0.890503
2/15/2001,34.20499,35.595203,33.150337,35.154171,2472600,35.758083,0.603912
2/16/2001,34.866421,35.959423,34.866421,35.758083,2434100,36.699753,0.94167
2/20/2001,34.964379,36.901101,34.686333,36.699753,2601100,35.594303,-1.10545
2/21/2001,36.888645,36.898235,34.865634,35.594303,1726800,35.696655,0.102352
2/22/2001,35.504906,36.588318,35.21727,35.696655,1647100,35.747845,0.05119
2/23/2001,35.891667,35.987538,34.741139,35.747845,1784900,35.860432,0.112587
2/26/2001,35.265995,36.138477,34.201756,35.860432,1821200,36.336384,0.475952
2/27/2001,35.809056,36.556897,35.233792,36.336384,1481800,36.592274,0.25589
2/28/2001,36.112888,36.803204,35.451336,36.592274,2132500,35.829735,-0.762539
3/1/2001,36.826859,36.836449,34.573746,35.829735,1849500,36.571812,0.742077
3/2/2001,35.613041,36.945736,35.430874,36.571812,3954500,36.715111,0.143299
3/5/2001,36.954804,36.954804,36.024796,36.715111,2094600,35.978134,-0.736977
3/6/2001,36.457519,36.553398,35.527511,35.978134,1340700,36.354336,0.376202
3/7/2001,35.66402,36.852901,35.66402,36.354336,2032900,36.893963,0.539627
3/8/2001,36.136532,37.27747,35.772198,36.893963,2570500,36.565056,-0.328907
3/9/2001,36.421242,36.948563,35.261124,36.565056,1660600,36.246433,-0.318623
3/12/2001,36.697055,37.090152,36.19849,36.246433,1524100,35.557789,-0.688644
3/13/2001,36.842549,37.005536,34.963353,35.557789,2257900,35.069553,-0.488236
3/14/2001,35.021618,36.335132,34.599758,35.069553,1925500,34.843445,-0.226108
3/15/2001,35.514588,35.706345,33.95179,34.843445,1352800,34.740654,-0.102791
3/16/2001,33.686001,35.354263,33.686001,34.740654,1973700,34.483707,-0.256947
3/19/2001,34.972675,35.298664,34.349476,34.483707,1424200,35.665707,1.182
3/20/2001,34.035793,36.240971,33.489292,35.665707,2590300,34.437428,-1.228279
3/21/2001,36.728902,36.728902,34.044335,34.437428,4127200,34.273003,-0.164425
3/22/2001,33.707329,34.40723,31.713081,34.273003,3603700,34.488838,0.215835
3/23/2001,34.862762,34.958641,33.156147,34.488838,3242900,34.226727,-0.262111
3/26/2001,34.945809,35.118386,33.795277,34.226727,2564000,34.252426,0.025699
3/27/2001,34.348301,34.722222,33.610047,34.252426,3055200,35.295685,1.043259
3/28/2001,33.33979,35.564148,32.869991,35.295685,2757100,34.226727,-1.068958
3/29/2001,34.926629,35.089623,32.980321,34.226727,3377000,34.858849,0.632122
3/30/2001,34.158951,35.021843,33.39193,34.858849,1844900,34.401466,-0.457383
4/2/2001,35.417762,36.079315,33.931663,34.401466,1758000,33.841297,-0.560169
4/3/2001,34.886364,34.886364,33.409851,33.841297,1556400,34.355221,0.513924
