,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,45.275658,46.525658,43.463158,43.775658,1990100,47.146564,3.370906
1/3/2001,43.771564,47.334064,40.959064,47.146564,2476300,51.718075,4.571511
1/4/2001,51.218075,51.843075,48.280575,51.718075,5955300,47.839214,-3.878861
1/5/2001,51.589214,51.776714,47.651714,47.839214,3639000,47.469799,-0.369415
1/8/2001,46.969799,49.157299,46.594799,47.469799,1838800,47.238918,-0.230881
1/9/2001,48.301418,48.301418,46.113918,47.238918,1549700,48.94746,1.708542
1/10/2001,45.94746,49.19746,45.57246,48.94746,1702100,50.332764,1.385304
1/11/2001,48.332764,51.395264,47.207764,50.332764,2547400,50.655994,0.32323
1/12/2001,50.280994,51.280994,49.030994,50.655994,1290700,50.517475,-0.138519
1/16/2001,50.454975,51.454975,49.454975,50.517475,1252000,50.101875,-0.4156
1/17/2001,50.664375,51.101875,49.789375,50.101875,1258300,49.224522,-0.877353
1/18/2001,50.099522,50.287022,48.349522,49.224522,1058000,48.716572,-0.50795
1/19/2001,49.154072,49.154072,47.154072,48.716572,1960400,50.609825,1.893253
1/22/2001,48.859825,50.859825,48.859825,50.609825,1342000,50.286594,-0.323231
1/23/2001,50.724094,51.349094,50.036594,50.286594,1139900,51.117764,0.83117
1/24/2001,49.930264,51.680264,48.992764,51.117764,1511300,51.995117,0.877353
1/25/2001,50.870117,52.370117,49.807617,51.995117,2645700,51.718075,-0.277042
1/26/2001,51.843075,52.468075,49.718075,51.718075,1318300,52.264797,0.546722
1/29/2001,51.524799,52.974796,51.274799,52.264797,881900,52.020996,-0.243801
1/30/2001,52.110992,52.570991,50.610992,52.020996,1391300,52.45689,0.435894
1/31/2001,51.616894,53.656887,51.616894,52.45689,1671200,52.080093,-0.376797
2/1/2001,52.690093,52.740097,50.950096,52.080093,1131100,50.602444,-1.477649
2/2/2001,52.842449,52.852444,50.212444,50.602444,986500,50.602444,0
2/5/2001,50.362446,51.312443,49.892445,50.602444,949100,50.705875,0.103431
2/6/2001,50.995876,52.075878,50.375881,50.705875,1568300,50.432507,-0.273368
2/7/2001,50.182507,52.162503,49.292508,50.432507,2046000,49.494186,-0.938321
2/8/2001,51.504188,51.504188,49.354186,49.494186,2543200,48.578045,-0.916141
2/9/2001,49.828045,50.678043,48.228047,48.578045,1580800,51.34866,2.770615
2/12/2001,48.09866,51.34866,47.628659,51.34866,1706700,51.799343,0.450683
2/13/2001,51.189342,52.419345,50.439342,51.799343,1893400,51.41515,-0.384193
2/14/2001,51.935155,51.935155,50.825154,51.41515,2003800,50.897961,-0.517189
2/15/2001,51.907964,52.207959,50.517964,50.897961,1858300,51.429928,0.531967
2/16/2001,50.719929,52.289928,50.519924,51.429928,1764900,53.062733,1.632805
2/20/2001,52.142735,53.482731,51.242733,53.062733,2065100,51.163948,-1.898785
2/21/2001,52.913948,53.153946,50.663948,51.163948,2590000,50.151749,-1.012199
2/22/2001,49.87175,51.271752,48.271752,50.151749,2350000,50.609825,0.458076
2/23/2001,49.119827,50.809822,47.409828,50.609825,2034400,51.496422,0.886597
2/26/2001,50.296425,52.296425,50.196427,51.496422,1640000,50.247799,-1.248623
2/27/2001,51.937794,52.5378,49.587795,50.247799,2226500,48.696259,-1.55154
2/28/2001,49.786255,50.586258,47.596253,48.696259,3151200,45.80743,-2.888829
3/1/2001,49.467434,49.477428,45.80743,45.80743,3323200,46.029079,0.221649
3/2/2001,45.47908,47.22908,44.22908,46.029079,2697500,46.915676,0.886597
3/5/2001,46.415676,47.115677,44.675674,46.915676,2520400,48.740582,1.824906
3/6/2001,46.520581,48.970578,46.520581,48.740582,2861300,49.169102,0.42852
3/7/2001,48.5891,49.219097,48.079098,49.169102,1492900,48.836632,-0.33247
3/8/2001,49.236634,49.736634,48.286637,48.836632,1298300,47.831825,-1.004807
3/9/2001,48.39183,48.691825,47.191825,47.831825,1508500,45.999527,-1.832298
3/12/2001,48.439526,48.439526,45.989529,45.999527,1629000,45.519291,-0.480236
3/13/2001,46.169288,46.879291,44.13929,45.519291,2006400,46.760521,1.24123
3/14/2001,45.330521,47.47052,44.47052,46.760521,2659700,47.270313,0.509792
3/15/2001,47.290313,48.130309,46.550311,47.270313,1643000,45.80743,-1.462883
3/16/2001,47.30743,47.80743,45.607429,45.80743,1739400,45.80743,0
3/19/2001,46.05743,46.407428,44.80743,45.80743,1837900,45.896099,0.088669
3/20/2001,45.876098,47.7761,45.826099,45.896099,1757400,45.35675,-0.539349
3/21/2001,45.966751,46.416752,44.466751,45.35675,1692600,42.261066,-3.095684
3/22/2001,46.441066,46.441066,39.671066,42.261066,4389100,43.812595,1.551529
3/23/2001,42.362594,43.892597,40.462597,43.812595,2212500,44.662254,0.849659
3/26/2001,44.512252,44.852252,42.742252,44.662254,1568100,45.622734,0.96048
3/27/2001,44.522736,45.812733,43.072735,45.622734,1685400,45.80743,0.184696
3/28/2001,45.567428,46.30743,43.657428,45.80743,1823500,45.105545,-0.701885
3/29/2001,45.265545,46.235546,44.185547,45.105545,1575200,45.5784,0.472855
3/30/2001,45.738399,46.048401,43.338402,45.5784,1549900,45.5858,0.0074
4/2/2001,45.575798,46.0858,44.5158,45.5858,1126200,41.005043,-4.580757
4/3/2001,47.205044,47.205044,40.505043,41.005043,4514400,41.086311,0.081268
4/4/2001,40.97631,42.926311,40.56631,41.086311,4556400,43.421013,2.334702
4/5/2001,42.151013,43.421013,41.401013,43.421013,1682000,42.770847,-0.650166
4/6/2001,42.380848,43.580849,41.390846,42.770847,2216200,40.775997,-1.99485
4/9/2001,42.835998,43.285999,40.416,40.775997,2768000,40.56913,-0.206867
4/10/2001,41.65913,42.099129,40.169128,40.56913,2899700,39.010204,-1.558926
4/11/2001,42.810203,42.910206,39.010204,39.010204,5061100,39.749039,0.738835
4/12/2001,35.94904,39.749039,34.649041,39.749039,11592100,39.859856,0.110817
4/16/2001,38.659855,40.309857,37.669853,39.859856,2898700,40.894211,1.034355
4/17/2001,39.484212,41.054211,38.544213,40.894211,2076200,44.891281,3.99707
4/18/2001,40.131283,45.681282,39.891281,44.891281,4182000,44.351936,-0.539345
4/19/2001,44.411937,45.021938,43.571937,44.351936,2359100,44.307613,-0.044323
4/20/2001,44.337612,44.367611,42.987614,44.307613,1724400,43.369286,-0.938327
4/23/2001,44.169285,45.519283,43.359284,43.369286,1504500,41.640438,-1.728848
4/24/2001,42.880435,42.980438,40.830436,41.640438,2234300,43.332359,1.691921
4/25/2001,41.382358,43.682357,41.102355,43.332359,1356300,44.071186,0.738827
4/26/2001,42.721183,45.071186,42.561183,44.071186,1744100,45.844368,1.773182
4/27/2001,43.694371,46.694371,43.694371,45.844368,1319700,45.112919,-0.731449
4/30/2001,46.152916,46.552918,45.112919,45.112919,1346200,47.211224,2.098305
5/1/2001,45.41122,47.361225,44.561222,47.211224,3006600,46.066029,-1.145195
5/2/2001,47.01603,47.616033,45.716031,46.066029,1418000,44.477543,-1.588486
5/3/2001,44.977543,46.067543,43.837543,44.477543,2987300,43.923416,-0.554127
5/4/2001,43.373417,44.433414,43.093414,43.923416,2482500,42.778236,-1.14518
5/7/2001,44.868236,44.868236,42.478232,42.778236,2275900,42.88905,0.110814
5/8/2001,43.689049,44.089051,42.099049,42.88905,2400300,42.32016,-0.56889
5/9/2001,42.300159,42.73016,41.16016,42.32016,2830200,45.556229,3.236069
5/10/2001,45.646229,47.166229,45.046231,45.556229,4671700,45.489746,-0.066483
5/11/2001,45.919746,46.919746,45.019744,45.489746,1251400,46.804852,1.315106
5/14/2001,45.024854,46.854856,44.934854,46.804852,1517600,45.888706,-0.916146
5/15/2001,47.268707,47.738704,45.548705,45.888706,1711500,46.627537,0.738831
5/16/2001,45.877537,46.837536,44.777534,46.627537,1179300,47.617554,0.990017
5/17/2001,46.767555,48.167557,46.367558,47.617554,1173500,47.432858,-0.184696
5/18/2001,47.682858,47.742863,46.242859,47.432858,994800,49.494186,2.061328
5/21/2001,46.954185,49.994186,46.754188,49.494186,1378200,49.619797,0.125611
5/22/2001,49.209793,50.40979,48.959793,49.619797,1879600,48.001759,-1.618038
5/23/2001,50.191762,50.54176,47.961758,48.001759,2138700,47.883549,-0.11821
5/24/2001,48.273548,48.423549,47.173549,47.883549,1440500,47.654499,-0.22905
5/25/2001,47.954502,48.104496,47.434498,47.654499,711400,46.686642,-0.967857
5/29/2001,47.746643,47.746643,46.066643,46.686642,742300,46.435429,-0.251213
5/30/2001,46.095429,46.95543,45.785432,46.435429,902400,45.474957,-0.960472
5/31/2001,45.924958,46.364957,44.024956,45.474957,2877200,45.039047,-0.43591
6/1/2001,45.579048,45.589046,44.699047,45.039047,2071300,44.455372,-0.583675
6/4/2001,45.435376,45.435376,44.135372,44.455372,2171900,44.470154,0.014782
6/5/2001,44.450153,44.610157,43.840156,44.470154,2737200,44.765686,0.295532
6/6/2001,44.975685,45.085686,44.175686,44.765686,1964700,45.681831,0.916145
6/7/2001,44.451827,47.271827,43.851829,45.681831,3772700,45.482349,-0.199482
6/8/2001,45.672348,45.702347,45.382347,45.482349,695700,45.090767,-0.391582
6/11/2001,45.660766,46.260769,44.900768,45.090767,1697400,45.031654,-0.059113
6/12/2001,45.031654,45.171653,44.541652,45.031654,1844600,44.883892,-0.147762
6/13/2001,45.083893,45.283894,44.183891,44.883892,1815600,45.024277,0.140385
6/14/2001,44.784279,45.614277,44.584278,45.024277,1508000,45.112919,0.088642
6/15/2001,44.502919,45.95292,43.752919,45.112919,3224700,46.376324,1.263405
6/18/2001,45.256326,46.806325,45.256326,46.376324,1567600,47.092999,0.716675
6/19/2001,48.252999,48.252999,46.602997,47.092999,1681000,47.52153,0.428531
6/20/2001,46.941532,47.95153,46.691532,47.52153,1430900,49.058281,1.536751
6/21/2001,46.988281,49.238281,46.808281,49.058281,1609300,48.245575,-0.812706
6/22/2001,49.245575,49.245575,47.955574,48.245575,1213100,48.075638,-0.169937
6/25/2001,48.305641,48.455635,45.49564,48.075638,2126700,46.287674,-1.787964
6/26/2001,47.387672,47.687675,46.277671,46.287674,2368700,45.452801,-0.834873
6/27/2001,46.582803,47.792802,45.312802,45.452801,1485400,46.627537,1.174736
6/28/2001,45.417538,47.917538,45.417538,46.627537,1800200,46.346783,-0.280754
6/29/2001,46.726784,47.81678,46.136783,46.346783,1778300,46.61277,0.265987
7/2/2001,46.222771,46.622768,45.472771,46.61277,1264400,46.324615,-0.288155
7/3/2001,46.124614,46.524616,45.814613,46.324615,628000,44.507099,-1.817516
7/5/2001,45.767097,46.037097,44.427097,44.507099,2101000,43.073769,-1.43333
7/6/2001,45.013772,45.02377,42.36377,43.073769,3680100,41.271019,-1.80275
7/9/2001,43.511016,43.511016,40.611019,41.271019,5215300,41.226692,-0.044327
7/10/2001,41.476692,42.466694,41.116692,41.226692,4237100,43.103313,1.876621
7/11/2001,40.573314,43.423313,40.563312,43.103313,2551100,43.923416,0.820103
7/12/2001,41.873417,44.723415,41.113414,43.923416,4260000,43.812595,-0.110821
7/13/2001,43.012596,43.872597,41.282596,43.812595,2720600,42.253662,-1.558933
7/16/2001,44.113662,44.263664,42.013664,42.253662,3055400,42.504856,0.251194
7/17/2001,42.374859,42.864856,41.864856,42.504856,1463000,42.593525,0.088669
7/18/2001,42.443523,43.043521,41.743522,42.593525,1531900,43.317581,0.724056
7/19/2001,42.587582,44.427582,42.487579,43.317581,1468300,43.147648,-0.169933
7/20/2001,43.377647,44.947647,43.117645,43.147648,1328400,42.719131,-0.428517
7/23/2001,43.299133,43.799133,42.409129,42.719131,1599600,41.47789,-1.241241
7/24/2001,42.907891,42.967892,40.337891,41.47789,1819100,41.152802,-0.325088
7/25/2001,41.702801,42.612801,40.652802,41.152802,1571900,42.061565,0.908763
7/26/2001,40.931564,42.151565,40.631565,42.061565,1524700,41.374454,-0.687111
7/27/2001,42.054454,42.114456,41.174453,41.374454,1685200,42.12067,0.746216
7/30/2001,41.160671,42.560673,41.160671,42.12067,2103000,42.32016,0.19949
7/31/2001,42.43016,43.630161,40.760162,42.32016,1707600,42.157619,-0.162541
8/1/2001,42.387619,42.797619,41.367618,42.157619,1665100,42.940765,0.783146
8/2/2001,43.220768,43.220768,42.470768,42.940765,1015800,42.305386,-0.635379
8/3/2001,42.845387,43.045388,41.645386,42.305386,1170300,41.891628,-0.413758
8/6/2001,41.701625,42.291625,41.601627,41.891628,900800,42.586143,0.694515
8/7/2001,41.656143,43.196144,41.196144,42.586143,1981000,43.147648,0.561505
8/8/2001,43.087646,44.867645,42.587646,43.147648,4004200,42.187168,-0.96048
8/9/2001,44.187168,44.58717,41.877171,42.187168,3120100,41.470509,-0.716659
8/10/2001,42.530507,42.540509,40.370507,41.470509,2944200,42.253662,0.783153
8/13/2001,40.863662,42.513664,40.423664,42.253662,952300,41.596111,-0.657551
8/14/2001,43.486111,44.296112,41.346111,41.596111,1591800,40.672569,-0.923542
8/15/2001,42.71257,42.822571,40.12257,40.672569,1794000,40.628246,-0.044323
8/16/2001,41.088245,41.088245,40.188243,40.628246,1580600,41.847298,1.219052
8/17/2001,40.457299,42.5873,40.457299,41.847298,2617400,42.741287,0.893989
8/20/2001,41.641289,42.891289,41.581288,42.741287,1652700,42.490082,-0.251205
8/21/2001,42.980084,43.770085,42.230084,42.490082,2124800,41.736481,-0.753601
8/22/2001,42.896481,43.116478,41.276478,41.736481,1571000,40.554344,-1.182137
8/23/2001,41.914345,42.004345,40.404347,40.554344,1869100,42.046791,1.492447
8/24/2001,41.886791,42.366791,41.18679,42.046791,2698000,41.677372,-0.369419
8/27/2001,42.167374,42.767372,41.167374,41.677372,1063300,41.256229,-0.421143
8/28/2001,41.816231,41.916229,40.016227,41.256229,1072300,40.635628,-0.620601
8/29/2001,41.135628,41.885628,40.545628,40.635628,1129500,40.56913,-0.066498
8/30/2001,40.65913,40.90913,39.769131,40.56913,1930100,41.005043,0.435913
8/31/2001,40.415043,42.105041,40.415043,41.005043,1208000,41.263634,0.258591
9/4/2001,40.663636,43.113637,40.663636,41.263634,1164200,39.601257,-1.662377
9/5/2001,40.751259,41.851257,38.101257,39.601257,3277700,38.928925,-0.672332
9/6/2001,39.838924,40.528927,37.618927,38.928925,3365100,37.237007,-1.691918
9/7/2001,38.587005,39.087005,37.237007,37.237007,3942700,36.202641,-1.034366
9/10/2001,36.452641,37.442643,35.702641,36.202641,3165400,33.247318,-2.955323
9/17/2001,34.747318,35.747318,33.177318,33.247318,3960400,34.318634,1.071316
9/18/2001,34.368633,35.748634,33.458633,34.318634,2290500,33.690624,-0.62801
9/19/2001,34.690624,35.390625,31.950627,33.690624,2565700,31.991325,-1.699299
9/20/2001,33.191326,33.881325,31.991325,31.991325,2352600,33.158672,1.167347
9/21/2001,30.278671,33.57867,30.228672,33.158672,3695000,35.397335,2.238663
9/24/2001,34.487335,35.987335,34.097336,35.397335,3555200,36.069653,0.672318
9/25/2001,35.159653,36.309654,34.769653,36.069653,1992900,35.463818,-0.605835
9/26/2001,36.533818,36.95382,34.143818,35.463818,1985000,35.330833,-0.132985
9/27/2001,35.510833,35.900832,33.520831,35.330833,1711300,35.463818,0.132985
9/28/2001,35.283818,36.783818,34.963818,35.463818,1809700,35.958836,0.495018
10/1/2001,35.988839,36.68884,34.798836,35.958836,2008600,37.266575,1.307739
10/2/2001,35.326576,37.296577,35.126575,37.266575,1764600,39.490444,2.223869
10/3/2001,36.350444,39.840442,35.640441,39.490444,2213000,38.832886,-0.657558
10/4/2001,39.722886,39.922887,38.342885,38.832886,2113000,39.246624,0.413738
10/5/2001,38.686626,39.736626,37.926624,39.246624,1342200,38.101448,-1.145176
10/8/2001,38.981449,39.481449,37.871448,38.101448,1178600,37.687691,-0.413757
10/9/2001,38.677693,38.677693,37.127694,37.687691,987800,38.234425,0.546734
10/10/2001,37.494423,38.984425,37.494423,38.234425,1958100,40.975487,2.741062
10/11/2001,39.015488,41.015488,38.865486,40.975487,2674300,40.76862,-0.206867
10/12/2001,40.92862,40.938618,39.388619,40.76862,2188700,41.189751,0.421131
10/15/2001,40.369751,41.539749,39.839753,41.189751,1116400,41.74387,0.554119
10/16/2001,41.443871,42.033871,41.043869,41.74387,2418200,41.145416,-0.598454
10/17/2001,42.945419,42.945419,41.135417,41.145416,1502700,40.672569,-0.472847
10/18/2001,41.312569,41.542568,40.12257,40.672569,1291900,41.74387,1.071301
10/19/2001,40.24387,42.24387,39.253868,41.74387,1286900,41.684761,-0.059109
10/22/2001,41.514763,41.894764,40.714764,41.684761,1393000,42.253662,0.568901
10/23/2001,41.563663,43.113662,41.463665,42.253662,1331000,42.238895,-0.014767
10/24/2001,42.258896,42.818897,41.868896,42.238895,1257200,43.369286,1.130391
10/25/2001,41.169285,43.819287,40.109284,43.369286,1984000,43.583565,0.214279
10/26/2001,43.303562,43.893562,42.783562,43.583565,1164100,42.34972,-1.233845
10/29/2001,43.179722,43.379718,42.289718,42.34972,1276700,40.340084,-2.009636
10/30/2001,42.090084,42.690087,40.090084,40.340084,2199000,41.086311,0.746227
10/31/2001,40.936309,42.176311,40.626312,41.086311,1538800,42.527031,1.44072
11/1/2001,40.317028,42.547032,39.657029,42.527031,1772800,42.793015,0.265984
11/2/2001,41.923016,43.123017,41.923016,42.793015,1422700,43.834763,1.041748
11/5/2001,42.80476,44.204762,42.604759,43.834763,1406400,44.699192,0.864429
11/6/2001,43.529194,44.729191,42.949192,44.699192,1536800,45.024277,0.325085
11/7/2001,44.084278,45.054279,43.604278,45.024277,2327100,45.297646,0.273369
11/8/2001,46.437646,46.887647,45.037644,45.297646,4160000,46.361561,1.063915
11/9/2001,44.711559,46.361561,44.621559,46.361561,1621300,46.723595,0.362034
11/12/2001,46.233593,46.833591,44.783592,46.723595,1460800,48.94746,2.223865
11/13/2001,47.597462,48.94746,47.19746,48.94746,3215100,49.272545,0.325085
11/14/2001,48.832543,49.78254,48.10254,49.272545,3423700,49.649334,0.376789
11/15/2001,48.459339,49.67934,48.24934,49.649334,2363600,48.578045,-1.071289
11/16/2001,49.528042,49.818043,47.198048,48.578045,3278300,49.30209,0.724045
11/19/2001,48.37209,49.562085,47.902089,49.30209,1910000,49.213421,-0.088669
11/20/2001,48.803417,49.553417,48.203418,49.213421,2209300,48.703644,-0.509777
11/21/2001,49.533646,49.633644,48.283646,48.703644,1236500,50.040932,1.337288
11/23/2001,48.560929,50.500931,48.410927,50.040932,795600,50.875805,0.834873
11/26/2001,49.965801,50.875805,49.575802,50.875805,2720000,50.757587,-0.118218
11/27/2001,50.917591,51.407588,49.677593,50.757587,2505000,50.136986,-0.620601
11/28/2001,50.376983,51.426987,49.976982,50.136986,1964100,49.900536,-0.23645
11/29/2001,50.110535,50.220536,49.420533,49.900536,1460600,50.129585,0.229049
11/30/2001,49.819588,50.769585,49.279587,50.129585,1612500,49.058281,-1.071304
12/3/2001,49.868278,50.608276,48.958282,49.058281,1303800,50.97924,1.920959
12/4/2001,49.47924,51.04924,48.529243,50.97924,2083700,52.752438,1.773198
12/5/2001,50.352436,52.752438,50.352436,52.752438,2307100,51.865826,-0.886612
12/6/2001,53.315831,53.515827,51.27583,51.865826,3466700,51.688522,-0.177304
12/7/2001,51.128525,52.42852,51.128525,51.688522,1137200,50.868416,-0.820106
12/10/2001,51.568421,52.09842,50.618416,50.868416,1013200,50.388172,-0.480244
12/11/2001,51.628177,51.628177,49.188175,50.388172,1349000,50.794544,0.406372
12/12/2001,50.794544,51.344547,49.844547,50.794544,789900,50.255177,-0.539367
12/13/2001,50.98518,51.185177,49.345181,50.255177,1094300,51.163948,0.908771
12/14/2001,49.933945,51.363945,49.413948,51.163948,1598800,51.718075,0.554127
12/17/2001,50.718075,52.018078,50.418072,51.718075,1423600,50.735435,-0.98264
