,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,9.291055,9.353555,8.478555,8.666055,517700,9.179177,0.513122
1/3/2001,8.491677,9.241677,8.116677,9.179177,440700,9.806329,0.627152
1/4/2001,9.181329,9.931329,9.181329,9.806329,438400,9.350218,-0.456111
1/5/2001,9.850218,9.850218,9.225218,9.350218,631900,9.578276,0.228058
1/8/2001,9.265776,9.703276,9.265776,9.578276,212700,9.521261,-0.057015
1/9/2001,9.708761,9.771261,9.333761,9.521261,184700,9.46425,-0.057011
1/10/2001,9.08925,9.58925,8.96425,9.46425,368000,9.578276,0.114026
1/11/2001,9.453276,9.640776,9.328276,9.578276,348500,9.122166,-0.45611
1/12/2001,9.622166,9.622166,9.122166,9.122166,429200,9.692299,0.570133
1/16/2001,9.192299,9.692299,9.129799,9.692299,354400,10.604518,0.912219
1/17/2001,9.792018,10.729518,9.729518,10.604518,703100,10.49049,-0.114028
1/18/2001,10.55299,10.61549,10.24049,10.49049,460200,9.920355,-0.570135
1/19/2001,10.920355,10.982855,9.920355,9.920355,734000,10.49049,0.570135
1/22/2001,9.92799,10.74049,9.86549,10.49049,476500,10.775559,0.285069
1/23/2001,10.775559,11.025559,10.650559,10.775559,471100,10.547503,-0.228056
1/24/2001,10.797503,10.797503,10.360003,10.547503,403100,10.49049,-0.057013
1/25/2001,10.36549,10.49049,10.05299,10.49049,488000,10.604518,0.114028
1/26/2001,10.479518,10.854518,10.479518,10.604518,207600,11.439194,0.834676
1/29/2001,10.699194,11.569194,10.659194,11.439194,469500,11.612516,0.173322
1/30/2001,11.742516,11.992516,11.442516,11.612516,556800,11.521296,-0.09122
1/31/2001,11.871296,11.871296,11.391296,11.521296,659000,11.63076,0.109464
2/1/2001,11.52076,11.73076,11.40076,11.63076,535500,11.950036,0.319276
2/2/2001,11.600036,12.030036,11.560036,11.950036,507700,11.968279,0.018243
2/5/2001,11.798279,12.328279,11.778279,11.968279,885400,12.999084,1.030805
2/6/2001,12.209084,13.349084,12.149084,12.999084,902500,12.533854,-0.46523
2/7/2001,12.793854,12.843854,12.423854,12.533854,374600,13.135916,0.602062
2/8/2001,12.575916,13.195916,12.485916,13.135916,392100,13.354849,0.218933
2/9/2001,13.514849,13.634849,13.274849,13.354849,585100,12.771032,-0.583817
2/12/2001,13.411032,13.411032,12.771032,12.771032,379000,13.318361,0.547329
2/13/2001,12.348361,13.338361,12.108361,13.318361,1516300,12.3879,-0.930461
2/14/2001,13.5079,13.5279,12.1979,12.3879,646300,12.314924,-0.072976
2/15/2001,12.294924,12.404924,11.814924,12.314924,563600,12.451756,0.136832
2/16/2001,11.801756,12.601756,11.771756,12.451756,222800,12.661566,0.20981
2/20/2001,12.731566,12.881566,12.581566,12.661566,248800,12.397022,-0.264544
2/21/2001,12.687022,12.747022,12.257022,12.397022,237300,12.479123,0.082101
2/22/2001,11.999123,13.049123,11.899123,12.479123,1865300,12.6342,0.155077
2/23/2001,12.5842,12.8542,12.5042,12.6342,738900,13.02645,0.39225
2/26/2001,12.69645,13.04645,12.69645,13.02645,316900,13.181526,0.155076
2/27/2001,12.911526,13.231526,12.911526,13.181526,513900,13.665005,0.483479
2/28/2001,13.185005,14.185005,13.135005,13.665005,927800,13.701493,0.036488
3/1/2001,13.561493,13.931493,13.181493,13.701493,786200,13.500805,-0.200688
3/2/2001,13.700805,13.700805,13.150805,13.500805,740600,13.592029,0.091224
3/5/2001,13.492029,13.592029,13.372029,13.592029,216700,13.537293,-0.054736
3/6/2001,13.647293,13.757293,13.317293,13.537293,367300,13.519046,-0.018247
3/7/2001,13.539046,13.669046,13.369046,13.519046,284100,13.783591,0.264545
3/8/2001,13.493591,13.923591,13.393591,13.783591,569600,13.637637,-0.145954
3/9/2001,13.717637,13.727637,13.437637,13.637637,186800,12.789275,-0.848362
3/12/2001,13.519275,13.569275,12.639275,12.789275,528600,12.068624,-0.720651
3/13/2001,12.628624,12.708624,11.598624,12.068624,710400,11.174653,-0.893971
3/14/2001,11.774653,11.874653,10.994653,11.174653,652300,11.639885,0.465232
3/15/2001,11.029885,11.729885,10.629885,11.639885,440400,10.937476,-0.702409
3/16/2001,11.347476,11.447476,10.807476,10.937476,319700,11.439194,0.501718
3/19/2001,10.519194,11.499194,10.499194,11.439194,349100,11.503052,0.063858
3/20/2001,11.253052,11.633052,11.253052,11.503052,152300,11.192899,-0.310153
3/21/2001,11.432899,11.662899,10.982899,11.192899,150800,10.955718,-0.237181
3/22/2001,11.045718,11.245718,10.655718,10.955718,377200,11.338853,0.383135
3/23/2001,11.018853,11.388853,10.958853,11.338853,297300,12.041257,0.702404
3/26/2001,11.691257,12.041257,11.441257,12.041257,313600,12.661566,0.620309
3/27/2001,11.981566,12.691566,11.781566,12.661566,481200,12.369658,-0.291908
3/28/2001,12.059658,12.529658,12.059658,12.369658,421900,12.077744,-0.291914
3/29/2001,12.337744,12.337744,12.007744,12.077744,209800,12.953474,0.87573
3/30/2001,11.893474,13.353474,11.833474,12.953474,579600,12.406141,-0.547333
4/2/2001,13.006141,13.096141,12.316141,12.406141,539900,12.360535,-0.045606
4/3/2001,12.340535,12.410535,11.980535,12.360535,306800,12.050379,-0.310156
4/4/2001,12.240379,12.390379,11.950379,12.050379,309100,12.771032,0.720653
4/5/2001,11.871032,12.771032,11.861032,12.771032,272600,12.086868,-0.684164
4/6/2001,12.736868,12.736868,11.906868,12.086868,168600,12.497365,0.410497
4/9/2001,12.147365,12.747365,12.097365,12.497365,224400,12.880497,0.383132
4/10/2001,12.560497,12.990497,12.410497,12.880497,177900,12.844009,-0.036488
4/11/2001,12.914009,13.314009,12.814009,12.844009,272000,12.989964,0.145955
4/12/2001,12.819964,13.089964,12.599964,12.989964,138400,12.488243,-0.501721
4/16/2001,12.568243,12.878243,12.488243,12.488243,134600,12.844009,0.355766
4/17/2001,12.554009,12.944009,12.474009,12.844009,113600,13.856569,1.01256
4/18/2001,13.066569,13.916569,12.846569,13.856569,564100,13.39134,-0.465229
4/19/2001,13.51134,13.80134,13.23134,13.39134,262900,13.126796,-0.264544
4/20/2001,13.336796,13.336796,12.936796,13.126796,130200,12.16897,-0.957826
4/23/2001,12.82897,12.96897,12.02897,12.16897,268800,11.639885,-0.529085
4/24/2001,11.779885,11.779885,11.389885,11.639885,530800,11.174653,-0.465232
4/25/2001,11.424653,11.574653,11.024653,11.174653,1062200,12.023012,0.848359
4/26/2001,11.113012,12.113012,11.103012,12.023012,302600,12.086868,0.063856
4/27/2001,12.016868,12.236868,11.996868,12.086868,131600,11.685494,-0.401374
4/30/2001,12.075494,12.175494,11.625494,11.685494,216200,11.721982,0.036488
5/1/2001,11.771982,11.831982,11.521982,11.721982,255000,11.731103,0.009121
5/2/2001,11.721103,11.861103,11.671103,11.731103,137900,11.311482,-0.419621
5/3/2001,11.461482,11.561482,11.261482,11.311482,363900,11.603395,0.291913
