,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,7.650219,7.712719,6.712719,6.712719,1428500,7.325288,0.612569
1/3/2001,5.887788,7.450288,5.887788,7.325288,2001600,6.508529,-0.816759
1/4/2001,7.071029,7.821029,6.383529,6.508529,5724200,6.380907,-0.127622
1/5/2001,7.005907,7.068407,6.380907,6.380907,5437200,6.483004,0.102097
1/8/2001,6.420504,6.858004,6.045504,6.483004,2621300,6.789289,0.306285
1/9/2001,6.039289,7.039289,6.039289,6.789289,2887500,6.763765,-0.025524
1/10/2001,6.201265,6.951265,6.201265,6.763765,1788400,6.86586,0.102095
1/11/2001,6.05336,7.17836,6.05336,6.86586,2073000,7.274239,0.408379
1/12/2001,6.274239,7.711739,6.149239,7.274239,2989700,7.121095,-0.153144
1/16/2001,7.308595,7.746095,7.058595,7.121095,3009400,7.121095,0
1/17/2001,7.183595,7.683595,6.996095,7.121095,3493400,6.942431,-0.178664
1/18/2001,7.192431,7.317431,6.942431,6.942431,2997500,6.738241,-0.20419
1/19/2001,7.238241,7.300741,6.738241,6.738241,2738100,7.197666,0.459425
1/22/2001,6.447666,7.322666,6.447666,7.197666,1689600,7.478428,0.280762
1/23/2001,6.728428,7.853428,6.728428,7.478428,4082000,8.116516,0.638088
1/24/2001,7.991516,8.366516,7.679016,8.116516,6296400,8.014426,-0.10209
1/25/2001,8.201926,8.514426,7.701926,8.014426,2474500,8.014426,0
1/26/2001,8.014426,8.139426,7.826926,8.014426,2299700,8.122648,0.108222
1/29/2001,7.562649,8.232649,7.562649,8.122648,3092000,8.326832,0.204184
1/30/2001,7.586833,8.636834,7.356833,8.326832,2057000,8.437095,0.110263
1/31/2001,7.377095,9.067096,7.287095,8.437095,2420700,8.469764,0.032669
2/1/2001,8.389764,8.689763,7.729764,8.469764,1338800,8.089972,-0.379792
2/2/2001,8.699973,8.959973,8.079972,8.089972,1735100,7.922536,-0.167436
2/5/2001,8.142537,8.272536,7.732535,7.922536,1883400,7.95521,0.032674
2/6/2001,8.37521,8.40521,7.82521,7.95521,1584300,8.07364,0.11843
2/7/2001,7.523639,8.20364,7.523639,8.07364,983600,7.61217,-0.46147
2/8/2001,8.872171,8.962171,7.572171,7.61217,2243500,7.399813,-0.212357
2/9/2001,7.919811,8.159811,7.359812,7.399813,1601900,7.407982,0.008169
2/12/2001,7.497983,7.717984,7.217984,7.407982,2211500,7.477406,0.069424
2/13/2001,7.397407,7.827407,7.397407,7.477406,3004600,7.49374,0.016334
2/14/2001,7.62374,7.79374,7.41374,7.49374,2012300,7.497827,0.004087
2/15/2001,7.537826,7.847825,7.337827,7.497827,2100100,7.54683,0.049003
2/16/2001,7.516831,7.91683,7.31683,7.54683,1221100,7.800025,0.253195
2/20/2001,7.560026,8.000024,7.210025,7.800025,2132300,7.49374,-0.306285
2/21/2001,8.093741,8.15374,7.253741,7.49374,3017700,7.420233,-0.073507
2/22/2001,7.800232,7.950234,7.310232,7.420233,1446000,7.265049,-0.155184
2/23/2001,7.375048,7.805048,7.075048,7.265049,1109700,7.591754,0.326705
2/26/2001,7.431754,7.701755,7.251754,7.591754,1476800,7.322222,-0.269532
2/27/2001,7.732222,7.872222,7.252223,7.322222,2134200,7.207876,-0.114346
2/28/2001,7.557876,7.557876,6.817876,7.207876,2238700,7.032272,-0.175604
3/1/2001,8.012274,8.242273,6.672274,7.032272,3587700,6.750494,-0.281778
3/2/2001,6.920494,7.260494,6.740493,6.750494,2951200,6.885259,0.134765
3/5/2001,7.125258,7.125258,6.625258,6.885259,1728200,6.840333,-0.044926
3/6/2001,7.030334,7.040334,6.650332,6.840333,3327300,6.912124,0.071791
3/7/2001,6.792124,6.972124,6.692123,6.912124,2396900,7.051599,0.139475
3/8/2001,6.861598,7.241597,6.731599,7.051599,1085000,7.01878,-0.032819
3/9/2001,6.908779,7.178779,6.588779,7.01878,1225400,6.916228,-0.102552
3/12/2001,6.966227,7.456227,6.806227,6.916228,1302800,6.768548,-0.14768
3/13/2001,7.078547,7.168548,6.558549,6.768548,1641600,6.60446,-0.164088
3/14/2001,6.91446,7.134459,6.35446,6.60446,1420400,6.583951,-0.020509
3/15/2001,7.133952,7.173951,6.383952,6.583951,1814300,6.354231,-0.22972
3/16/2001,6.764231,6.854231,6.214231,6.354231,2761100,6.44858,0.094349
3/19/2001,6.22858,6.58858,6.21858,6.44858,1478300,6.419865,-0.028715
3/20/2001,6.599865,7.049866,6.419865,6.419865,1834300,6.358334,-0.061531
3/21/2001,6.518334,6.758334,6.258334,6.358334,1117000,6.210655,-0.147679
3/22/2001,6.520655,6.810655,5.820655,6.210655,2490900,6.268085,0.05743
3/23/2001,6.038085,6.388085,5.748085,6.268085,2038200,6.370639,0.102554
3/26/2001,6.290639,6.390639,6.130639,6.370639,1143000,6.428071,0.057432
3/27/2001,6.208071,6.488071,5.828071,6.428071,842500,6.276288,-0.151783
3/28/2001,6.076288,6.376288,5.996288,6.276288,1123800,6.469091,0.192803
3/29/2001,5.499091,6.539091,5.499091,6.469091,2580600,6.44858,-0.020511
3/30/2001,6.27858,6.82858,5.93858,6.44858,1817500,6.440375,-0.008205
4/2/2001,6.350375,6.610375,6.090375,6.440375,1064500,6.354231,-0.086144
4/3/2001,6.794231,6.91423,6.164231,6.354231,1694700,6.452683,0.098452
4/4/2001,6.172683,6.872683,6.122683,6.452683,1046400,6.518317,0.065634
4/5/2001,6.378317,6.818318,6.238317,6.518317,747000,6.575747,0.05743
4/6/2001,6.545746,6.725746,5.925746,6.575747,1017900,6.551132,-0.024615
4/9/2001,6.861133,6.961131,6.331132,6.551132,854700,6.588055,0.036923
4/10/2001,6.758056,6.968057,6.538056,6.588055,1356300,6.538826,-0.049229
4/11/2001,6.648825,6.748826,6.388826,6.538826,1128100,6.300901,-0.237925
4/12/2001,6.640901,6.650901,6.050901,6.300901,1600900,6.112206,-0.188695
4/16/2001,6.582206,6.762206,5.932206,6.112206,2466800,5.993242,-0.118964
4/17/2001,6.183242,6.463242,5.993242,5.993242,1088500,6.378842,0.3856
4/18/2001,5.808842,6.928842,5.628842,6.378842,1996900,6.497804,0.118962
4/19/2001,6.447804,6.947805,6.127804,6.497804,1720200,6.52242,0.024616
