,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,20.937035,21.737034,20.697033,21.087032,1625000,20.808758,-0.278274
1/3/2001,20.658756,21.658756,20.308758,20.808758,2071200,20.654163,-0.154595
1/4/2001,20.654163,21.05416,19.754161,20.654163,2207400,20.314053,-0.34011
1/5/2001,20.464055,20.584054,19.864057,20.314053,669000,20.351151,0.037098
1/8/2001,20.041149,21.091153,19.841153,20.351151,729700,21.173615,0.822464
1/9/2001,19.183613,21.433613,19.183613,21.173615,1046700,20.882969,-0.290646
1/10/2001,20.712967,21.302968,20.112969,20.882969,1042000,20.771654,-0.111315
1/11/2001,20.431654,21.431654,20.181654,20.771654,1361500,20.746912,-0.024742
1/12/2001,21.036913,21.196913,19.706911,20.746912,1153200,20.654163,-0.092749
1/16/2001,20.80416,21.154163,19.774161,20.654163,858300,19.800781,-0.853382
1/17/2001,20.680783,21.780781,19.780781,19.800781,909200,19.7575,-0.043281
1/18/2001,20.307499,20.607498,19.4275,19.7575,1684200,19.621449,-0.136051
1/19/2001,18.891449,19.84145,18.891449,19.621449,1513900,20.567577,0.946128
1/22/2001,18.907579,20.657577,18.407579,20.567577,1009600,20.406801,-0.160776
1/23/2001,20.156801,20.7768,20.106802,20.406801,764700,19.788418,-0.618383
1/24/2001,20.538418,20.788418,18.988419,19.788418,1392000,21.340561,1.552143
1/25/2001,20.330563,21.830563,19.880562,21.340561,4272100,21.56938,0.228819
1/26/2001,21.63938,21.939379,20.789377,21.56938,4126500,21.674496,0.105116
1/29/2001,21.224495,21.754498,20.874497,21.674496,1589700,21.482798,-0.191698
1/30/2001,21.592794,21.692797,21.042795,21.482798,1254900,21.445702,-0.037096
1/31/2001,21.715703,21.715703,21.315701,21.445702,1515500,22.391829,0.946127
2/1/2001,20.86183,22.68183,20.77183,22.391829,2446500,22.509329,0.1175
2/2/2001,22.359327,23.609327,22.109327,22.509329,2566800,22.447495,-0.061834
2/5/2001,21.797498,23.047498,21.547498,22.447495,2046900,22.224865,-0.22263
2/6/2001,22.594867,22.724865,22.184868,22.224865,1055600,22.342356,0.117491
2/7/2001,22.362357,22.762354,21.322356,22.342356,1871500,22.651548,0.309192
2/8/2001,21.821546,22.861547,21.801546,22.651548,1301100,22.342356,-0.309192
2/9/2001,23.162356,23.302355,21.962355,22.342356,948300,21.581739,-0.760617
2/12/2001,22.981736,23.231736,21.421739,21.581739,2067000,22.824699,1.24296
2/13/2001,20.814701,22.914699,20.414699,22.824699,1776600,22.150663,-0.674036
2/14/2001,23.180661,23.980665,21.830663,22.150663,2160100,22.070274,-0.080389
2/15/2001,21.770274,22.970275,21.480273,22.070274,1795300,22.416565,0.346291
2/16/2001,21.856564,23.366566,21.276566,22.416565,4712800,23.177176,0.760611
2/20/2001,22.637175,23.547174,21.897177,23.177176,1796600,22.787594,-0.389582
2/21/2001,23.587598,24.187596,22.587598,22.787594,1928000,23.344152,0.556558
2/22/2001,22.69415,23.794153,22.69415,23.344152,2036600,22.849442,-0.49471
2/23/2001,22.899441,23.459442,22.19944,22.849442,1547800,23.486382,0.63694
2/26/2001,22.406384,23.51638,22.10638,23.486382,1776400,23.498741,0.012359
2/27/2001,23.148743,23.498741,22.918739,23.498741,2501900,23.16482,-0.333921
2/28/2001,23.654822,23.854823,22.604823,23.16482,1790100,22.780277,-0.384543
3/1/2001,23.150275,23.300277,21.750278,22.780277,1868900,23.754009,0.973732
3/2/2001,21.804008,23.754009,21.68401,23.754009,1910800,23.840841,0.086832
3/5/2001,23.300844,24.040841,23.110841,23.840841,1879900,23.183418,-0.657423
3/6/2001,24.803417,24.803417,22.703419,23.183418,1742000,24.219173,1.035755
3/7/2001,22.919174,24.419174,22.639175,24.219173,3779400,23.940075,-0.279098
3/8/2001,24.290078,24.840077,23.490079,23.940075,2303000,23.915277,-0.024798
3/9/2001,24.055277,24.255278,23.365274,23.915277,1443400,24.181957,0.26668
3/12/2001,23.501956,24.601955,23.291953,24.181957,2569100,23.778816,-0.403141
3/13/2001,24.038814,24.338818,23.038814,23.778816,1605700,23.344679,-0.434137
3/14/2001,23.45468,24.104682,21.854682,23.344679,2859600,23.257839,-0.08684
3/15/2001,23.007839,23.257839,21.907841,23.257839,1865300,22.947746,-0.310093
3/16/2001,22.447746,23.547744,22.267746,22.947746,2283900,22.451574,-0.496172
3/19/2001,22.851571,22.991575,20.931573,22.451574,2206400,21.688725,-0.762849
3/20/2001,22.718724,22.718724,21.418725,21.688725,1586800,21.372408,-0.316317
3/21/2001,22.04241,22.04241,21.012407,21.372408,1605800,21.087109,-0.285299
3/22/2001,20.837109,21.137108,18.687109,21.087109,2246600,21.645304,0.558195
3/23/2001,20.545301,22.135301,20.1653,21.645304,2158900,22.395744,0.75044
