,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,8.761063,8.823563,8.604813,8.667313,5743200,10.265195,1.597882
1/3/2001,8.171445,10.265195,8.171445,10.265195,19596000,10.386249,0.121054
1/4/2001,9.886249,10.854999,9.761249,10.386249,30658800,10.035194,-0.351055
1/5/2001,10.347694,10.363319,9.816444,10.035194,11739200,9.563097,-0.472097
1/8/2001,10.172472,10.172472,9.313097,9.563097,11604400,9.393626,-0.169471
1/9/2001,9.596751,9.737376,9.143626,9.393626,8467600,9.756779,0.363153
1/10/2001,8.944279,9.788029,8.944279,9.756779,10192800,9.672042,-0.084737
1/11/2001,9.750167,9.953292,9.484542,9.672042,9900400,9.756779,0.084737
1/12/2001,9.647404,9.803654,9.600529,9.756779,6054800,9.587309,-0.16947
1/16/2001,9.524809,9.649809,9.227934,9.587309,11900400,9.347431,-0.239878
1/17/2001,9.675556,9.675556,9.331806,9.347431,7836400,8.958966,-0.388465
1/18/2001,9.443341,9.443341,8.943341,8.958966,13853200,8.619059,-0.339907
1/19/2001,9.025309,9.025309,8.462809,8.619059,17919200,8.92255,0.303491
1/22/2001,8.844425,9.2038,8.750675,8.92255,11980400,9.298868,0.376318
1/23/2001,8.923868,9.298868,8.767618,9.298868,6577600,9.189615,-0.109253
1/24/2001,9.36149,9.36149,9.033365,9.189615,6853600,9.408126,0.218511
1/25/2001,9.173751,9.658126,8.955001,9.408126,6620800,9.480965,0.072839
1/26/2001,9.605965,9.605965,9.24659,9.480965,7066800,9.672767,0.191802
1/29/2001,9.545267,9.735267,9.517767,9.672767,4626000,9.863114,0.190347
1/30/2001,9.793114,9.905614,9.485614,9.863114,9050800,10.381716,0.518602
1/31/2001,9.881716,10.524216,9.859216,10.381716,18794800,10.585662,0.203946
2/1/2001,10.323162,10.705662,9.973162,10.585662,16895600,10.457467,-0.128195
2/2/2001,10.647467,10.707467,10.422467,10.457467,15373200,10.313734,-0.143733
2/5/2001,10.451234,10.453734,10.163734,10.313734,14122000,10.154468,-0.159266
2/6/2001,10.359468,10.494468,10.146968,10.154468,11584400,10.136984,-0.017484
2/7/2001,10.096984,10.276984,10.039484,10.136984,9973600,9.711616,-0.425368
2/8/2001,10.286616,10.299116,9.604116,9.711616,11544000,10.39337,0.681754
2/9/2001,10.07837,10.66587,10.07837,10.39337,22994000,10.488543,0.095173
2/12/2001,10.113543,10.501043,10.053543,10.488543,21378400,10.925565,0.437022
2/13/2001,10.363065,10.988065,10.135565,10.925565,24401200,10.956645,0.03108
2/14/2001,10.916645,11.354145,10.874145,10.956645,22645200,11.04987,0.093225
2/15/2001,11.22737,11.32487,10.85987,11.04987,18168000,10.974124,-0.075746
2/16/2001,10.974124,11.119124,10.699124,10.974124,21668000,11.323743,0.349619
2/20/2001,10.936243,11.603743,10.923743,11.323743,18081200,10.548756,-0.774987
2/21/2001,11.371256,11.453756,10.536256,10.548756,14834800,10.515737,-0.033019
2/22/2001,10.593237,10.605737,10.268237,10.515737,9111600,10.601197,0.08546
2/23/2001,10.491197,10.728697,10.211197,10.601197,14015200,11.442229,0.841032
2/26/2001,10.964729,11.602229,10.889729,11.442229,23458000,11.168355,-0.273874
2/27/2001,11.355855,11.518355,11.085855,11.168355,19496400,10.853701,-0.314654
2/28/2001,11.208701,11.383701,10.633701,10.853701,10567600,10.684714,-0.168987
3/1/2001,10.989714,11.029714,10.232214,10.684714,10561200,11.090666,0.405952
3/2/2001,10.365666,11.165666,10.230666,11.090666,9834800,11.100376,0.00971
3/5/2001,11.087876,11.425376,11.012876,11.100376,12197200,11.440287,0.339911
3/6/2001,11.165287,11.600287,11.127787,11.440287,11756400,12.098731,0.658444
3/7/2001,11.501231,12.151231,11.488731,12.098731,19706800,12.024922,-0.073809
3/8/2001,12.109922,12.697422,12.019922,12.024922,26226400,12.133693,0.108771
3/9/2001,11.931193,12.253693,11.516193,12.133693,14356000,11.584012,-0.549681
3/12/2001,12.174012,12.176512,11.534012,11.584012,13828800,11.57819,-0.005822
3/13/2001,11.67569,11.77569,11.13319,11.57819,14356400,11.405322,-0.172868
3/14/2001,11.112822,11.550322,11.112822,11.405322,12388000,11.789904,0.384582
3/15/2001,11.527404,11.989904,11.527404,11.789904,14624400,11.657824,-0.13208
3/16/2001,11.715324,11.890324,11.427824,11.657824,12955200,11.896728,0.238904
3/19/2001,11.621728,11.959228,11.481728,11.896728,10533200,12.114268,0.21754
3/20/2001,11.946768,12.546768,11.934268,12.114268,18232000,12.052112,-0.062156
3/21/2001,12.132112,12.264612,11.787112,12.052112,18071600,11.193608,-0.858504
3/22/2001,12.161108,12.161108,10.596108,11.193608,24016400,10.857583,-0.336025
3/23/2001,11.287583,11.287583,10.682583,10.857583,17697600,11.05182,0.194237
3/26/2001,11.17682,11.17682,10.88932,11.05182,14936400,11.382011,0.330191
3/27/2001,10.959511,11.487011,10.644511,11.382011,20050000,11.166415,-0.215596
3/28/2001,11.231415,11.391415,11.073915,11.166415,13191600,11.391721,0.225306
3/29/2001,10.856721,11.454221,10.554221,11.391721,15234400,11.35288,-0.038841
