,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,8.05745,8.30745,7.37745,7.55745,1591800,7.965665,0.408215
1/3/2001,7.125665,8.025665,7.125665,7.965665,2723100,8.550401,0.584736
1/4/2001,7.060401,8.790401,7.060401,8.550401,6087000,8.550401,0
1/5/2001,8.790401,9.090402,8.300401,8.550401,4070000,8.655214,0.104813
1/8/2001,8.465214,8.705214,8.285214,8.655214,1822700,8.395942,-0.259272
1/9/2001,8.775942,8.865942,8.385942,8.395942,1840200,8.412494,0.016552
1/10/2001,8.162494,8.412494,8.162494,8.412494,2273500,8.280097,-0.132397
1/11/2001,8.370097,8.570097,8.080097,8.280097,3060600,8.252517,-0.02758
1/12/2001,8.292517,8.782517,8.182517,8.252517,2822500,8.274581,0.022064
1/16/2001,8.224581,8.424581,7.984581,8.274581,1822000,8.35181,0.077229
1/17/2001,8.21181,8.61181,8.21181,8.35181,1456700,8.500754,0.148944
1/18/2001,8.210754,8.830754,8.190754,8.500754,2221800,8.48972,-0.011034
1/19/2001,8.39972,8.58972,8.01972,8.48972,2092700,8.274581,-0.215139
1/22/2001,8.524581,8.534581,8.074581,8.274581,2076700,8.247,-0.027581
1/23/2001,8.057,8.297,7.997,8.247,1576900,8.18632,-0.06068
1/24/2001,8.19632,8.29632,7.59632,8.18632,1812200,8.06496,-0.12136
1/25/2001,8.24496,8.34496,8.06496,8.06496,931800,8.103575,0.038615
1/26/2001,8.113575,8.203575,7.933575,8.103575,985900,8.53937,0.435795
1/29/2001,7.64937,8.73937,7.60937,8.53937,2449600,8.136671,-0.402699
1/30/2001,8.186671,8.386671,7.736671,8.136671,2185700,8.197353,0.060682
1/31/2001,8.137353,8.277353,7.877353,8.197353,2236900,8.589018,0.391665
2/1/2001,8.419018,8.669018,7.889018,8.589018,5950100,8.908965,0.319947
2/2/2001,8.708965,9.058964,8.558965,8.908965,7207000,9.091006,0.182041
2/5/2001,8.761006,9.101006,8.621006,9.091006,4062800,8.96413,-0.126876
2/6/2001,9.21413,9.56413,8.914131,8.96413,2959000,9.212368,0.248238
2/7/2001,8.962368,9.362367,8.942367,9.212368,2705600,9.239948,0.02758
2/8/2001,9.089948,9.389948,8.989948,9.239948,1855300,8.96413,-0.275818
2/9/2001,9.414131,9.414131,8.60413,8.96413,1834100,9.024812,0.060682
2/12/2001,8.864812,9.114812,8.784812,9.024812,1902500,9.322696,0.297884
2/13/2001,8.782697,9.372697,8.672696,9.322696,3518100,9.377857,0.055161
2/14/2001,9.267856,9.417858,9.127857,9.377857,3420500,9.499219,0.121362
2/15/2001,9.28922,9.729221,9.27922,9.499219,4523600,9.322696,-0.176523
2/16/2001,9.322696,9.522696,9.082696,9.322696,3545100,9.460607,0.137911
2/20/2001,9.210607,9.810607,9.160607,9.460607,3790000,9.372341,-0.088266
2/21/2001,9.77234,9.77234,9.232341,9.372341,3307400,9.311665,-0.060676
2/22/2001,9.131667,9.431666,9.131667,9.311665,2546000,9.273049,-0.038616
2/23/2001,9.163051,9.36305,8.88305,9.273049,3035900,9.223398,-0.049651
2/26/2001,9.313398,10.003399,9.103399,9.223398,2498700,9.361311,0.137913
2/27/2001,8.841313,9.481312,8.811312,9.361311,3379800,9.355792,-0.005519
2/28/2001,9.395793,9.595794,8.905793,9.355792,2569100,9.322696,-0.033096
3/1/2001,9.422696,9.692696,9.182696,9.322696,3050300,9.377857,0.055161
3/2/2001,9.177856,9.397857,9.027857,9.377857,2234100,9.2565,-0.121357
3/5/2001,9.326499,9.556499,9.0065,9.2565,1571200,9.416471,0.159971
3/6/2001,9.336471,9.686471,9.296472,9.416471,2254500,9.604031,0.18756
3/7/2001,9.24403,9.634032,9.224032,9.604031,1760700,9.857787,0.253756
3/8/2001,9.477786,10.267787,9.447785,9.857787,7954600,10.183253,0.325466
3/9/2001,9.723254,10.563254,9.603253,10.183253,6282200,10.161186,-0.022067
3/12/2001,10.141186,10.331186,9.761186,10.161186,3937900,10.012243,-0.148943
3/13/2001,10.162242,10.172242,9.662242,10.012243,3109500,9.984664,-0.027579
3/14/2001,9.624664,10.134664,9.284664,9.984664,2471000,10.232899,0.248235
