,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,20.837946,20.837946,20.025446,20.525446,3529800,20.640333,0.114887
1/3/2001,20.515333,21.640333,20.327833,20.640333,3265400,20.219097,-0.421236
1/4/2001,20.469097,21.094097,20.094097,20.219097,5953800,20.180809,-0.038288
1/5/2001,19.993309,20.243309,19.805809,20.180809,3999100,20.219097,0.038288
1/8/2001,20.094097,20.531597,19.969097,20.219097,2803600,20.257383,0.038286
1/9/2001,19.757383,20.444883,19.757383,20.257383,2778100,20.333981,0.076598
1/10/2001,20.021481,20.458981,19.458981,20.333981,3091800,20.027632,-0.306349
1/11/2001,20.652632,20.652632,19.965132,20.027632,2179800,20.602036,0.574404
1/12/2001,19.914536,20.914536,19.539536,20.602036,3284200,20.908384,0.306348
1/16/2001,19.533384,20.908384,18.908384,20.908384,4546000,21.253031,0.344647
1/17/2001,20.440531,21.628031,20.190531,21.253031,5223100,20.602036,-0.650995
1/18/2001,21.102036,21.289536,20.602036,20.602036,4744500,20.104219,-0.497817
1/19/2001,20.729219,20.791719,19.979219,20.104219,5238500,20.525446,0.421227
1/22/2001,19.650446,20.775446,19.650446,20.525446,3267500,20.142509,-0.382937
1/23/2001,20.767509,20.767509,19.892509,20.142509,3290600,18.878813,-1.263696
1/24/2001,19.941313,20.191313,18.378813,18.878813,11006600,18.112942,-0.765871
1/25/2001,19.362942,19.675442,16.800442,18.112942,20823700,17.768293,-0.344649
1/26/2001,18.268293,18.705793,17.580793,17.768293,9631400,18.086903,0.31861
1/29/2001,17.766904,18.276902,16.566903,18.086903,8501700,18.044014,-0.042889
1/30/2001,18.094013,18.134014,17.714014,18.044014,5582200,17.982742,-0.061272
1/31/2001,17.882742,18.122742,17.582743,17.982742,7850300,17.78668,-0.196062
2/1/2001,18.256679,18.506679,17.716678,17.78668,6946800,18.031763,0.245083
2/2/2001,17.661762,18.111763,17.561762,18.031763,5769700,17.988869,-0.042894
2/5/2001,17.878868,18.158869,17.778868,17.988869,4410000,18.399376,0.410507
2/6/2001,17.639375,18.869375,17.629375,18.399376,6791300,17.933725,-0.465651
2/7/2001,18.673725,18.903725,17.853726,17.933725,6112900,17.97661,0.042885
2/8/2001,18.05661,18.30661,17.586611,17.97661,6959000,18.233953,0.257343
2/9/2001,17.803953,18.573953,17.753954,18.233953,3406200,18.27684,0.042887
2/12/2001,18.20684,18.69684,18.09684,18.27684,3865500,18.380997,0.104157
2/13/2001,18.280997,18.730997,18.100996,18.380997,5234600,17.921474,-0.459523
2/14/2001,19.671474,19.671474,17.811473,17.921474,4888600,18.43001,0.508536
2/15/2001,17.640011,18.52001,17.60001,18.43001,7087000,18.515793,0.085783
2/16/2001,18.295794,18.745795,18.145794,18.515793,4590500,18.650585,0.134792
2/20/2001,18.280584,19.050584,18.280584,18.650585,3712700,18.184935,-0.46565
2/21/2001,18.744935,19.354935,18.114936,18.184935,4261100,18.417759,0.232824
2/22/2001,18.00776,18.70776,17.95776,18.417759,4020300,18.454521,0.036762
2/23/2001,18.43452,18.82452,18.284521,18.454521,4653000,18.30747,-0.147051
2/26/2001,18.47747,18.627472,18.177471,18.30747,2763600,18.411629,0.104159
2/27/2001,18.391631,18.53163,18.071629,18.411629,3666300,18.013372,-0.398257
2/28/2001,18.613372,18.613372,17.613372,18.013372,4582200,17.896965,-0.116407
3/1/2001,17.726967,18.166966,17.676966,17.896965,4732100,17.676394,-0.220571
3/2/2001,18.036393,18.036393,17.426394,17.676394,4924700,17.498705,-0.177689
3/5/2001,17.538706,17.618706,17.398705,17.498705,2781400,17.676394,0.177689
3/6/2001,16.926394,17.736394,16.676394,17.676394,5627300,17.400673,-0.275721
3/7/2001,17.850673,17.960672,17.110674,17.400673,3803700,17.952106,0.551433
3/8/2001,16.852108,17.952106,16.822107,17.952106,4038800,17.737663,-0.214443
3/9/2001,18.087661,18.137662,17.407663,17.737663,3745400,17.192356,-0.545307
3/12/2001,17.782357,17.782357,17.062357,17.192356,4978100,17.033056,-0.1593
3/13/2001,16.983057,17.263058,16.373056,17.033056,8211200,16.879883,-0.153173
3/14/2001,15.629883,17.429884,15.619885,16.879883,9960400,16.689945,-0.189938
3/15/2001,16.749944,16.759944,15.989946,16.689945,5756500,16.236549,-0.453396
3/16/2001,16.536548,17.18655,15.84655,16.236549,8455500,16.163027,-0.073522
3/19/2001,16.023028,16.483029,15.993027,16.163027,4393500,15.789279,-0.373748
3/20/2001,16.419279,16.499279,15.70928,15.789279,4981800,15.715755,-0.073524
3/21/2001,15.665755,16.155755,15.395755,15.715755,6182500,15.384894,-0.330861
3/22/2001,15.424893,15.754893,15.154892,15.384894,7568600,15.317495,-0.067399
3/23/2001,15.567495,15.657495,15.067495,15.317495,5210200,15.501309,0.183814
3/26/2001,15.20131,15.69131,14.95131,15.501309,5164300,15.519689,0.01838
3/27/2001,15.489688,15.789689,15.249688,15.519689,5708700,15.489057,-0.030632
3/28/2001,15.489057,15.719056,15.209056,15.489057,4168800,16.230419,0.741362
3/29/2001,14.990419,16.720419,14.830419,16.230419,5678900,16.267183,0.036764
3/30/2001,15.367184,16.317184,15.237184,16.267183,5845400,16.322327,0.055144
4/2/2001,15.982327,16.932328,15.982327,16.322327,4560200,15.801537,-0.52079
4/3/2001,16.561535,16.581536,15.631537,15.801537,5562400,15.985338,0.183801
4/4/2001,15.845339,15.985338,15.285337,15.985338,5456000,15.930194,-0.055144
4/5/2001,16.260194,16.470195,15.650193,15.930194,4362000,16.08337,0.153176
4/6/2001,16.053369,16.08337,15.58337,16.08337,3312400,16.352961,0.269591
4/9/2001,15.612961,16.602961,15.602961,16.352961,3673600,16.5429,0.189939
4/10/2001,16.2829,16.912901,16.1429,16.5429,3751400,16.37747,-0.16543
4/11/2001,16.48747,16.89747,16.207469,16.37747,3405000,16.4755,0.09803
4/12/2001,16.025502,16.615502,16.015501,16.4755,2872800,16.677692,0.202192
4/16/2001,16.407694,16.747694,16.227693,16.677692,2444300,16.647062,-0.03063
