,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,42.252152,42.802147,40.202148,40.692146,378800,41.10638,0.414234
1/3/2001,39.60638,41.556377,39.10638,41.10638,431900,40.855343,-0.251037
1/4/2001,39.755345,42.665349,39.755345,40.855343,484900,39.662952,-1.192391
1/5/2001,41.312949,41.312949,39.412952,39.662952,479000,41.169132,1.50618
1/8/2001,39.019135,41.569134,37.819134,41.169132,340600,40.353291,-0.815841
1/9/2001,41.653286,41.973286,40.013287,40.353291,141600,40.761192,0.407901
1/10/2001,39.861198,41.111198,39.861198,40.761192,174700,41.420155,0.658963
1/11/2001,40.370152,41.420155,39.020153,41.420155,273000,41.326035,-0.09412
1/12/2001,41.426034,41.52604,40.626039,41.326035,319200,41.294636,-0.031399
1/16/2001,41.244633,42.644635,40.604634,41.294636,344300,40.849083,-0.445553
1/17/2001,41.55909,41.759087,40.169091,40.849083,330500,40.949482,0.100399
1/18/2001,40.949482,40.949482,39.989483,40.949482,221500,40.541557,-0.407925
1/19/2001,41.181557,41.181557,40.141556,40.541557,231500,40.541557,0
1/22/2001,40.441559,40.941559,40.291557,40.541557,230900,40.541557,0
1/23/2001,40.291557,40.541557,39.941559,40.541557,214600,40.723549,0.181992
1/24/2001,40.683548,42.233552,40.033547,40.723549,245000,40.936924,0.213375
1/25/2001,40.756924,40.98692,40.436924,40.936924,75000,42.210903,1.273979
1/26/2001,39.950901,42.220898,39.770901,42.210903,183200,42.675312,0.464409
1/29/2001,41.935314,42.675312,41.625309,42.675312,272200,42.744354,0.069042
1/30/2001,42.384353,42.844352,41.684356,42.744354,134300,42.863605,0.119251
1/31/2001,42.673603,43.1636,42.443599,42.863605,197800,42.606297,-0.257308
2/1/2001,43.016301,43.016301,41.716298,42.606297,175600,42.060314,-0.545983
2/2/2001,42.920314,43.02032,41.940319,42.060314,137800,43.177383,1.117069
2/5/2001,42.37738,43.177383,41.997383,43.177383,213700,42.863605,-0.313778
2/6/2001,44.063602,44.093601,42.563602,42.863605,253800,43.49744,0.633835
2/7/2001,42.487445,43.627444,42.487445,43.49744,212300,43.434711,-0.062729
2/8/2001,43.53471,43.624714,42.874714,43.434711,111300,43.522556,0.087845
2/9/2001,43.382557,43.672558,43.07256,43.522556,80300,43.616684,0.094128
2/12/2001,43.716682,43.866684,42.066681,43.616684,419100,43.553925,-0.062759
2/13/2001,43.403923,44.003921,43.35392,43.553925,271000,43.509979,-0.043946
2/14/2001,43.379974,43.929977,43.249977,43.509979,93600,43.616684,0.106705
2/15/2001,43.616684,43.616684,42.616684,43.616684,152900,43.397038,-0.219646
2/16/2001,43.497036,44.227039,42.197033,43.397038,290400,42.869865,-0.527173
2/20/2001,43.459869,43.459869,42.069869,42.869865,182500,42.719234,-0.150631
2/21/2001,43.649234,43.649234,42.709232,42.719234,145900,42.562359,-0.156875
2/22/2001,42.742359,42.992359,40.842357,42.562359,204200,42.411175,-0.151184
2/23/2001,42.481175,42.481175,41.431171,42.411175,227900,43.40012,0.988945
2/26/2001,41.700115,43.40012,41.700115,43.40012,207200,43.053669,-0.346451
2/27/2001,43.353673,43.66367,42.403668,43.053669,322400,43.14817,0.094501
2/28/2001,42.848167,43.14817,41.588172,43.14817,225500,42.511978,-0.636192
3/1/2001,43.27198,43.27198,41.52198,42.511978,231800,43.211147,0.699169
3/2/2001,41.861149,43.211147,41.861149,43.211147,326300,42.820625,-0.390522
3/5/2001,43.090622,43.15062,42.44062,42.820625,109300,43.30563,0.485005
3/6/2001,42.55563,43.475628,42.55563,43.30563,170700,43.941845,0.636215
3/7/2001,43.081845,43.95184,42.431843,43.941845,149900,43.733982,-0.207863
3/8/2001,43.813984,44.29398,43.203984,43.733982,166700,43.116669,-0.617313
3/9/2001,44.096672,44.096672,42.316674,43.116669,141100,42.146629,-0.97004
3/12/2001,43.436622,43.436622,42.136627,42.146629,223700,42.694626,0.547997
3/13/2001,41.824631,42.854629,41.494629,42.694626,265600,41.756077,-0.938549
3/14/2001,41.966076,41.966076,40.496075,41.756077,521700,42.833206,1.077129
3/15/2001,41.683204,42.933204,41.263206,42.833206,248700,41.800182,-1.033024
3/16/2001,43.440181,43.540179,41.800182,41.800182,434900,41.982853,0.182671
3/19/2001,41.782848,42.132854,40.202854,41.982853,265200,41.699394,-0.283459
3/20/2001,42.149399,42.609398,41.529396,41.699394,296300,40.124634,-1.57476
3/21/2001,42.424633,42.584637,40.124634,40.124634,280600,38.480595,-1.644039
3/22/2001,40.890595,40.890595,37.190594,38.480595,303800,39.979755,1.49916
3/23/2001,37.709755,40.809757,37.009754,39.979755,348000,40.760845,0.78109
3/26/2001,39.700848,41.510845,39.700848,40.760845,284200,42.738724,1.977879
3/27/2001,39.598725,43.318726,39.138726,42.738724,362600,42.518265,-0.220459
3/28/2001,42.878266,42.878266,41.748268,42.518265,259400,42.663128,0.144863
3/29/2001,42.433125,43.203122,42.083127,42.663128,203000,44.030022,1.366894
3/30/2001,42.030022,44.030022,41.860023,44.030022,392300,43.809566,-0.220456
4/2/2001,43.759563,44.879566,43.13956,43.809566,355100,43.211147,-0.598419
4/3/2001,44.011151,44.161152,42.911152,43.211147,122800,42.14032,-1.070827
4/4/2001,43.89032,44.040321,41.790321,42.14032,166500,43.463093,1.322773
4/5/2001,41.963093,43.833096,41.963093,43.463093,169900,42.801697,-0.661396
4/6/2001,43.8517,43.8517,42.1717,42.801697,206700,42.95919,0.157493
4/9/2001,42.95919,43.70919,42.469192,42.95919,112900,43.595413,0.636223
4/10/2001,42.835411,43.835411,42.785416,43.595413,145600,44.030022,0.434609
4/11/2001,43.63002,44.610023,43.210022,44.030022,188700,44.250511,0.220489
4/12/2001,43.500511,44.250511,43.400513,44.250511,137900,44.162296,-0.088215
4/16/2001,44.152293,44.552295,43.322292,44.162296,198200,44.21899,0.056694
4/17/2001,43.39899,44.21899,42.71899,44.21899,344200,44.962269,0.743279
4/18/2001,44.18227,45.332272,44.012272,44.962269,221800,45.157555,0.195286
4/19/2001,44.767556,45.157555,44.657555,45.157555,106700,44.47094,-0.686615
4/20/2001,45.520944,45.520944,43.870942,44.47094,186100,44.489845,0.018905
4/23/2001,43.859848,44.489845,43.709846,44.489845,103900,44.785908,0.296063
4/24/2001,44.315907,44.885907,44.315907,44.785908,121900,44.722889,-0.063019
4/25/2001,44.722889,44.732891,43.842892,44.722889,97300,44.729218,0.006329
4/26/2001,44.719216,45.069214,44.239213,44.729218,104000,45.163837,0.434619
4/27/2001,44.71384,45.163837,44.503841,45.163837,117000,45.069363,-0.094474
4/30/2001,45.469357,45.489361,44.649357,45.069363,286900,45.176437,0.107074
5/1/2001,45.006439,45.346435,44.606438,45.176437,208700,45.415798,0.239361
5/2/2001,45.165798,45.545803,44.965802,45.415798,159800,45.189045,-0.226753
5/3/2001,45.299045,45.299045,44.699047,45.189045,110400,45.396881,0.207836
5/4/2001,45.066879,45.396881,44.886879,45.396881,169000,45.352821,-0.04406
5/7/2001,45.422821,45.602821,45.112823,45.352821,193100,45.220528,-0.132293
5/8/2001,45.180527,45.510529,45.130524,45.220528,84900,45.069363,-0.151165
5/9/2001,45.219357,45.439358,44.929364,45.069363,101900,45.170132,0.100769
5/10/2001,45.260136,45.490132,45.120137,45.170132,83700,44.880383,-0.289749
5/11/2001,45.380383,45.430386,44.76038,44.880383,83600,45.069363,0.18898
5/14/2001,44.51936,45.119358,44.51936,45.069363,71200,45.163837,0.094474
5/15/2001,45.21384,45.313838,44.813838,45.163837,132200,45.674076,0.510239
5/16/2001,44.854076,45.764072,44.714077,45.674076,253000,45.535473,-0.138603
5/17/2001,45.745472,46.045475,45.16547,45.535473,183600,45.352821,-0.182652
5/18/2001,45.402824,45.612823,45.152824,45.352821,140900,46.140179,0.787358
5/21/2001,44.890179,46.140179,44.890179,46.140179,201400,46.864552,0.724373
5/22/2001,45.564548,47.194553,44.814548,46.864552,227500,46.807884,-0.056668
5/23/2001,47.147888,47.237884,46.497886,46.807884,187700,46.946457,0.138573
5/24/2001,47.166458,47.56646,46.646461,46.946457,130100,47.192123,0.245666
5/25/2001,47.022125,47.472122,46.982124,47.192123,167700,47.248787,0.056664
5/29/2001,47.238785,47.438782,46.888787,47.248787,208000,47.716484,0.467697
5/30/2001,47.216484,48.316482,47.216484,47.716484,284600,47.748093,0.031609
5/31/2001,48.098092,48.488091,47.69809,47.748093,214600,48.158913,0.41082
6/1/2001,47.508919,48.158913,46.758919,48.158913,142100,48.658169,0.499256
6/4/2001,47.868168,48.968174,47.868168,48.658169,181200,48.854107,0.195938
