,Open,High,Low,Close,Volume,Next Day Close,Difference
1/27/2011,19.70323,20.65323,19.70323,20.20323,5809300,19.885071,-0.318159
1/28/2011,20.285071,20.285071,19.885071,19.885071,2611900,20.736151,0.85108
1/31/2011,19.646151,21.166151,19.416151,20.736151,2505300,20.481619,-0.254532
2/1/2011,21.18162,21.361618,20.231619,20.481619,2155300,20.640697,0.159078
2/2/2011,20.670696,21.020696,20.430696,20.640697,1173100,20.640697,0
2/3/2011,20.450696,20.770696,20.440696,20.640697,668300,20.744104,0.103407
2/4/2011,20.714103,21.764104,20.414104,20.744104,720200,20.513439,-0.230665
2/7/2011,20.773437,20.923439,20.363437,20.513439,1204800,20.704334,0.190895
2/8/2011,20.374334,20.734332,20.324333,20.704334,3632000,20.346403,-0.357931
2/9/2011,20.736402,20.966404,20.296404,20.346403,873200,20.20323,-0.143173
2/10/2011,20.30323,20.443229,19.80323,20.20323,1149600,20.060055,-0.143175
2/11/2011,20.860056,20.860056,19.950057,20.060055,2107900,20.179369,0.119314
2/14/2011,20.279367,20.279367,19.919369,20.179369,1122500,20.187325,0.007956
2/15/2011,20.127326,20.227326,19.867325,20.187325,887500,20.680475,0.49315
2/16/2011,19.990474,20.680475,19.990474,20.680475,853400,21.483831,0.803356
2/17/2011,20.35383,21.68383,20.35383,21.483831,1733100,22.0247,0.540869
2/18/2011,21.414699,22.174699,21.234699,22.0247,1360800,21.014545,-1.010155
2/22/2011,21.744545,22.084545,20.804544,21.014545,1109400,21.205441,0.190896
2/23/2011,20.695441,21.26544,20.51544,21.205441,1125400,20.640697,-0.564744
2/24/2011,21.150695,21.210696,20.630697,20.640697,496900,20.672522,0.031825
2/25/2011,20.722523,20.842522,20.462523,20.672522,556100,21.149757,0.477235
2/28/2011,20.669758,21.299757,20.519756,21.149757,872400,21.579277,0.42952
3/1/2011,20.449278,21.949278,20.369278,21.579277,1033500,21.412243,-0.167034
3/2/2011,21.542242,21.742243,21.232243,21.412243,419700,21.269075,-0.143168
3/3/2011,21.369075,21.469076,20.599075,21.269075,2173600,21.117943,-0.151132
3/4/2011,21.087944,21.607945,20.887944,21.117943,719100,21.475876,0.357933
3/7/2011,21.745876,22.315876,21.325876,21.475876,1476600,21.555414,0.079538
3/8/2011,21.455414,21.945414,21.355414,21.555414,921300,21.452011,-0.103403
3/9/2011,21.482012,21.662012,21.162012,21.452011,470800,20.696381,-0.75563
3/10/2011,21.14638,21.616382,20.546382,20.696381,1128300,20.680475,-0.015906
3/11/2011,20.490474,21.160475,20.490474,20.680475,706900,21.046354,0.365879
3/14/2011,20.376356,21.346355,20.356355,21.046354,786600,20.950907,-0.095447
3/15/2011,20.510907,21.190907,20.420906,20.950907,859600,20.704334,-0.246573
