,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,13.048635,13.736135,12.923635,13.611135,993800,13.829493,0.218358
1/3/2001,13.516993,14.016993,13.454493,13.829493,1480200,14.011456,0.181963
1/4/2001,13.823956,14.198956,13.573956,14.011456,2029700,13.902281,-0.109175
1/5/2001,14.027281,14.277281,13.777281,13.902281,1302500,14.557361,0.65508
1/8/2001,14.307361,14.682361,13.932361,14.557361,2111200,14.957689,0.400328
1/9/2001,14.332689,14.957689,14.270189,14.957689,2026700,15.030476,0.072787
1/10/2001,14.842976,15.155476,14.467976,15.030476,1429700,15.176055,0.145579
1/11/2001,14.926055,15.863555,14.863555,15.176055,1392700,15.358019,0.181964
1/12/2001,15.108019,15.483019,14.920519,15.358019,727500,15.358019,0
1/16/2001,15.233019,15.483019,15.170519,15.358019,1076400,15.430808,0.072789
1/17/2001,15.368308,15.743308,15.368308,15.430808,1125000,15.721954,0.291146
1/18/2001,15.284454,15.971954,15.221954,15.721954,1215000,15.794741,0.072787
1/19/2001,15.794741,15.919741,15.607241,15.794741,1129200,15.467199,-0.327542
1/22/2001,15.967199,16.029699,14.904699,15.467199,952300,15.576385,0.109186
1/23/2001,15.326385,15.763885,15.326385,15.576385,628400,15.430808,-0.145577
1/24/2001,15.430808,15.618308,15.118308,15.430808,1529100,15.758351,0.327543
1/25/2001,15.383351,16.008351,15.133351,15.758351,1544500,15.758351,0
1/26/2001,16.008351,16.008351,15.570851,15.758351,929400,15.553088,-0.205263
1/29/2001,15.693089,15.743089,15.483088,15.553088,813200,15.780184,0.227096
1/30/2001,15.480183,15.930184,15.440184,15.780184,750500,15.838412,0.058228
1/31/2001,15.738411,15.93841,15.538411,15.838412,784000,16.653622,0.81521
2/1/2001,15.353621,16.653622,15.253623,16.653622,1082900,16.280952,-0.37267
2/2/2001,16.720953,16.730953,16.070953,16.280952,783100,16.234371,-0.046581
2/5/2001,16.354372,16.704372,16.054373,16.234371,687400,16.234371,0
2/6/2001,15.984371,16.444372,15.964373,16.234371,1386600,16.147026,-0.087345
2/7/2001,16.367027,16.367027,15.837026,16.147026,1099900,16.345009,0.197983
2/8/2001,16.175009,16.495008,16.025009,16.345009,738000,15.93157,-0.413439
2/9/2001,16.321569,16.491569,15.621568,15.93157,548700,15.663725,-0.267845
2/12/2001,14.813724,15.763725,14.643724,15.663725,1638400,15.401693,-0.262032
2/13/2001,15.851692,15.851692,15.321693,15.401693,1376600,15.588027,0.186334
2/14/2001,15.318027,16.278026,15.318027,15.588027,1575900,15.55281,-0.035217
2/15/2001,15.37281,16.002811,15.05281,15.55281,1720500,15.32979,-0.22302
2/16/2001,15.949789,16.009788,15.009788,15.32979,1211700,15.482379,0.152589
2/20/2001,14.982379,15.60238,14.972381,15.482379,723300,15.118513,-0.363866
2/21/2001,15.738512,16.088513,15.108513,15.118513,885000,14.954177,-0.164336
