,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,5.636107,6.204956,5.606168,5.725925,2514100,5.592764,-0.133161
1/3/2001,5.7724,5.922097,5.383188,5.592764,2321500,5.563172,-0.029592
1/4/2001,5.533234,5.682931,5.368566,5.563172,2739400,5.696336,0.133164
1/5/2001,5.426881,5.935851,5.426881,5.696336,3081600,5.666743,-0.029593
1/8/2001,5.636803,5.846379,5.337409,5.666743,1790600,5.50399,-0.162753
1/9/2001,5.713566,5.743506,5.354293,5.50399,1734400,5.548377,0.044387
1/10/2001,5.458558,5.638195,5.458558,5.548377,1806900,5.533585,-0.014792
1/11/2001,5.533585,5.713222,5.533585,5.533585,1694300,5.459606,-0.073979
1/12/2001,5.549424,5.579363,5.369788,5.459606,1682900,5.430013,-0.029593
1/16/2001,5.519831,5.549771,5.250376,5.430013,2142600,5.34124,-0.088773
1/17/2001,5.580756,5.640635,5.221483,5.34124,2301500,5.267262,-0.073978
1/18/2001,5.446899,5.506777,5.237323,5.267262,1793300,5.282056,0.014794
1/19/2001,5.162298,5.341935,5.07248,5.282056,2144900,5.370831,0.088775
1/22/2001,5.191194,5.460649,5.131315,5.370831,1848000,5.444809,0.073978
1/23/2001,5.41487,5.474749,5.205294,5.444809,2282000,5.385624,-0.059185
1/24/2001,5.205988,5.445504,5.146109,5.385624,2108700,5.34124,-0.044384
1/25/2001,5.311301,5.490938,5.311301,5.34124,3593900,5.296852,-0.044388
1/26/2001,5.38667,5.44655,5.087277,5.296852,2851100,5.290933,-0.005919
1/29/2001,5.305304,5.40111,5.195127,5.290933,2184300,5.290933,0
1/30/2001,5.290933,5.334046,5.104111,5.290933,2382200,5.376157,0.085224
1/31/2001,5.395318,5.457592,5.256399,5.376157,2334400,5.23175,-0.144407
2/1/2001,5.471266,5.471266,5.179057,5.23175,4559500,5.352482,0.120732
2/2/2001,5.203982,5.414756,5.180031,5.352482,1920800,5.544238,0.191756
2/5/2001,5.223287,5.57777,5.223287,5.544238,2358000,5.591582,0.047344
2/6/2001,5.534097,5.596372,5.404759,5.591582,2057300,5.643661,0.052079
2/7/2001,5.543064,5.691564,5.480789,5.643661,1654500,5.702843,0.059182
2/8/2001,5.65494,5.798649,5.573505,5.702843,1981400,5.7786,0.075757
2/9/2001,5.433698,5.869616,5.433698,5.7786,2194400,5.764394,-0.014206
2/12/2001,5.678169,5.812297,5.591943,5.764394,2170100,5.728885,-0.035509
2/13/2001,5.685772,5.795949,5.570805,5.728885,1830300,5.724152,-0.004733
2/14/2001,5.652297,5.877442,5.618765,5.724152,1511100,5.709946,-0.014206
2/15/2001,5.738688,5.77701,5.604559,5.709946,2141700,5.683906,-0.02604
2/16/2001,6.014437,6.014437,5.655164,5.683906,2346300,5.709946,0.02604
2/20/2001,5.77701,5.896768,5.60935,5.709946,2532800,5.624725,-0.085221
2/21/2001,5.835499,5.907353,5.610354,5.624725,2302700,5.603419,-0.021306
2/22/2001,5.761499,5.871677,5.593839,5.603419,2143200,5.629456,0.026037
2/23/2001,5.734842,5.782746,5.437843,5.629456,1745900,5.738355,0.108899
2/26/2001,5.623387,5.886854,5.551533,5.738355,2914500,5.700476,-0.037879
2/27/2001,5.877717,5.944782,5.662153,5.700476,1559700,5.679172,-0.021304
2/28/2001,5.693543,5.765398,5.573785,5.679172,1838800,5.650764,-0.028408
3/1/2001,5.665134,5.856747,5.60286,5.650764,1815800,5.835414,0.18465
3/2/2001,5.524044,5.907269,5.524044,5.835414,2471800,5.951412,0.115998
3/5/2001,5.836445,5.951412,5.76459,5.951412,2440500,5.92774,-0.023672
3/6/2001,5.913369,6.028337,5.831934,5.92774,1725700,6.14095,0.21321
3/7/2001,5.954128,6.14095,5.954128,6.14095,2207100,6.380305,0.239355
3/8/2001,6.068935,6.432998,5.858161,6.380305,5029200,6.276341,-0.103964
3/9/2001,6.535018,6.535018,5.926649,6.276341,2312700,6.102268,-0.174073
3/12/2001,6.418429,6.418429,6.083107,6.102268,1966200,6.036991,-0.065277
3/13/2001,6.166329,6.266926,5.768734,6.036991,2476600,5.887093,-0.149898
3/14/2001,6.294269,6.294269,5.796077,5.887093,1986600,5.773463,-0.11363
3/15/2001,6.118365,6.118365,5.687237,5.773463,2589600,5.78797,0.014507
3/16/2001,5.649051,5.936469,5.649051,5.78797,2864400,6.00556,0.21759
3/19/2001,5.574433,6.053463,5.53611,6.00556,2702200,5.937868,-0.067692
3/20/2001,5.97619,6.191754,5.923497,5.937868,2347300,5.824233,-0.113635
3/21/2001,5.829024,5.996684,5.747588,5.824233,2512000,5.625983,-0.19825
3/22/2001,5.927773,5.927773,5.357726,5.625983,3329500,5.73478,0.108797
3/23/2001,5.461732,5.73478,5.318022,5.73478,1989100,5.838741,0.103961
3/26/2001,5.752516,5.963289,5.752516,5.838741,2719600,5.821816,-0.016925
3/27/2001,5.855348,6.023009,5.697268,5.821816,2644600,5.872589,0.050773
3/28/2001,5.853428,5.968395,5.738461,5.872589,2950700,5.792805,-0.079784
3/29/2001,5.85987,5.888611,5.720951,5.792805,2063700,5.983802,0.190997
3/30/2001,5.610159,6.036496,5.610159,5.983802,2662400,5.945118,-0.038684
