,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,2.549868,2.559789,2.268783,2.374603,429800,2.434267,0.059664
1/3/2001,2.252389,2.434267,2.252389,2.434267,498900,2.386537,-0.04773
1/4/2001,2.472516,2.53204,2.360082,2.386537,452900,2.356705,-0.029832
1/5/2001,2.502207,2.502207,2.158292,2.356705,382600,2.31494,-0.041765
1/8/2001,2.334781,2.42076,2.288485,2.31494,244000,2.308974,-0.005966
1/9/2001,2.35527,2.375111,2.282519,2.308974,417000,2.386537,0.077563
1/10/2001,2.201352,2.386537,2.201352,2.386537,824800,2.362671,-0.023866
1/11/2001,2.415581,2.521401,2.322989,2.362671,553900,2.344772,-0.017899
1/12/2001,2.410909,2.410909,2.291862,2.344772,242700,2.320906,-0.023866
1/16/2001,2.353974,2.387043,2.307678,2.320906,185200,2.320906,0
1/17/2001,2.34736,2.413498,2.307678,2.320906,717500,2.380569,0.059663
1/18/2001,2.261521,2.380569,2.221839,2.380569,352800,2.31494,-0.065629
1/19/2001,2.47367,2.47367,2.301713,2.31494,567200,2.410402,0.095462
1/22/2001,2.291355,2.410402,2.225217,2.410402,317700,2.398468,-0.011934
1/23/2001,2.319102,2.464605,2.305875,2.398468,165600,2.470065,0.071597
1/24/2001,2.245197,2.496519,2.245197,2.470065,358000,2.464098,-0.005967
1/25/2001,2.474019,2.477326,2.384733,2.464098,265400,2.505863,0.041765
1/26/2001,2.373588,2.585229,2.360361,2.505863,427900,2.529728,0.023865
1/29/2001,2.499966,2.529728,2.423907,2.529728,530400,2.560647,0.030919
1/30/2001,2.547419,2.573874,2.507736,2.560647,275900,2.491196,-0.069451
1/31/2001,2.65654,2.682995,2.484583,2.491196,408400,2.548568,0.057372
2/1/2001,2.508885,2.548568,2.455975,2.548568,131200,2.590844,0.042276
2/2/2001,2.508172,2.723119,2.508172,2.590844,307400,2.62104,0.030196
2/5/2001,2.551595,2.62104,2.46231,2.62104,481900,2.560647,-0.060393
2/6/2001,2.689615,2.689615,2.547419,2.560647,252200,2.596883,0.036236
2/7/2001,2.5572,2.596883,2.464607,2.596883,237000,2.554606,-0.042277
2/8/2001,2.633971,2.700109,2.554606,2.554606,202200,2.608961,0.054355
2/9/2001,2.503141,2.675098,2.489913,2.608961,275900,2.663315,0.054354
2/12/2001,2.517813,2.716225,2.517813,2.663315,309300,2.687472,0.024157
2/13/2001,2.528742,2.687472,2.515515,2.687472,274200,2.693511,0.006039
2/14/2001,2.640601,2.693511,2.614146,2.693511,211800,2.729746,0.036235
2/15/2001,2.673529,2.756201,2.610698,2.729746,1225500,2.663315,-0.066431
2/16/2001,2.769136,2.795591,2.650088,2.663315,279700,2.645196,-0.018119
2/20/2001,2.658423,2.724561,2.645196,2.645196,103900,2.578765,-0.066431
2/21/2001,2.724268,2.750723,2.486172,2.578765,264600,2.524412,-0.054353
2/22/2001,2.709598,2.709598,2.471503,2.524412,166500,2.500254,-0.024158
2/23/2001,2.553163,2.592846,2.341524,2.500254,476400,2.566686,0.066432
2/26/2001,2.407956,2.566686,2.407956,2.566686,178900,2.578765,0.012079
2/27/2001,2.486172,2.618448,2.486172,2.578765,114600,2.566686,-0.012079
2/28/2001,2.540231,2.659279,2.421184,2.566686,228000,2.584805,0.018119
3/1/2001,2.61126,2.61126,2.452529,2.584805,134100,2.608961,0.024156
3/2/2001,2.582506,2.635416,2.476686,2.608961,161900,2.608961,0
3/5/2001,2.569278,2.608961,2.476686,2.608961,114200,2.645196,0.036235
3/6/2001,2.592286,2.671651,2.512921,2.645196,203000,2.693511,0.048315
3/7/2001,2.534781,2.693511,2.534781,2.693511,167500,2.645196,-0.048315
3/8/2001,2.764243,2.777471,2.645196,2.645196,182700,2.608961,-0.036235
3/9/2001,2.661871,2.728008,2.595733,2.608961,86900,2.506293,-0.102668
3/12/2001,2.76423,2.76423,2.479838,2.506293,259100,2.53045,0.024157
3/13/2001,2.451085,2.570133,2.411402,2.53045,273400,2.451941,-0.078509
3/14/2001,2.587523,2.690037,2.425486,2.451941,324400,2.439862,-0.012079
3/15/2001,2.459704,2.598592,2.426635,2.439862,207900,2.506293,0.066431
3/16/2001,2.51952,2.51952,2.387245,2.506293,446200,2.512333,0.00604
3/19/2001,2.512333,2.525561,2.234556,2.512333,367500,2.488176,-0.024157
3/20/2001,2.527858,2.646906,2.488176,2.488176,175700,2.409666,-0.07851
3/21/2001,2.555168,2.555168,2.369983,2.409666,237500,2.355312,-0.054354
3/22/2001,2.47436,2.540497,2.143672,2.355312,287400,2.421744,0.066432
3/23/2001,2.315924,2.421744,2.279548,2.421744,405300,2.548568,0.126824
3/26/2001,2.284018,2.561795,2.284018,2.548568,198400,2.554606,0.006038
3/27/2001,2.505003,2.633971,2.329738,2.554606,366800,2.457979,-0.096627
3/28/2001,2.550572,2.577026,2.431524,2.457979,736000,2.451941,-0.006038
3/29/2001,2.465169,2.584216,2.451941,2.451941,378800,2.488176,0.036235
3/30/2001,2.422038,2.580768,2.395583,2.488176,484600,2.464018,-0.024158
4/2/2001,2.516929,2.583066,2.437563,2.464018,342300,2.409666,-0.054352
4/3/2001,2.528713,2.528713,2.356756,2.409666,245000,2.361351,-0.048315
4/4/2001,2.467172,2.506855,2.308442,2.361351,409500,2.421744,0.060393
4/5/2001,2.276241,2.434972,2.249786,2.421744,249600,2.294921,-0.126823
4/6/2001,2.321376,2.506561,2.083281,2.294921,951900,2.264964,-0.029957
