,Open,High,Low,Close,Volume,Next Day Close,Difference
10/23/2001,13.615052,14.505051,13.515052,14.115052,32584000,14.88802,0.772968
10/24/2001,13.83802,14.938021,13.73802,14.88802,5847500,14.75359,-0.13443
10/25/2001,14.803589,14.953589,14.453589,14.75359,2038800,14.451121,-0.302469
10/26/2001,14.901122,14.951121,14.351121,14.451121,3339100,14.249481,-0.20164
10/29/2001,15.04948,15.04948,14.04948,14.249481,1758700,14.814082,0.564601
10/30/2001,14.174081,15.024081,13.774081,14.814082,2225300,15.123266,0.309184
10/31/2001,15.023266,16.613266,14.573267,15.123266,5101800,14.75359,-0.369676
11/1/2001,15.433588,15.433588,14.50359,14.75359,2747400,14.908182,0.154592
11/2/2001,14.828182,14.978182,14.678183,14.908182,1183800,14.787195,-0.120987
11/5/2001,14.887195,14.987196,14.537195,14.787195,1144000,15.19048,0.403285
11/6/2001,14.51048,15.290481,14.44048,15.19048,695100,14.686367,-0.504113
11/7/2001,15.486367,15.486367,14.486367,14.686367,1002900,14.666205,-0.020162
11/8/2001,14.796206,14.846205,14.436205,14.666205,1642800,14.518332,-0.147873
11/9/2001,14.418332,14.688332,14.418332,14.518332,1601000,14.773755,0.255423
11/12/2001,14.403756,14.793755,14.103754,14.773755,1101400,14.686367,-0.087388
11/13/2001,14.836367,14.836367,14.586367,14.686367,687300,14.619159,-0.067208
11/14/2001,14.969159,14.969159,14.269159,14.619159,1964000,14.740146,0.120987
11/15/2001,14.460146,14.800146,14.410146,14.740146,867300,14.955232,0.215086
11/16/2001,14.705232,15.585231,14.685232,14.955232,1851600,15.008999,0.053767
11/19/2001,14.678999,15.418999,14.678999,15.008999,1231800,15.271137,0.262138
11/20/2001,14.801138,15.301138,14.801138,15.271137,1182300,15.371962,0.100825
11/21/2001,15.30196,15.401961,15.151961,15.371962,1016400,15.042614,-0.329348
11/23/2001,15.542614,15.542614,14.862616,15.042614,328800,15.008999,-0.033615
11/26/2001,14.778999,15.158999,14.658999,15.008999,2417500,15.056053,0.047054
11/27/2001,14.906053,15.256053,14.906053,15.056053,1536000,15.32491,0.268857
11/28/2001,15.454911,15.454911,15.004911,15.32491,871900,15.378678,0.053768
11/29/2001,15.298678,15.44868,14.998679,15.378678,523100,15.425734,0.047056
11/30/2001,15.375733,15.475733,15.175734,15.425734,2255100,15.425734,0
12/3/2001,15.455733,15.675734,14.725733,15.425734,1037600,15.425734,0
12/4/2001,15.425734,15.465733,15.125733,15.425734,578700,15.593768,0.168034
