,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,42.075016,42.637516,38.575016,38.825016,1115000,40.050816,1.2258
1/3/2001,38.519566,40.332066,35.519566,40.050816,2008400,37.499176,-2.55164
1/4/2001,40.655426,40.655426,37.155426,37.499176,1134400,34.522221,-2.976955
1/5/2001,38.240971,38.303471,33.147221,34.522221,1809800,35.597935,1.075714
1/8/2001,34.004185,36.316685,33.472935,35.597935,1222400,34.947517,-0.650418
1/9/2001,36.791267,36.791267,33.978767,34.947517,1249600,36.473495,1.525978
1/10/2001,34.129745,37.098495,34.129745,36.473495,1212600,38.249653,1.776158
1/11/2001,36.437153,38.437153,35.405903,38.249653,807400,36.69865,-1.551003
1/12/2001,38.76115,38.94865,36.6049,36.69865,624200,36.398449,-0.300201
1/16/2001,36.679699,37.148449,33.742199,36.398449,1093000,37.1884,0.789951
1/17/2001,36.34465,38.84465,36.34465,37.1884,1310200,37.665157,0.476757
1/18/2001,37.071407,37.852657,36.290157,37.665157,713400,35.130722,-2.534435
1/19/2001,38.349472,38.349472,34.755722,35.130722,1033800,35.908623,0.777901
1/22/2001,35.502373,36.158623,35.189873,35.908623,876200,36.360317,0.451694
1/23/2001,35.922817,36.766567,35.610317,36.360317,1048600,34.528503,-1.831814
1/24/2001,36.716003,37.403503,34.528503,34.528503,1331200,35.306389,0.777886
1/25/2001,36.337639,36.587639,34.087639,35.306389,2363200,36.636333,1.329944
1/26/2001,35.011333,37.480083,34.230083,36.636333,1163800,36.616257,-0.020076
1/29/2001,36.391259,37.12626,36.071259,36.616257,917400,37.057892,0.441635
1/30/2001,37.40789,38.027889,36.437889,37.057892,947400,39.141678,2.083786
1/31/2001,36.84668,39.34668,36.59668,39.141678,1382600,38.166012,-0.975666
2/1/2001,39.286015,39.736011,38.166012,38.166012,1465000,36.680504,-1.485508
2/2/2001,38.560505,38.560505,36.500504,36.680504,864000,36.584133,-0.096371
2/5/2001,37.424134,37.474133,35.904133,36.584133,1303800,38.262398,1.678265
2/6/2001,36.572395,39.362396,36.562397,38.262398,1087400,36.728668,-1.53373
2/7/2001,37.988666,37.993667,36.118667,36.728668,726800,36.279015,-0.449653
2/8/2001,36.839017,37.844014,36.119015,36.279015,651200,35.608521,-0.670494
2/9/2001,36.44352,36.713521,35.06852,35.608521,576200,36.230824,0.622303
2/12/2001,35.455826,36.685826,35.425824,36.230824,507400,35.343529,-0.887295
2/13/2001,36.32853,37.673531,35.338528,35.343529,469400,36.728668,1.385139
2/14/2001,34.688667,36.728668,34.053665,36.728668,992600,36.696552,-0.032116
2/15/2001,37.496551,37.86655,36.246551,36.696552,796600,35.283306,-1.413246
2/16/2001,35.993309,35.993309,33.543308,35.283306,1040000,32.316273,-2.967033
2/20/2001,35.071274,35.291275,32.071274,32.316273,1258000,31.236248,-1.080025
2/21/2001,32.111248,33.761245,30.836246,31.236248,1211800,29.750715,-1.485533
2/22/2001,30.975718,31.450716,29.150717,29.750715,2968200,30.264633,0.513918
2/23/2001,29.324634,30.574634,28.374633,30.264633,1250800,31.593565,1.328932
2/26/2001,30.058565,31.593565,30.048563,31.593565,1818000,30.69422,-0.899345
2/27/2001,31.814223,32.269221,30.474223,30.69422,1201800,29.397388,-1.296832
2/28/2001,31.287387,31.412387,28.307387,29.397388,1553200,28.903557,-0.493831
3/1/2001,28.783558,29.14856,27.173557,28.903557,1310800,29.088249,0.184692
3/2/2001,28.238251,29.848252,28.16325,29.088249,895000,29.148478,0.060229
3/5/2001,29.17348,29.618479,28.498481,29.148478,492000,30.172274,1.023796
3/6/2001,30.097273,30.467272,29.897272,30.172274,1012600,28.883505,-1.288769
3/7/2001,29.913504,30.033503,28.538504,28.883505,1050800,28.140726,-0.742779
3/8/2001,29.340727,29.565729,27.775728,28.140726,1048200,26.703369,-1.437357
3/9/2001,28.198368,28.198368,26.22337,26.703369,1308600,24.57144,-2.131929
3/12/2001,26.72144,26.896439,24.396439,24.57144,1454800,25.454721,0.883281
3/13/2001,24.77972,25.544721,24.64972,25.454721,1299800,24.993002,-0.461719
3/14/2001,25.068003,25.738003,24.768002,24.993002,1617000,24.651745,-0.341257
3/15/2001,24.951744,25.301744,24.251743,24.651745,1760600,23.949118,-0.702627
3/16/2001,24.949118,25.224117,23.649117,23.949118,1647800,23.748384,-0.200734
3/19/2001,24.003383,24.398383,22.973382,23.748384,1438200,21.901505,-1.846879
3/20/2001,24.201506,24.201506,21.621506,21.901505,1791200,20.616726,-1.284779
3/21/2001,22.816727,22.916727,19.841727,20.616726,2041400,17.92671,-2.690016
3/22/2001,18.601709,19.351709,17.101709,17.92671,4765400,20.074717,2.148007
3/23/2001,17.844717,20.249716,17.844717,20.074717,2770800,21.042305,0.967588
3/26/2001,21.087305,21.587305,20.787306,21.042305,2410800,20.897766,-0.144539
3/27/2001,21.172765,21.247766,20.482767,20.897766,1874600,20.456129,-0.441637
3/28/2001,20.881129,20.93113,19.981129,20.456129,1343000,19.837828,-0.618301
3/29/2001,20.547829,20.932827,19.372828,19.837828,1219200,21.058365,1.220537
3/30/2001,19.538365,21.328366,18.933365,21.058365,2062400,19.57284,-1.485525
4/2/2001,21.35784,21.542839,19.32284,19.57284,843400,18.898327,-0.674513
4/3/2001,19.513327,19.653328,18.758327,18.898327,895200,17.163876,-1.734451
4/4/2001,19.238877,19.913876,17.063876,17.163876,2695600,19.705332,2.541456
4/5/2001,17.640331,20.040331,17.21533,19.705332,1889800,19.372089,-0.333243
4/6/2001,19.19709,19.592088,18.252088,19.372089,1445600,19.472467,0.100378
