,Open,High,Low,Close,Volume,Next Day Close,Differnece
3/17/2008,30.386004,33.036006,29.626006,29.776003,1988000,29.902618,0.126615
3/18/2008,30.152618,32.30262,28.05262,29.902618,8067600,30.204037,0.301419
3/19/2008,29.704037,31.104039,27.004041,30.204037,3007700,29.631317,-0.57272
3/20/2008,30.681316,30.681316,29.351314,29.631317,3007700,30.746641,1.115324
3/24/2008,29.556642,30.746641,29.556642,30.746641,1437000,31.198793,0.452152
3/25/2008,30.848795,31.198793,30.048791,31.198793,1100800,30.324627,-0.874166
3/26/2008,31.724629,32.494629,30.324627,30.324627,2023200,30.553698,0.229071
3/27/2008,30.823699,31.903697,29.873698,30.553698,8653300,30.782812,0.229114
3/28/2008,30.672812,32.222811,30.282812,30.782812,9961200,30.493427,-0.289385
3/31/2008,32.313427,34.613426,29.913425,30.493427,19408900,30.493427,0
4/1/2008,31.013423,32.103424,28.923423,30.493427,23322500,30.873249,0.379822
4/2/2008,30.82325,31.73325,29.813252,30.873249,12944700,30.776783,-0.096466
4/3/2008,30.726784,31.226784,30.126786,30.776783,12439100,30.969706,0.192923
4/4/2008,31.079707,31.079707,30.399706,30.969706,6651000,30.547689,-0.422017
4/7/2008,31.477689,31.477689,30.377691,30.547689,7099300,30.505486,-0.042203
4/8/2008,30.315488,30.915486,30.115487,30.505486,8283300,29.769981,-0.735505
4/9/2008,30.88998,30.97998,29.539982,29.769981,8916200,29.335911,-0.43407
4/10/2008,30.165913,30.585911,29.175911,29.335911,14321900,29.136951,-0.19896
4/11/2008,29.296951,29.696948,28.886951,29.136951,11400700,28.938,-0.198951
4/14/2008,29.237999,29.287998,28.368,28.938,11532500,29.058588,0.120588
4/15/2008,28.638586,29.208585,28.638586,29.058588,9603400,29.818205,0.759617
4/16/2008,28.768206,29.968207,28.708204,29.818205,14837600,30.053328,0.235123
4/17/2008,29.923331,30.20333,29.623328,30.053328,6660700,30.119637,0.066309
4/18/2008,30.64964,31.099637,29.539639,30.119637,9630700,30.523573,0.403936
4/21/2008,30.093573,30.783571,29.023573,30.523573,6528300,30.185963,-0.33761
4/22/2008,30.715961,31.015965,30.035961,30.185963,5504900,31.349514,1.163551
4/23/2008,30.349514,31.689514,30.249516,31.349514,13532300,31.349514,0
4/24/2008,31.349514,31.779514,30.849514,31.349514,5847500,30.927496,-0.422018
4/25/2008,31.767496,31.807497,30.377497,30.927496,11399700,30.788837,-0.138659
4/28/2008,30.658836,31.018836,30.468837,30.788837,8382500,31.355539,0.566702
4/29/2008,30.78554,31.545542,29.605539,31.355539,12325300,30.764717,-0.590822
4/30/2008,31.434719,31.744716,30.644718,30.764717,8733100,30.595913,-0.168804
5/1/2008,30.675915,31.015911,30.465912,30.595913,7120800,30.758688,0.162775
5/2/2008,30.63869,30.838686,30.13869,30.758688,9291100,30.632084,-0.126604
5/5/2008,30.692082,31.452084,30.452084,30.632084,8398500,31.277172,0.645088
5/6/2008,30.297173,31.347172,30.247169,31.277172,7588300,31.162613,-0.114559
5/7/2008,31.442615,31.672615,30.782615,31.162613,6391400,31.470085,0.307472
5/8/2008,30.920086,31.480083,30.770084,31.470085,6669700,31.247019,-0.223066
