,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,21.147287,21.272287,20.084787,20.147287,166700,18.925419,-1.221868
1/3/2001,21.737919,23.175419,18.862919,18.925419,381200,17.486322,-1.439097
1/4/2001,20.236322,20.236322,16.611322,17.486322,519000,17.866465,0.380143
1/5/2001,16.991465,18.241465,16.991465,17.866465,435000,18.273756,0.407291
1/8/2001,17.211256,18.523756,17.211256,18.273756,368000,18.083681,-0.190075
1/9/2001,18.333681,18.521181,17.521181,18.083681,228300,17.947929,-0.135752
1/10/2001,18.385429,19.135429,17.572929,17.947929,282900,17.594936,-0.352993
1/11/2001,18.407436,18.407436,16.782436,17.594936,543200,17.622082,0.027146
1/12/2001,17.559582,18.434582,17.059582,17.622082,540100,17.187649,-0.434433
1/16/2001,18.062649,18.125149,16.687649,17.187649,506700,17.350569,0.16292
1/17/2001,16.850569,17.663069,16.725569,17.350569,271800,17.812155,0.461586
1/18/2001,16.562155,17.999655,16.562155,17.812155,353000,17.812155,0
1/19/2001,17.687155,18.499655,16.562155,17.812155,181000,18.192297,0.380142
1/22/2001,17.442297,18.817297,17.379797,18.192297,274400,18.708202,0.515905
1/23/2001,17.645702,19.020702,17.645702,18.708202,270600,18.735344,0.027142
1/24/2001,18.735344,19.547844,18.610344,18.735344,217400,19.088333,0.352989
1/25/2001,18.400833,19.525833,18.400833,19.088333,198900,19.142639,0.054306
1/26/2001,19.205139,19.548889,17.705139,19.142639,201800,19.154577,0.011938
1/29/2001,19.124578,19.794577,18.984575,19.154577,216000,18.99465,-0.159927
1/30/2001,19.24465,19.364653,18.794654,18.99465,358100,18.915781,-0.078869
1/31/2001,18.995783,18.995783,18.255781,18.915781,223800,18.403128,-0.512653
2/1/2001,18.403128,18.703127,18.153128,18.403128,416700,18.42065,0.017522
2/2/2001,18.480647,19.150649,18.35065,18.42065,351500,18.863207,0.442557
2/5/2001,18.013209,19.55321,18.013209,18.863207,239600,19.086672,0.223465
2/6/2001,18.126669,19.436671,17.80667,19.086672,473700,19.625622,0.53895
2/7/2001,18.395622,19.905621,18.395622,19.625622,424800,19.410917,-0.214705
2/8/2001,19.860918,20.01092,19.340918,19.410917,357800,19.857853,0.446936
2/9/2001,18.757854,19.907852,18.757854,19.857853,244400,19.516071,-0.341782
2/12/2001,20.426071,20.97607,19.076068,19.516071,283800,19.542374,0.026303
2/13/2001,19.642377,20.242375,18.942376,19.542374,703200,19.406525,-0.135849
2/14/2001,19.716522,19.986523,19.016526,19.406525,194200,19.362719,-0.043806
2/15/2001,19.472719,19.51272,19.052721,19.362719,137500,19.941097,0.578378
2/16/2001,18.731098,20.011101,18.731098,19.941097,423100,20.155802,0.214705
2/20/2001,19.675802,20.805804,19.375803,20.155802,292200,20.60273,0.446928
2/21/2001,19.58273,21.052731,19.58273,20.60273,518400,20.694752,0.092022
2/22/2001,20.464752,21.214752,20.204754,20.694752,291600,20.77363,0.078878
2/23/2001,20.763632,21.323629,19.673631,20.77363,506100,20.243441,-0.530189
2/26/2001,21.393438,21.79344,19.943442,20.243441,647000,20.352982,0.109541
2/27/2001,20.252979,20.652981,19.902981,20.352982,206800,20.352982,0
2/28/2001,20.372982,20.402981,19.492981,20.352982,233800,20.151421,-0.201561
3/1/2001,20.581417,20.581417,19.761417,20.151421,318800,20.278498,0.127077
3/2/2001,19.978499,20.398501,19.478499,20.278498,320100,20.111994,-0.166504
3/5/2001,20.611994,20.851991,19.761991,20.111994,174100,20.177706,0.065712
3/6/2001,20.277709,20.527709,19.977705,20.177706,237800,20.221539,0.043833
3/7/2001,20.071537,20.871536,19.691536,20.221539,318300,20.396799,0.17526
3/8/2001,19.996802,20.646799,19.946798,20.396799,325100,20.361742,-0.035057
3/9/2001,20.591742,20.69174,19.871741,20.361742,145100,20.274118,-0.087624
3/12/2001,20.554117,20.774118,20.274118,20.274118,263300,19.761456,-0.512662
3/13/2001,20.961457,21.011456,19.661458,19.761456,267100,19.310133,-0.451323
3/14/2001,20.340131,20.340131,19.140135,19.310133,223700,19.498549,0.188416
3/15/2001,18.998549,19.758547,18.69855,19.498549,313800,19.235645,-0.262904
3/16/2001,19.135642,20.025642,19.135642,19.235645,344700,19.086672,-0.148973
3/19/2001,19.526671,19.706671,19.006671,19.086672,237800,19.1042,0.017528
3/20/2001,18.8542,19.6042,18.404204,19.1042,281300,18.972746,-0.131454
3/21/2001,19.122748,20.472746,18.872748,18.972746,322400,18.153372,-0.819374
3/22/2001,20.023371,20.083373,17.223372,18.153372,373500,18.000011,-0.153361
3/23/2001,18.220008,18.28001,17.450008,18.000011,391700,18.582775,0.582764
3/26/2001,17.472774,18.872776,17.472774,18.582775,321100,18.679174,0.096399
3/27/2001,18.699175,19.569173,18.399171,18.679174,256300,19.415295,0.736121
3/28/2001,18.405293,19.625294,18.305295,19.415295,346500,19.818419,0.403124
3/29/2001,18.688417,19.838419,18.28842,19.818419,339500,20.098843,0.280424
3/30/2001,19.468846,20.778843,19.468846,20.098843,266700,20.471289,0.372446
4/2/2001,19.65129,20.511286,19.071288,20.471289,406700,20.821827,0.350538
4/3/2001,20.011826,20.991826,19.101826,20.821827,558600,20.694752,-0.127075
4/4/2001,20.97475,21.464752,20.024753,20.694752,402000,20.550165,-0.144587
4/5/2001,20.900163,20.950162,19.570161,20.550165,403800,19.980541,-0.569624
4/6/2001,21.180542,22.080544,19.580544,19.980541,571100,20.67284,0.692299
4/9/2001,19.24284,21.06284,19.24284,20.67284,452900,21.093489,0.420649
