,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,7.596143,7.689893,6.814893,7.314893,137100,7.591972,0.277079
1/3/2001,7.154472,7.654472,7.154472,7.591972,247600,7.259475,-0.332497
1/4/2001,7.321975,7.634475,7.134475,7.259475,265100,7.398015,0.13854
1/5/2001,7.179265,7.491765,6.429265,7.398015,209500,7.536558,0.138543
1/8/2001,7.224058,7.599058,6.911558,7.536558,154300,7.591972,0.055414
1/9/2001,7.560722,7.591972,7.279472,7.591972,243700,8.173838,0.581866
1/10/2001,7.501963,8.205088,7.361338,8.173838,273200,8.700292,0.526454
1/11/2001,8.200292,9.262792,8.137792,8.700292,930500,8.506331,-0.193961
1/12/2001,8.412581,8.912581,8.350081,8.506331,445100,8.83883,0.332499
1/16/2001,8.62008,8.83883,8.18258,8.83883,516900,8.118422,-0.720408
1/17/2001,8.899672,8.899672,8.087172,8.118422,161700,8.035297,-0.083125
1/18/2001,8.066547,8.160297,7.847797,8.035297,137900,7.536558,-0.498739
1/19/2001,7.786558,8.036558,7.536558,7.536558,264800,7.924466,0.387908
1/22/2001,7.611966,8.111966,7.549466,7.924466,248000,7.591972,-0.332494
1/23/2001,7.888847,7.904472,7.091972,7.591972,513100,7.481141,-0.110831
1/24/2001,7.606141,7.856141,7.481141,7.481141,198000,7.425725,-0.055416
1/25/2001,7.613225,7.613225,7.425725,7.425725,280600,7.979883,0.554158
1/26/2001,7.354883,8.042383,7.354883,7.979883,519400,8.063006,0.083123
1/29/2001,7.969256,8.281756,7.844256,8.063006,598300,8.423212,0.360206
1/30/2001,7.970087,8.454462,7.923212,8.423212,289100,8.866537,0.443325
1/31/2001,8.194662,8.866537,8.179037,8.866537,564200,8.450919,-0.415618
2/1/2001,8.544669,8.669669,8.419669,8.450919,140400,8.256961,-0.193958
2/2/2001,8.444461,8.819461,8.256961,8.256961,149400,8.644871,0.38791
2/5/2001,8.144871,8.769871,8.144871,8.644871,217000,8.811121,0.16625
2/6/2001,8.498621,8.936121,8.498621,8.811121,221900,8.811121,0
2/7/2001,8.623621,8.998621,8.592371,8.811121,424100,8.644871,-0.16625
2/8/2001,8.769871,9.019871,8.644871,8.644871,330600,8.700292,0.055421
2/9/2001,8.669042,8.731542,8.637792,8.700292,921300,8.755705,0.055413
2/12/2001,8.661955,8.89633,8.630705,8.755705,365300,8.534044,-0.221661
2/13/2001,8.815294,8.909044,8.534044,8.534044,195400,8.866537,0.332493
2/14/2001,8.429037,8.866537,8.241537,8.866537,244200,9.143616,0.277079
2/15/2001,8.706116,9.143616,8.643616,9.143616,406500,8.852681,-0.290935
2/16/2001,8.993306,9.118306,8.805806,8.852681,122600,8.811121,-0.04156
2/20/2001,8.936121,9.061121,8.811121,8.811121,80000,9.032789,0.221668
2/21/2001,8.751539,9.032789,8.720289,9.032789,142400,9.032789,0
2/22/2001,8.845289,9.032789,8.720289,9.032789,252800,8.866537,-0.166252
2/23/2001,8.929037,8.929037,8.616537,8.866537,393900,8.921952,0.055415
2/26/2001,8.984452,8.984452,8.796952,8.921952,222000,8.921952,0
2/27/2001,8.875077,9.046952,8.859452,8.921952,106400,8.977364,0.055412
2/28/2001,8.914864,8.977364,8.852364,8.977364,220800,8.866537,-0.110827
3/1/2001,8.929037,8.991537,8.804037,8.866537,255300,8.866537,0
3/2/2001,8.866537,8.991537,8.804037,8.866537,181900,8.811121,-0.055416
3/5/2001,8.873621,9.123621,8.811121,8.811121,620800,8.83883,0.027709
3/6/2001,8.979455,9.05758,8.65133,8.83883,179900,8.534044,-0.304786
3/7/2001,8.815294,8.909044,8.409044,8.534044,138400,8.478628,-0.055416
3/8/2001,8.603628,8.634878,8.416128,8.478628,236100,8.506331,0.027703
3/9/2001,8.381331,8.662581,8.350081,8.506331,120000,8.367796,-0.138535
3/12/2001,8.367796,8.680296,8.367796,8.367796,199200,9.032789,0.664993
3/13/2001,8.282789,9.032789,8.282789,9.032789,295300,8.977364,-0.055425
3/14/2001,8.727364,9.227364,8.664864,8.977364,422300,8.83883,-0.138534
3/15/2001,8.90133,8.99508,8.74508,8.83883,98500,8.811121,-0.027709
3/16/2001,8.873621,8.936121,8.748621,8.811121,295600,8.921952,0.110831
3/19/2001,8.921952,8.984452,8.796952,8.921952,293800,8.31238,-0.609572
3/20/2001,8.953005,8.99988,8.31238,8.31238,170200,8.367796,0.055416
3/21/2001,8.649046,8.805296,8.367796,8.367796,272500,8.866537,0.498741
3/22/2001,8.304037,8.929037,8.304037,8.866537,131400,8.83883,-0.027707
3/23/2001,8.87008,8.93258,8.62008,8.83883,82400,8.700292,-0.138538
3/26/2001,8.669042,8.950292,8.669042,8.700292,104700,8.921952,0.22166
3/27/2001,8.671952,8.921952,8.609452,8.921952,104300,8.534044,-0.387908
3/28/2001,8.737169,8.971544,8.502794,8.534044,112700,8.617166,0.083122
3/29/2001,8.492166,8.898416,8.460916,8.617166,146500,8.755705,0.138539
3/30/2001,8.693205,9.193205,8.568205,8.755705,252700,8.83883,0.083125
4/2/2001,8.80758,9.62008,8.55758,8.83883,562900,8.977364,0.138534
4/3/2001,8.774239,8.977364,8.539864,8.977364,183100,9.032789,0.055425
4/4/2001,8.751539,9.345289,8.720289,9.032789,156900,9.309865,0.277076
4/5/2001,8.997365,9.497365,8.997365,9.309865,455400,8.921952,-0.387913
4/6/2001,8.937577,9.296952,8.921952,8.921952,504600,9.070468,0.148516
4/9/2001,8.940468,9.090468,8.870468,9.070468,240300,9.2212,0.150732
4/10/2001,9.0912,9.2612,9.0112,9.2212,537100,9.097069,-0.124131
4/11/2001,9.257069,9.337069,9.027069,9.097069,478000,9.159134,0.062065
4/12/2001,9.069134,9.209134,9.029134,9.159134,976700,9.159134,0
4/16/2001,9.199134,9.219134,9.099134,9.159134,510500,9.230062,0.070928
4/17/2001,9.100062,9.230062,9.040062,9.230062,484700,9.566995,0.336933
4/18/2001,9.216995,10.716995,9.216995,9.566995,599800,9.930517,0.363522
4/19/2001,9.460517,10.070517,9.460517,9.930517,156600,10.072388,0.141871
4/20/2001,9.752388,10.212388,9.752388,10.072388,202200,10.001458,-0.07093
4/23/2001,9.831458,10.051458,9.621458,10.001458,195100,10.107854,0.106396
4/24/2001,9.867854,10.117854,9.757854,10.107854,205400,10.630977,0.523123
4/25/2001,9.840977,10.740977,9.840977,10.630977,855800,10.613248,-0.017729
4/26/2001,10.643248,10.643248,10.493248,10.613248,485300,10.161052,-0.452196
4/27/2001,10.661052,10.701052,10.041052,10.161052,506500,10.586646,0.425594
4/30/2001,10.166646,10.596646,10.096646,10.586646,1117200,10.737373,0.150727
5/1/2001,10.587373,11.037373,10.327373,10.737373,328600,10.639843,-0.09753
5/2/2001,10.739843,10.759843,10.339843,10.639843,765700,10.542315,-0.097528
5/3/2001,10.642315,10.652315,10.312315,10.542315,492700,10.595511,0.053196
5/4/2001,10.285511,10.625511,10.275511,10.595511,376100,10.781713,0.186202
5/7/2001,10.611713,10.831713,10.601713,10.781713,584200,11.180701,0.398988
5/8/2001,10.570701,11.320701,10.570701,11.180701,501900,11.304833,0.124132
5/9/2001,11.084833,11.314833,10.984833,11.304833,553000,10.93244,-0.372393
5/10/2001,11.30244,11.35244,10.93244,10.93244,157300,11.109771,0.177331
5/11/2001,11.059771,11.329771,11.019771,11.109771,349100,10.967908,-0.141863
5/14/2001,10.927908,11.147908,10.927908,10.967908,363800,10.905843,-0.062065
5/15/2001,11.095843,11.095843,10.735843,10.905843,731600,11.056571,0.150728
5/16/2001,10.786571,11.086571,10.786571,11.056571,728700,11.499898,0.443327
5/17/2001,10.899898,11.529898,10.899898,11.499898,744900,11.482169,-0.017729
5/18/2001,11.372169,11.502169,11.182169,11.482169,465600,11.375768,-0.106401
5/21/2001,11.535768,11.545768,11.295768,11.375768,550700,11.411235,0.035467
5/22/2001,11.381235,11.481235,11.251235,11.411235,197600,11.411235,0
5/23/2001,11.391235,11.541235,11.321235,11.411235,521500,11.721565,0.31033
5/24/2001,11.351565,11.951565,11.351565,11.721565,883700,11.686095,-0.03547
5/25/2001,11.726095,11.866095,11.676095,11.686095,479000,12.102825,0.41673
5/29/2001,11.602825,12.162825,11.572825,12.102825,348700,12.156027,0.053202
5/30/2001,12.096027,12.306027,11.886027,12.156027,363300,12.351084,0.195057
5/31/2001,12.211084,12.421084,12.131084,12.351084,940100,12.156027,-0.195057
6/1/2001,12.416027,12.506027,11.726027,12.156027,740600,12.271292,0.115265
6/4/2001,12.241292,12.381292,12.011292,12.271292,506900,12.324488,0.053196
6/5/2001,12.184488,12.404488,12.184488,12.324488,600600,12.289023,-0.035465
6/6/2001,12.329023,12.429023,12.279023,12.289023,519300,12.324488,0.035465
6/7/2001,12.324488,12.344488,12.034488,12.324488,203000,13.051542,0.727054
6/8/2001,12.231542,13.051542,12.201542,13.051542,735400,13.033813,-0.017729
6/11/2001,13.153813,13.333813,12.733813,13.033813,657400,13.33527,0.301457
6/12/2001,12.94527,13.33527,12.93527,13.33527,695700,13.601267,0.265997
6/13/2001,13.301267,13.641267,13.171267,13.601267,658400,13.432805,-0.168462
6/14/2001,13.482805,13.782805,13.342805,13.432805,617700,13.601267,0.168462
6/15/2001,13.371267,14.061267,13.371267,13.601267,2964900,13.601267,0
6/18/2001,13.761267,13.931267,13.541267,13.601267,926500,13.503735,-0.097532
6/19/2001,13.773735,13.773735,13.373735,13.503735,593200,13.707672,0.203937
6/20/2001,13.307672,13.797672,13.247672,13.707672,1297600,13.911596,0.203924
6/21/2001,13.721596,14.161596,13.631596,13.911596,1608300,14.18646,0.274864
6/22/2001,13.87646,14.386461,13.64646,14.18646,2332600,14.31059,0.12413
6/25/2001,14.130591,14.670591,14.120591,14.31059,992100,14.18646,-0.12413
6/26/2001,14.20646,14.636461,14.01646,14.18646,837300,14.177593,-0.008867
6/27/2001,14.167593,14.347593,14.087593,14.177593,1654000,14.319459,0.141866
6/28/2001,14.189459,14.36946,13.929459,14.319459,2488900,14.798249,0.47879
6/29/2001,14.298249,14.908247,13.868248,14.798249,2168600,14.425856,-0.372393
7/2/2001,14.735856,14.755856,14.155856,14.425856,837100,14.665255,0.239399
7/3/2001,15.015253,15.025254,14.585253,14.665255,322000,13.645599,-1.019656
7/5/2001,14.855599,14.855599,13.435599,13.645599,636400,13.672201,0.026602
7/6/2001,13.342201,14.152201,12.752201,13.672201,691400,13.938199,0.265998
7/9/2001,13.478199,14.3282,13.368199,13.938199,566200,14.106661,0.168462
7/10/2001,14.096661,14.396662,14.046661,14.106661,643200,14.044596,-0.062065
7/11/2001,14.144596,14.254595,13.804596,14.044596,460200,13.893866,-0.15073
7/12/2001,14.203866,14.213866,13.523866,13.893866,327600,14.088927,0.195061
7/13/2001,13.738927,14.178927,13.738927,14.088927,365900,13.938199,-0.150728
7/16/2001,13.988199,13.988199,13.728199,13.938199,381200,14.18646,0.248261
7/17/2001,13.78646,14.25646,13.76646,14.18646,1342800,14.009131,-0.177329
7/18/2001,14.159131,14.209131,13.879131,14.009131,392200,14.097795,0.088664
7/19/2001,14.137795,14.197795,13.207795,14.097795,548600,13.698802,-0.398993
7/20/2001,14.158802,14.268802,13.258802,13.698802,272200,14.053464,0.354662
7/23/2001,13.993464,14.093464,13.423464,14.053464,736600,13.477133,-0.576331
7/24/2001,14.157133,14.157133,13.287133,13.477133,297500,13.849533,0.3724
7/25/2001,13.329533,13.869533,13.239533,13.849533,357900,13.884997,0.035464
7/26/2001,13.674997,14.074997,13.574997,13.884997,343900,13.778602,-0.106395
7/27/2001,13.728602,13.988602,13.508602,13.778602,205300,13.920466,0.141864
7/30/2001,13.570466,14.070466,13.520466,13.920466,255000,14.691852,0.771386
7/31/2001,13.821852,15.291852,13.771852,14.691852,1458700,14.878048,0.186196
8/1/2001,14.908046,14.998047,14.598047,14.878048,806600,14.363792,-0.514256
8/2/2001,14.953792,15.023792,14.263791,14.363792,410900,15.7913,1.427508
8/3/2001,14.551301,16.1113,14.551301,15.7913,4928100,15.809037,0.017737
8/6/2001,15.459037,16.179038,15.429038,15.809037,2975200,15.871102,0.062065
8/7/2001,15.791102,16.131102,15.621102,15.871102,1136400,15.649439,-0.221663
8/8/2001,15.94944,15.979439,15.249439,15.649439,1324300,15.516437,-0.133002
8/9/2001,15.226436,15.596437,14.866437,15.516437,628700,15.667167,0.15073
8/10/2001,15.417167,15.897167,15.257167,15.667167,1050100,15.649439,-0.017728
8/13/2001,15.60944,15.819439,15.19944,15.649439,587900,15.578503,-0.070936
8/14/2001,15.668503,15.818502,15.388502,15.578503,561400,15.073116,-0.505387
8/15/2001,15.513117,15.673116,14.623115,15.073116,979800,15.392317,0.319201
8/16/2001,14.202316,15.432316,14.202316,15.392317,1101400,14.913509,-0.478808
8/17/2001,15.003509,15.273509,14.693509,14.913509,414800,15.596241,0.682732
8/20/2001,14.986241,15.706242,14.63624,15.596241,692900,15.640567,0.044326
8/21/2001,15.730568,16.230568,15.410568,15.640567,1023600,16.2169,0.576333
8/22/2001,15.936899,16.2169,15.5369,16.2169,922000,15.6317,-0.5852
