,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,19.166464,19.353964,18.853964,19.041464,96500,19.518824,0.47736
1/3/2001,18.831324,19.518824,18.456324,19.518824,325700,21.00396,1.485136
1/4/2001,19.25396,21.00396,19.19146,21.00396,650200,20.738758,-0.265202
1/5/2001,21.301258,21.301258,20.238758,20.738758,356600,20.738758,0
1/8/2001,21.301258,22.176258,20.176258,20.738758,227400,21.110046,0.371288
1/9/2001,20.235046,21.172546,20.235046,21.110046,114800,20.950924,-0.159122
1/10/2001,20.888424,21.075924,20.700924,20.950924,147200,21.057001,0.106077
1/11/2001,20.432001,21.057001,20.244501,21.057001,118500,21.322205,0.265204
1/12/2001,21.009705,23.072205,20.822205,21.322205,366100,21.163082,-0.159123
1/16/2001,21.350582,21.350582,20.725582,21.163082,157600,21.5874,0.424318
1/17/2001,21.3374,21.8999,21.3374,21.5874,217500,21.852604,0.265204
1/18/2001,21.477604,22.040104,21.415104,21.852604,88900,20.314436,-1.538168
1/19/2001,22.126936,22.126936,20.251936,20.314436,107300,21.640438,1.326002
1/22/2001,20.640438,21.765438,20.640438,21.640438,101600,22.064766,0.424328
1/23/2001,21.564766,22.627266,21.564766,22.064766,165300,22.489082,0.424316
1/24/2001,22.051582,23.489082,21.989082,22.489082,383800,22.542137,0.053055
1/25/2001,22.229637,23.042137,22.229637,22.542137,145400,21.799574,-0.742563
1/26/2001,22.924574,22.987074,21.799574,21.799574,110200,21.835623,0.036049
1/29/2001,21.955623,22.105623,21.605623,21.835623,236700,21.767735,-0.067888
1/30/2001,21.747734,21.847735,21.587734,21.767735,48200,21.547089,-0.220646
1/31/2001,21.65709,21.89709,21.39709,21.547089,151600,21.699842,0.152753
2/1/2001,21.729842,21.729842,21.329843,21.699842,59000,20.62208,-1.077762
2/2/2001,21.95208,21.972081,20.522082,20.62208,172700,21.097305,0.475225
2/5/2001,21.087304,21.187305,20.837304,21.097305,35400,20.774822,-0.322483
2/6/2001,21.294822,21.294822,20.774822,20.774822,138400,21.419792,0.64497
2/7/2001,20.909792,21.479791,20.529792,21.419792,133200,22.556982,1.13719
2/8/2001,21.726982,23.126982,21.726982,22.556982,744000,22.896446,0.339464
2/9/2001,22.506446,22.916446,21.656446,22.896446,249200,23.779026,0.88258
2/12/2001,22.059025,23.979025,22.059025,23.779026,314800,24.653128,0.874102
2/13/2001,23.623129,24.683129,23.453129,24.653128,366900,24.865305,0.212177
2/14/2001,24.515307,25.165306,24.155306,24.865305,466100,25.306589,0.441284
2/15/2001,24.796588,25.43659,24.486589,25.306589,185400,25.179298,-0.127291
2/16/2001,25.109298,25.509298,24.439298,25.179298,259700,25.035021,-0.144277
2/20/2001,25.735022,25.785021,24.885021,25.035021,228600,23.651731,-1.38329
2/21/2001,22.68173,24.68173,22.68173,23.651731,279700,25.459339,1.807608
2/22/2001,23.32934,25.459339,23.32934,25.459339,444100,24.76346,-0.695879
2/23/2001,25.533461,25.533461,24.35346,24.76346,192000,25.84123,1.07777
2/26/2001,24.691228,25.84123,24.491229,25.84123,275900,24.822861,-1.018369
