,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,4.740074,4.773278,4.413903,4.507653,16438400,4.634911,0.127258
1/3/2001,4.478661,4.759911,4.314599,4.634911,24014400,4.407185,-0.227726
1/4/2001,4.618123,4.625935,4.313435,4.407185,24139200,4.474164,0.066979
1/5/2001,4.560102,4.653852,4.466352,4.474164,28048000,4.547841,0.073677
1/8/2001,4.399403,4.610341,4.399403,4.547841,15412000,4.474164,-0.073677
1/9/2001,4.575727,4.661664,4.466352,4.474164,8844800,4.715286,0.241122
1/10/2001,4.371536,4.754349,4.340286,4.715286,20512000,4.748775,0.033489
1/11/2001,4.647212,4.787837,4.647212,4.748775,12037600,4.79566,0.046885
1/12/2001,4.662848,4.79566,4.647223,4.79566,16648000,4.802358,0.006698
1/16/2001,4.732045,4.90392,4.732045,4.802358,11405600,4.802358,0
1/17/2001,4.817983,4.90392,4.74767,4.802358,11756000,4.869338,0.06698
1/18/2001,4.853713,4.916213,4.799025,4.869338,12414400,4.963107,0.093769
1/19/2001,4.806857,5.017794,4.783419,4.963107,15804800,4.849244,-0.113863
1/22/2001,5.005494,5.021119,4.786744,4.849244,11187200,4.969804,0.12056
1/23/2001,4.805742,4.993242,4.797929,4.969804,9845600,4.648307,-0.321497
1/24/2001,5.038932,5.054557,4.570182,4.648307,24792800,4.588028,-0.060279
1/25/2001,4.681778,4.728653,4.463028,4.588028,19751200,4.889431,0.301403
1/26/2001,4.756619,4.912869,4.748806,4.889431,22613600,5.277906,0.388475
1/29/2001,4.832594,5.293531,4.809156,5.277906,46998400,5.224323,-0.053583
1/30/2001,5.216511,5.239948,5.036823,5.224323,18477600,5.351582,0.127259
1/31/2001,5.195332,5.367207,5.195332,5.351582,31927200,5.257812,-0.09377
2/1/2001,5.296874,5.335937,5.156249,5.257812,20617600,5.130554,-0.127258
2/2/2001,5.193054,5.255554,5.099304,5.130554,23588000,5.13725,0.006696
2/5/2001,5.121625,5.207562,4.934125,5.13725,16599200,5.344884,0.207634
2/6/2001,5.110509,5.360509,5.087072,5.344884,27388000,5.344884,0
2/7/2001,5.251134,5.368322,5.243322,5.344884,14171200,5.210927,-0.133957
2/8/2001,5.367177,5.546865,5.15624,5.210927,27500000,5.177438,-0.033489
2/9/2001,5.154,5.286813,5.114938,5.177438,11520000,5.358279,0.180841
2/12/2001,5.147342,5.373904,5.147342,5.358279,13576800,5.210927,-0.147352
2/13/2001,5.328115,5.484365,5.210927,5.210927,17178400,5.130554,-0.080373
2/14/2001,5.239929,5.310242,5.083679,5.130554,18196800,5.277906,0.147352
2/15/2001,5.137281,5.301344,5.121656,5.277906,11702400,5.244416,-0.03349
2/16/2001,5.189728,5.345978,5.158478,5.244416,8581600,5.177438,-0.066978
2/20/2001,5.294625,5.419625,5.169625,5.177438,14636000,5.130554,-0.046884
2/21/2001,5.138367,5.310242,5.005554,5.130554,19056000,5.076972,-0.053582
2/22/2001,5.201972,5.233222,4.998847,5.076972,12880000,5.110459,0.033487
2/23/2001,5.071396,5.149521,4.930771,5.110459,18066400,5.123855,0.013396
2/26/2001,5.10823,5.209792,5.100417,5.123855,14198400,5.170741,0.046886
2/27/2001,5.108241,5.241054,5.076991,5.170741,16296000,5.103761,-0.06698
2/28/2001,5.197511,5.213136,5.072511,5.103761,20444800,5.097062,-0.006699
3/1/2001,5.089249,5.151749,4.940812,5.097062,19032000,5.090366,-0.006696
3/2/2001,5.152866,5.285679,5.090366,5.090366,45720800,5.003294,-0.087072
3/5/2001,5.104856,5.112669,4.925169,5.003294,13332800,5.009991,0.006697
3/6/2001,5.017804,5.072491,4.947491,5.009991,15170400,4.94971,-0.060281
3/7/2001,5.027835,5.059085,4.9126,4.94971,16062400,5.097062,0.147352
3/8/2001,4.948624,5.104874,4.917374,5.097062,18649600,5.050176,-0.046886
3/9/2001,5.104864,5.128301,5.011114,5.050176,10895200,4.815753,-0.234423
3/12/2001,5.05794,5.065753,4.792315,4.815753,18232800,4.79566,-0.020093
3/13/2001,4.85816,4.85816,4.51441,4.79566,26437600,4.634911,-0.160749
3/14/2001,4.697411,4.783349,4.556786,4.634911,17613600,4.681797,0.046886
3/15/2001,4.705234,4.767734,4.611484,4.681797,12659200,4.695191,0.013394
