,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,9.417229,9.93931,9.243202,9.707273,280200,9.931859,0.224586
1/3/2001,9.525796,10.047877,9.409777,9.931859,1446400,9.956816,0.024957
1/4/2001,10.014826,10.072834,9.8408,9.956816,291300,10.03168,0.074864
1/5/2001,9.915662,10.263715,9.799644,10.03168,1108600,9.981774,-0.049906
1/8/2001,10.097792,10.445845,9.981774,9.981774,286400,10.056635,0.074861
1/9/2001,9.708582,10.114643,9.650571,10.056635,851300,10.106544,0.049909
1/10/2001,9.932517,10.164552,9.874507,10.106544,619600,10.15645,0.049906
1/11/2001,9.982424,10.21446,9.924416,10.15645,271000,10.131501,-0.024949
1/12/2001,10.189509,10.247519,9.957475,10.131501,275500,10.20636,0.074859
1/16/2001,10.090341,10.20636,9.974325,10.20636,522500,10.20636,0
1/17/2001,10.20636,10.20636,10.032333,10.20636,248900,10.20636,0
1/18/2001,10.148351,10.20636,10.148351,10.20636,144200,10.20636,0
1/19/2001,10.090341,10.20636,10.090341,10.20636,108500,10.331132,0.124772
1/22/2001,10.041088,10.331132,10.041088,10.331132,336000,10.306178,-0.024954
1/23/2001,10.248168,10.364186,10.132152,10.306178,163500,10.430947,0.124769
1/24/2001,10.25692,10.488955,10.19891,10.430947,370000,10.530769,0.099822
1/25/2001,10.124707,10.530769,10.066697,10.530769,290900,10.455903,-0.074866
1/26/2001,10.455903,10.513913,10.339885,10.455903,671600,10.476867,0.020964
1/29/2001,10.430461,10.532556,10.384054,10.476867,384000,10.488845,0.011978
1/30/2001,10.368187,10.516689,10.368187,10.488845,414500,10.512802,0.023957
1/31/2001,10.577772,10.624178,10.392143,10.512802,127000,10.452911,-0.059891
2/1/2001,10.360096,10.657102,10.313688,10.452911,86600,10.548734,0.095823
2/2/2001,10.32598,10.567296,10.32598,10.548734,169600,10.456899,-0.091835
2/5/2001,10.726061,10.726061,10.456899,10.456899,215400,10.381039,-0.07586
2/6/2001,10.566667,10.6502,10.288225,10.381039,914000,10.221335,-0.159704
