,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,12.524696,12.587196,11.774696,12.024696,577500,11.75748,-0.267216
1/3/2001,12.38248,12.50748,11.69498,11.75748,1154900,10.388002,-1.369478
1/4/2001,12.950502,12.950502,8.888002,10.388002,3366300,10.45481,0.066808
1/5/2001,10.39231,11.26731,10.14231,10.45481,1305800,10.521609,0.066799
1/8/2001,10.146609,10.646609,10.146609,10.521609,938800,10.621819,0.10021
1/9/2001,9.996819,10.684319,9.559319,10.621819,699500,10.555014,-0.066805
1/10/2001,10.617514,10.680014,9.867514,10.555014,678500,9.719967,-0.835047
1/11/2001,10.969967,10.969967,9.094967,9.719967,993700,9.820171,0.100204
1/12/2001,9.632671,9.882671,9.007671,9.820171,895800,9.820171,0
1/16/2001,10.320171,10.320171,8.757671,9.820171,952200,10.020581,0.20041
1/17/2001,9.645581,10.083081,9.333081,10.020581,1185700,10.154192,0.133611
1/18/2001,10.091692,10.279192,9.904192,10.154192,592900,10.12079,-0.033402
1/19/2001,10.68329,10.68329,9.87079,10.12079,718600,10.187593,0.066803
1/22/2001,10.062593,10.500093,10.000093,10.187593,564400,10.12079,-0.066803
1/23/2001,10.37079,10.80829,10.05829,10.12079,697100,10.688619,0.567829
1/24/2001,9.813619,10.813619,9.626119,10.688619,2164600,10.922439,0.23382
1/25/2001,11.484939,11.922439,10.484939,10.922439,2163200,10.822229,-0.10021
1/26/2001,11.009729,11.697229,10.197229,10.822229,485000,11.068069,0.24584
1/29/2001,10.60807,11.35807,10.36807,11.068069,878400,11.019967,-0.048102
1/30/2001,10.949965,11.549966,10.539965,11.019967,1152400,10.88636,-0.133607
1/31/2001,11.176359,11.516359,10.416359,10.88636,797600,10.758095,-0.128265
2/1/2001,10.998097,11.178095,10.128096,10.758095,885400,11.142893,0.384798
2/2/2001,10.942893,11.142893,10.542893,11.142893,1348300,11.378036,0.235143
2/5/2001,10.888034,11.428035,10.548034,11.378036,552900,11.324591,-0.053445
2/6/2001,10.98459,11.37459,10.98459,11.324591,546600,11.736103,0.411512
2/7/2001,10.926104,11.736103,10.826103,11.736103,827500,11.629221,-0.106882
2/8/2001,11.41922,11.859221,11.369221,11.629221,514100,12.024696,0.395475
2/9/2001,11.024696,12.084695,11.024696,12.024696,1033800,11.917812,-0.106884
2/12/2001,11.877813,12.337812,11.417812,11.917812,724500,11.805579,-0.112233
2/13/2001,11.775578,11.845578,11.475579,11.805579,657400,11.602498,-0.203081
2/14/2001,11.292499,11.822499,11.242499,11.602498,620000,11.613185,0.010687
2/15/2001,11.343184,11.613185,11.183184,11.613185,673200,11.74145,0.128265
2/16/2001,11.171451,11.971452,11.171451,11.74145,1167900,11.650596,-0.090854
2/20/2001,11.650596,11.870597,11.250597,11.650596,787300,11.725417,0.074821
2/21/2001,11.685416,12.025416,11.585415,11.725417,536900,11.714727,-0.01069
2/22/2001,11.494728,11.894727,11.044727,11.714727,432300,11.810925,0.096198
2/23/2001,11.390925,11.890925,11.260924,11.810925,562100,11.875056,0.064131
2/26/2001,11.785056,12.295056,11.575057,11.875056,487100,11.923151,0.048095
2/27/2001,11.713152,12.083151,11.613152,11.923151,529800,11.944531,0.02138
2/28/2001,11.90453,11.944531,11.544532,11.944531,376600,11.859027,-0.085504
3/1/2001,11.469025,12.019026,11.469025,11.859027,456700,12.110206,0.251179
3/2/2001,11.500205,12.180206,11.340205,12.110206,569000,12.099515,-0.010691
3/5/2001,11.889516,12.199516,11.759515,12.099515,398800,12.10486,0.005345
3/6/2001,12.45486,12.45486,11.904861,12.10486,383700,12.612572,0.507712
3/7/2001,12.012572,12.612572,11.962573,12.612572,915000,12.68739,0.074818
3/8/2001,12.19739,12.887391,12.19739,12.68739,632900,12.372079,-0.315311
3/9/2001,12.92208,12.962079,12.222079,12.372079,411800,12.340014,-0.032065
3/12/2001,12.410014,12.700015,12.060013,12.340014,476200,12.307949,-0.032065
3/13/2001,12.277948,12.477949,11.677948,12.307949,316600,12.206409,-0.10154
3/14/2001,12.06641,12.426408,11.72641,12.206409,916300,12.350706,0.144297
3/15/2001,12.080705,12.410705,11.740705,12.350706,3092800,12.026534,-0.324172
3/16/2001,12.516534,12.796535,11.766534,12.026534,1073400,12.420936,0.394402
3/19/2001,12.080936,12.450936,11.720937,12.420936,388300,12.107576,-0.31336
3/20/2001,12.147577,12.437576,11.697576,12.107576,550800,12.021135,-0.086441
3/21/2001,11.821134,12.521135,11.821134,12.021135,363400,11.734783,-0.286352
3/22/2001,12.114784,12.364784,10.944784,11.734783,1143300,11.38361,-0.351173
3/23/2001,11.81361,11.843611,11.113609,11.38361,531800,12.426337,1.042727
