,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,6.979833,6.979833,6.698583,6.761083,563200,6.672121,-0.088962
1/3/2001,6.734621,6.890871,6.359621,6.672121,1274400,6.368168,-0.303953
1/4/2001,6.65723,6.65723,6.34473,6.368168,1168000,6.353342,-0.014826
1/5/2001,6.408029,6.486154,6.283029,6.353342,1074400,6.75367,0.400328
1/8/2001,6.363045,6.75367,6.363045,6.75367,971200,6.731429,-0.022241
1/9/2001,6.754867,6.887679,6.606429,6.731429,911200,6.953834,0.222405
1/10/2001,6.703834,6.977272,6.703834,6.953834,1649600,7.146584,0.19275
1/11/2001,6.943459,7.287209,6.888772,7.146584,1758400,7.13917,-0.007414
1/12/2001,7.146982,7.29542,7.053232,7.13917,1244800,7.495017,0.355847
1/16/2001,7.120017,7.495017,7.026267,7.495017,1202400,7.539497,0.04448
1/17/2001,7.500434,7.656684,7.469184,7.539497,2139200,7.650699,0.111202
1/18/2001,7.510074,7.697574,7.392887,7.650699,1156000,7.517256,-0.133443
1/19/2001,7.712569,7.712569,7.454756,7.517256,1090400,7.472776,-0.04448
1/22/2001,7.488401,7.597776,7.472776,7.472776,532800,7.643285,0.170509
1/23/2001,7.494847,7.643285,7.494847,7.643285,1232000,7.710006,0.066721
1/24/2001,7.663131,7.733444,7.585006,7.710006,1777600,7.769314,0.059308
1/25/2001,7.675564,7.816189,7.589627,7.769314,1020000,7.895343,0.126029
1/26/2001,7.73128,7.903155,7.614093,7.895343,1193600,7.959098,0.063755
1/29/2001,7.891598,8.059098,7.891598,7.959098,1591200,8.032641,0.073543
1/30/2001,7.986391,8.032641,7.888891,8.032641,882400,7.99587,-0.036771
1/31/2001,8.00337,8.05712,7.92587,7.99587,671200,8.129906,0.134036
2/1/2001,8.019906,8.137406,7.952406,8.129906,548000,7.994685,-0.135221
2/2/2001,8.105935,8.105935,7.913435,7.994685,2000800,7.710006,-0.284679
2/5/2001,8.010006,8.010006,7.653756,7.710006,1281600,7.494126,-0.21588
2/6/2001,7.690376,7.692876,7.459126,7.494126,1589600,7.623418,0.129292
2/7/2001,7.487168,7.644668,7.370918,7.623418,1256800,7.552248,-0.07117
2/8/2001,7.628498,7.628498,7.488498,7.552248,748000,7.609184,0.056936
2/9/2001,7.521684,7.644184,7.515434,7.609184,711200,7.798969,0.189785
2/12/2001,7.630219,7.830219,7.523969,7.798969,548800,7.846415,0.047446
2/13/2001,7.827665,7.936415,7.808915,7.846415,651200,7.834554,-0.011861
2/14/2001,7.878304,7.934554,7.759554,7.834554,887200,7.621044,-0.21351
2/15/2001,7.827294,7.828544,7.564794,7.621044,770400,7.674421,0.053377
2/16/2001,7.574421,7.680671,7.463171,7.674421,799200,7.66256,-0.011861
2/20/2001,7.67506,7.71256,7.66256,7.66256,614400,7.521408,-0.141152
2/21/2001,7.645158,7.661408,7.503908,7.521408,784000,7.460915,-0.060493
2/22/2001,7.537165,7.549665,7.435915,7.460915,639200,7.401606,-0.059309
2/23/2001,7.457856,7.457856,7.220356,7.401606,1061600,7.57953,0.177924
2/26/2001,7.46703,7.59203,7.42078,7.57953,625600,7.528525,-0.051005
2/27/2001,7.588525,7.588525,7.488525,7.528525,465600,7.573599,0.045074
2/28/2001,7.524849,7.667349,7.408599,7.573599,1149600,7.543943,-0.029656
3/1/2001,7.587693,7.587693,7.481443,7.543943,575200,7.535642,-0.008301
3/2/2001,7.531892,7.544392,7.491892,7.535642,926400,7.685099,0.149457
3/5/2001,7.536349,7.723849,7.461349,7.685099,1631200,7.698147,0.013048
3/6/2001,7.715647,7.835647,7.619397,7.698147,2023200,7.721867,0.02372
3/7/2001,7.696867,7.821867,7.696867,7.721867,891200,8.12516,0.403293
3/8/2001,7.70641,8.12516,7.70641,8.12516,989600,8.273431,0.148271
3/9/2001,8.085931,8.367181,8.085931,8.273431,9512800,8.201077,-0.072354
3/12/2001,8.296077,8.302327,8.058577,8.201077,2100000,8.231915,0.030838
3/13/2001,8.184415,8.253165,8.076915,8.231915,1394400,8.153627,-0.078288
3/14/2001,8.167377,8.229877,8.111127,8.153627,1065600,8.214124,0.060497
3/15/2001,8.137874,8.239124,8.117874,8.214124,786400,8.222425,0.008301
3/16/2001,8.244925,8.354925,8.121175,8.222425,1527200,8.077717,-0.144708
3/19/2001,8.230217,8.230217,7.965217,8.077717,2237600,8.080087,0.00237
3/20/2001,8.108837,8.348837,8.065087,8.080087,1468000,8.024337,-0.05575
3/21/2001,8.083087,8.289337,7.984337,8.024337,996000,7.881999,-0.142338
3/22/2001,8.013249,8.013249,7.605749,7.881999,2417600,7.88793,0.005931
3/23/2001,7.88168,7.92543,7.76043,7.88793,1495200,7.959098,0.071168
3/26/2001,7.915348,8.017848,7.900348,7.959098,1086400,8.04806,0.088962
3/27/2001,7.92306,8.12931,7.90681,8.04806,1928800,8.007734,-0.040326
3/28/2001,8.037734,8.045234,7.913984,8.007734,1500000,8.178538,0.170804
3/29/2001,7.998538,8.203538,7.909788,8.178538,2173600,8.510661,0.332123
3/30/2001,8.191911,8.554411,8.179411,8.510661,1890400,8.496426,-0.014235
4/2/2001,8.536426,8.586426,8.448926,8.496426,1068800,8.475074,-0.021352
4/3/2001,8.475074,8.493824,8.282574,8.475074,1297600,8.593692,0.118618
4/4/2001,8.462442,8.619942,8.358692,8.593692,2560800,8.753824,0.160132
4/5/2001,8.685074,8.756324,8.591324,8.753824,1613600,8.719424,-0.0344
4/6/2001,8.755674,8.779424,8.649424,8.719424,1163200,8.510661,-0.208763
4/9/2001,8.666911,8.723161,8.466911,8.510661,1868000,8.418142,-0.092519
4/10/2001,8.603142,8.634392,8.409392,8.418142,1724000,8.11923,-0.298912
4/11/2001,8.31298,8.37923,8.10673,8.11923,3576000,8.024337,-0.094893
4/12/2001,8.155587,8.245587,7.965587,8.024337,1917600,8.184469,0.160132
4/16/2001,8.028219,8.215719,7.965719,8.184469,2072800,8.172608,-0.011861
4/17/2001,8.172608,8.185108,8.141358,8.172608,624000,8.154816,-0.017792
4/18/2001,8.174816,8.286066,8.136066,8.154816,1654400,8.089576,-0.06524
4/19/2001,8.127076,8.127076,8.074576,8.089576,736000,7.742032,-0.347544
4/20/2001,8.127032,8.127032,7.735782,7.742032,1567200,7.688656,-0.053376
4/23/2001,7.713656,7.748656,7.648656,7.688656,1255200,7.434818,-0.253838
4/24/2001,7.702318,7.702318,7.424818,7.434818,2360800,7.597322,0.162504
4/25/2001,7.431072,7.653572,7.429822,7.597322,2084000,7.710006,0.112684
4/26/2001,7.616256,7.866256,7.616256,7.710006,1045600,7.793037,0.083031
4/27/2001,7.711787,7.843037,7.711787,7.793037,726400,7.73966,-0.053377
4/30/2001,7.82091,7.82716,7.72091,7.73966,1105600,7.931818,0.192158
5/1/2001,7.754318,7.948068,7.754318,7.931818,959200,7.751521,-0.180297
5/2/2001,7.951521,7.964021,7.645271,7.751521,738400,7.982823,0.231302
5/3/2001,7.714073,7.985323,7.657823,7.982823,1054400,8.06704,0.084217
5/4/2001,7.97829,8.14079,7.84079,8.06704,1075200,8.099065,0.032025
5/7/2001,8.066565,8.207815,8.051565,8.099065,1527200,8.108556,0.009491
5/8/2001,8.082306,8.188556,8.066056,8.108556,533600,7.994685,-0.113871
5/9/2001,8.125935,8.125935,7.975935,7.994685,658400,7.919954,-0.074731
5/10/2001,8.029954,8.042454,7.823704,7.919954,1001600,7.974519,0.054565
5/11/2001,7.945769,7.974519,7.920769,7.974519,1257600,8.202261,0.227742
5/14/2001,7.993511,8.234761,7.993511,8.202261,788800,8.343413,0.141152
5/15/2001,8.225913,8.363413,8.175913,8.343413,506400,8.753824,0.410411
5/16/2001,8.321324,8.781324,8.321324,8.753824,994000,8.993427,0.239603
5/17/2001,8.790927,9.093427,8.778427,8.993427,1516800,8.79415,-0.199277
