,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,22.650204,23.587704,22.462704,23.275204,4006900,25.375219,2.100015
1/3/2001,22.375219,25.500219,21.750219,25.375219,10653200,25.856482,0.481263
1/4/2001,24.918982,26.918982,24.418982,25.856482,9464000,24.28146,-1.575022
1/5/2001,25.59396,26.03146,23.78146,24.28146,5976000,24.062716,-0.218744
1/8/2001,24.187716,24.812716,23.500216,24.062716,4250100,24.150215,0.087499
1/9/2001,24.025215,24.337715,23.462715,24.150215,2973500,24.106461,-0.043754
1/10/2001,23.543961,24.293961,23.231461,24.106461,3963300,23.40646,-0.700001
1/11/2001,23.96896,24.34396,22.96896,23.40646,5942200,24.368973,0.962513
1/12/2001,22.993973,24.806473,22.993973,24.368973,6436300,25.112709,0.743736
1/16/2001,24.112709,25.737709,23.925209,25.112709,6592800,25.068964,-0.043745
1/17/2001,25.256464,25.693964,24.881464,25.068964,5482700,24.193954,-0.87501
1/18/2001,25.693954,25.693954,23.381454,24.193954,5461300,22.925201,-1.268753
1/19/2001,24.175201,24.425201,22.800201,22.925201,4245300,24.193954,1.268753
1/22/2001,24.131454,25.381454,23.881454,24.193954,6471900,25.200228,1.006274
1/23/2001,24.450228,26.012728,24.262728,25.200228,5032800,25.418964,0.218736
1/24/2001,25.106464,25.731464,24.793964,25.418964,3863500,25.681475,0.262511
1/25/2001,24.743975,26.743975,24.493975,25.681475,5119400,25.462715,-0.21876
1/26/2001,26.337715,26.650215,25.275215,25.462715,4115000,25.795225,0.33251
1/29/2001,25.315226,26.945227,25.225226,25.795225,3650300,25.55023,-0.244995
1/30/2001,26.05023,26.05023,25.05023,25.55023,3230400,26.586235,1.036005
1/31/2001,25.206233,27.216236,25.056236,26.586235,7961400,26.530235,-0.056
2/1/2001,26.610233,26.880233,25.480231,26.530235,7483200,25.879234,-0.651001
2/2/2001,26.809235,27.159233,25.459232,25.879234,4521100,25.445225,-0.434009
2/5/2001,26.065228,26.085229,25.125226,25.445225,3328400,25.403219,-0.042006
2/6/2001,25.463216,26.713216,25.113218,25.403219,3878400,25.683228,0.280009
2/7/2001,25.28323,26.083229,25.19323,25.683228,3093100,24.752222,-0.931006
2/8/2001,25.142221,25.342222,23.892221,24.752222,5310400,23.765213,-0.987009
2/9/2001,25.175213,25.555214,22.885212,23.765213,4632400,25.305225,1.540012
2/12/2001,22.555225,25.555225,22.465224,25.305225,6889000,25.781223,0.475998
2/13/2001,25.101223,26.101223,24.681221,25.781223,3284700,25.627228,-0.153995
2/14/2001,25.917229,26.117225,25.317226,25.627228,3200200,25.588673,-0.038555
2/15/2001,26.038674,26.138672,25.288674,25.588673,2965900,25.041843,-0.54683
2/16/2001,25.471844,26.771843,24.321842,25.041843,3510500,26.114464,1.072621
2/20/2001,25.064465,27.614464,25.004463,26.114464,5313900,24.39687,-1.717594
2/21/2001,26.596871,26.596871,24.096871,24.39687,3525400,25.097919,0.701049
2/22/2001,25.54792,25.54792,23.54792,25.097919,5262400,25.055857,-0.042062
2/23/2001,24.815855,25.555857,24.055857,25.055857,4890400,26.500036,1.444179
2/26/2001,25.450037,26.500036,25.160036,26.500036,4013900,26.899649,0.399613
2/27/2001,26.77965,27.59965,26.289648,26.899649,6375500,27.341312,0.441663
2/28/2001,27.041313,27.94131,26.451313,27.341312,6821600,26.142502,-1.19881
3/1/2001,26.752503,26.912502,25.362499,26.142502,4942800,25.90414,-0.238362
3/2/2001,25.574138,26.15414,24.864139,25.90414,4605100,25.518559,-0.385581
3/5/2001,26.318558,27.118557,25.118557,25.518559,4319700,26.640255,1.121696
3/6/2001,27.140255,28.040257,25.840256,26.640255,8418900,26.850563,0.210308
3/7/2001,27.450566,27.750565,26.150562,26.850563,7579200,26.640255,-0.210308
3/8/2001,27.490253,28.140255,26.440254,26.640255,7917900,26.359835,-0.28042
3/9/2001,26.759837,26.919837,26.259837,26.359835,3578200,25.595682,-0.764153
3/12/2001,26.335684,26.555685,25.585684,25.595682,3816600,24.992765,-0.602917
3/13/2001,25.852761,26.242765,23.752763,24.992765,5818400,24.887615,-0.10515
3/14/2001,24.137615,25.787617,23.437614,24.887615,4887700,24.936676,0.049061
3/15/2001,25.166675,25.666675,23.916675,24.936676,3601900,24.48801,-0.448666
3/16/2001,24.758011,25.30801,24.408008,24.48801,4975100,24.957716,0.469706
3/19/2001,24.75772,25.25772,24.00772,24.957716,2937500,25.062872,0.105156
3/20/2001,26.312872,27.262873,25.062872,25.062872,4562000,25.848047,0.785175
3/21/2001,24.728048,26.228048,24.12805,25.848047,4633000,24.18655,-1.661497
3/22/2001,25.736549,25.746551,22.336552,24.18655,6775000,24.46698,0.28043
3/23/2001,23.916976,24.636978,22.916976,24.46698,4126500,25.090908,0.623928
3/26/2001,25.150905,25.550907,24.050907,25.090908,3585300,25.855074,0.764166
3/27/2001,25.075071,25.965075,24.475073,25.855074,3645700,25.343298,-0.511776
3/28/2001,25.093298,25.693296,24.593298,25.343298,4859200,24.859564,-0.483734
3/29/2001,25.199564,25.489565,24.049567,24.859564,4730800,25.294212,0.434648
3/30/2001,25.114212,25.954212,24.574211,25.294212,3963700,25.44846,0.154248
4/2/2001,26.148461,26.58846,25.19846,25.44846,4249100,24.593155,-0.855305
4/3/2001,26.013153,26.013153,23.973152,24.593155,4556700,24.053356,-0.539799
4/4/2001,24.743355,24.943356,23.793354,24.053356,4845000,25.132975,1.079619
4/5/2001,24.382975,25.382975,24.002978,25.132975,4139200,24.957716,-0.175259
4/6/2001,25.857718,25.857718,24.25772,24.957716,3523600,24.572136,-0.38558
4/9/2001,25.822136,25.822136,24.432137,24.572136,2409500,25.132975,0.560839
4/10/2001,24.932979,25.682979,24.642978,25.132975,3792600,25.027815,-0.10516
4/11/2001,25.577814,25.727816,23.887815,25.027815,4068300,25.132975,0.10516
