,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,116.666664,118.5,115.333336,115.833336,748200,110.5,-5.333336
1/3/2001,115,117.833336,108.666664,110.5,1249800,104,-6.5
1/4/2001,108.333336,109.166664,98.666664,104,2339200,110.166664,6.166664
1/5/2001,106.666664,111,105.333336,110.166664,1614700,113,2.833336
1/8/2001,110.166664,114.666664,110.166664,113,1276800,114.833336,1.833336
1/9/2001,112.666664,115.666664,112.666664,114.833336,1279300,118.333336,3.5
1/10/2001,112.666664,118.666664,112.666664,118.333336,1154900,116,-2.333336
1/11/2001,117.666664,117.833336,116,116,1324600,111.666664,-4.333336
1/12/2001,113.5,114.5,110.833336,111.666664,1014000,114.166664,2.5
1/16/2001,113.333336,114.333336,110.5,114.166664,709400,109.5,-4.666664
1/17/2001,112.666664,113.166664,106.666664,109.5,1044000,108,-1.5
1/18/2001,109.333336,109.666664,108,108,1040000,101.333336,-6.666664
1/19/2001,104.333336,105.25,101,101.333336,1382900,108.833336,7.5
1/22/2001,103.666664,113.666664,103.333336,108.833336,1068700,116.166664,7.333328
1/23/2001,108.833336,116.5,108.833336,116.166664,1265700,114.666664,-1.5
1/24/2001,116.166664,116.166664,113.833336,114.666664,846600,116.333336,1.666672
1/25/2001,114.666664,118.666664,114.666664,116.333336,626800,115.833336,-0.5
1/26/2001,116.333336,119.083336,115.166664,115.833336,852300,114.346664,-1.486672
1/29/2001,114.666664,114.933334,114.053337,114.346664,649600,113.599998,-0.746666
1/30/2001,114,115.866669,113.360001,113.599998,597700,116.32,2.720002
1/31/2001,113.73333,117.306664,113.333336,116.32,659700,117.599998,1.279998
2/1/2001,117.199997,117.866669,112.933334,117.599998,640600,117.573334,-0.026664
2/2/2001,117.386665,118.666664,116.400002,117.573334,665100,118.053337,0.480003
2/5/2001,117.333336,121.09333,117.040001,118.053337,810700,119.013336,0.959999
2/6/2001,118.533333,119.866669,117.066666,119.013336,527700,120.400002,1.386666
2/7/2001,119.333336,121.599998,117.333336,120.400002,614100,117.626663,-2.773339
2/8/2001,120.400002,120.400002,116.080002,117.626663,435100,116.053337,-1.573326
2/9/2001,116.933334,117.866669,113.973335,116.053337,644000,122.106667,6.05333
2/12/2001,116.666664,122.26667,116.26667,122.106667,620200,121.626663,-0.480004
2/13/2001,122.106667,123.333336,121.333336,121.626663,582200,121.893333,0.26667
2/14/2001,122.26667,124.346664,120.32,121.893333,795800,121.226669,-0.666664
2/15/2001,121.893333,121.893333,119.973335,121.226669,617500,121.066666,-0.160003
2/16/2001,121.333336,122.533333,120.133331,121.066666,545900,120.666664,-0.400002
2/20/2001,120.800003,122.666664,120.453331,120.666664,699600,121.599998,0.933334
2/21/2001,124.533333,124.666664,121.41333,121.599998,571900,121.866669,0.266671
2/22/2001,121.599998,122.559998,120.800003,121.866669,565200,122.426666,0.559997
2/23/2001,122,122.480003,120.666664,122.426666,623900,118.26667,-4.159996
2/26/2001,122.426666,125.333336,117.306664,118.26667,1529300,122.879997,4.613327
2/27/2001,119.68,124.400002,119.493332,122.879997,773100,123.013336,0.133339
2/28/2001,123.09333,124.426666,121.653336,123.013336,453700,121.333336,-1.68
3/1/2001,123.333336,123.73333,118.666664,121.333336,1086700,121.333336,0
3/2/2001,121.866669,122.58667,120.32,121.333336,1397500,120.533333,-0.800003
3/5/2001,122.666664,122.666664,120.133331,120.533333,535700,119.866669,-0.666664
3/6/2001,120.533333,121.653336,119.519997,119.866669,738100,119.493332,-0.373337
3/7/2001,119.893333,120.426666,117.333336,119.493332,615800,117.73333,-1.760002
3/8/2001,119.493332,119.653336,117.199997,117.73333,604600,115.973335,-1.759995
3/9/2001,117.466667,117.466667,114.800003,115.973335,399500,112.533333,-3.440002
3/12/2001,115.199997,115.279999,112.533333,112.533333,265000,110.639999,-1.893334
3/13/2001,110.400002,111.73333,106.400002,110.639999,596800,108.133331,-2.506668
3/14/2001,106.666664,109.226669,106.426666,108.133331,647900,106.90667,-1.226661
3/15/2001,108.133331,108.133331,106.080002,106.90667,409500,107.546669,0.639999
3/16/2001,104,108.32,104,107.546669,829400,109.173332,1.626663
3/19/2001,108.133331,109.653336,105.866669,109.173332,524900,109.360001,0.186669
3/20/2001,109.599998,111.706665,108.160004,109.360001,567000,109.333336,-0.026665
3/21/2001,110.26667,110.800003,109.120003,109.333336,675400,105.333336,-4
3/22/2001,109.333336,109.546669,101.333336,105.333336,689700,110.239998,4.906662
3/23/2001,107.333336,110.800003,106.933334,110.239998,565700,113.866669,3.626671
3/26/2001,114,115.333336,113.466667,113.866669,376000,109.466667,-4.400002
3/27/2001,113.466667,113.493332,106.933334,109.466667,876300,110,0.533333
3/28/2001,109.199997,110.90667,108.800003,110,566300,117.68,7.68
3/29/2001,112,118.666664,112,117.68,692900,117.333336,-0.346664
3/30/2001,117.146667,118.32,115.013336,117.333336,572600,117.333336,0
4/2/2001,117.333336,118.639999,114.58667,117.333336,522100,117.333336,0
4/3/2001,117.333336,118,115.466667,117.333336,860000,122.986664,5.653328
4/4/2001,117.519997,124.133331,117.333336,122.986664,1585700,123.466667,0.480003
4/5/2001,125.199997,125.946663,122.293335,123.466667,1120500,122.666664,-0.800003
4/6/2001,123.466667,123.599998,121.41333,122.666664,701100,120,-2.666664
4/9/2001,122.666664,122.800003,118.933334,120,847600,121.466667,1.466667
4/10/2001,119.653336,121.466667,118.666664,121.466667,794800,120.160004,-1.306663
4/11/2001,121.466667,122,119.386665,120.160004,627600,121.493332,1.333328
4/12/2001,120.400002,122.58667,120.26667,121.493332,319300,125.199997,3.706665
4/16/2001,122.133331,125.546669,122.133331,125.199997,620400,125.279999,0.080002
4/17/2001,124.666664,127.333336,124.400002,125.279999,443500,120.400002,-4.879997
4/18/2001,125.306664,125.333336,116.106667,120.400002,1813800,114.480003,-5.919999
4/19/2001,120,120.533333,112.373337,114.480003,1082400,113.440002,-1.040001
4/20/2001,113.066666,114.26667,108.239998,113.440002,1485400,113.866669,0.426667
4/23/2001,113.41333,115.306664,113.066666,113.866669,603200,115.919998,2.053329
4/24/2001,114.373337,117.653336,114.186668,115.919998,493900,117.333336,1.413338
4/25/2001,115.599998,120.400002,115.519997,117.333336,665100,117.706665,0.373329
4/26/2001,117.199997,120.400002,116.133331,117.706665,473700,118.453331,0.746666
4/27/2001,117.333336,119.199997,117.279999,118.453331,346000,119.040001,0.58667
4/30/2001,118.800003,120.239998,118,119.040001,482900,122.666664,3.626663
5/1/2001,118.773331,122.666664,116.293335,122.666664,698500,119.120003,-3.546661
5/2/2001,121.066666,121.066666,117.226669,119.120003,855000,118.58667,-0.533333
5/3/2001,119.519997,121.173332,116.133331,118.58667,385100,119.066666,0.479996
5/4/2001,118.32,119.253334,116.400002,119.066666,234300,116.666664,-2.400002
5/7/2001,119.09333,119.73333,114.853333,116.666664,426500,114.800003,-1.866661
5/8/2001,117.333336,117.519997,113.493332,114.800003,1242700,114.693336,-0.106667
5/9/2001,114.800003,114.933334,113.199997,114.693336,493700,114.26667,-0.426666
5/10/2001,114.933334,114.933334,112.480003,114.26667,687200,114.559998,0.293328
5/11/2001,114.800003,116.746666,113.866669,114.559998,398500,115.066666,0.506668
