,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,24.452066,24.577066,22.639566,22.764566,1625000,27.996183,5.231617
1/3/2001,22.121183,27.996183,21.371183,27.996183,2762100,23.14163,-4.854553
1/4/2001,24.45413,25.57913,22.32913,23.14163,9027500,21.774809,-1.366821
1/5/2001,23.649809,23.837309,21.649809,21.774809,3835300,20.737913,-1.036896
1/8/2001,22.237913,22.675413,19.987913,20.737913,1951200,21.869076,1.131163
1/9/2001,20.119076,21.869076,20.119076,21.869076,2427100,22.623173,0.754097
1/10/2001,21.123173,22.810673,20.560673,22.623173,1452100,23.754335,1.131162
1/11/2001,22.254335,23.754335,22.066835,23.754335,1701200,24.178524,0.424189
1/12/2001,23.616024,24.553524,23.303524,24.178524,1881800,24.319914,0.14139
1/16/2001,24.132414,24.569914,24.007414,24.319914,1617400,24.649837,0.329923
1/17/2001,25.212337,25.337337,24.649837,24.649837,1211900,24.508442,-0.141395
1/18/2001,24.508442,24.820942,24.133442,24.508442,975200,24.272778,-0.235664
1/19/2001,24.647778,24.647778,23.835278,24.272778,1532900,25.73386,1.461082
1/22/2001,23.79636,26.48386,23.79636,25.73386,1830000,26.6765,0.94264
1/23/2001,27.5515,27.614,26.364,26.6765,2403200,26.346581,-0.329919
1/24/2001,26.409081,27.346581,26.159081,26.346581,1387600,26.959286,0.612705
1/25/2001,25.334286,27.271786,25.334286,26.959286,1424300,26.393705,-0.565581
1/26/2001,26.643705,27.143705,25.956205,26.393705,1272400,26.959286,0.565581
1/29/2001,25.859288,27.449288,25.859288,26.959286,861600,26.974377,0.015091
1/30/2001,27.194379,27.754376,26.574376,26.974377,711000,28.263876,1.289499
1/31/2001,27.103876,28.583875,26.783876,28.263876,1432400,28.015039,-0.248837
2/1/2001,27.865037,28.025037,26.865037,28.015039,930100,27.034689,-0.98035
2/2/2001,28.194689,28.264693,27.034689,27.034689,814000,26.295668,-0.739021
2/5/2001,25.585669,26.825671,25.585669,26.295668,986100,26.242878,-0.05279
2/6/2001,26.942879,27.242878,26.00288,26.242878,989200,26.665186,0.422308
2/7/2001,26.005186,27.095186,26.005186,26.665186,579300,26.325836,-0.33935
2/8/2001,26.765834,26.815838,26.065838,26.325836,1270400,25.202221,-1.123615
2/9/2001,26.692223,26.962223,25.062222,25.202221,734000,25.978951,0.77673
2/12/2001,25.198948,26.168949,24.158951,25.978951,1078800,25.36813,-0.610821
2/13/2001,25.678132,25.928132,24.728131,25.36813,1180400,25.353033,-0.015097
2/14/2001,25.873033,25.953035,24.983034,25.353033,591100,25.624517,0.271484
2/15/2001,25.644517,25.844518,24.704518,25.624517,1436000,24.832714,-0.791803
2/16/2001,26.532715,26.532715,24.662712,24.832714,1091000,24.795008,-0.037706
2/20/2001,24.845007,25.895007,24.675005,24.795008,640800,23.897619,-0.897389
2/21/2001,25.087619,25.087619,23.847617,23.897619,1336500,23.407448,-0.490171
2/22/2001,23.987448,24.167446,23.387447,23.407448,885900,23.595978,0.18853
2/23/2001,22.905977,23.805977,21.755978,23.595978,1527600,24.742212,1.146234
2/26/2001,23.582211,24.932211,23.552212,24.742212,668700,24.191721,-0.550491
2/27/2001,24.231718,24.81172,23.911718,24.191721,685500,23.460232,-0.731489
2/28/2001,24.370231,24.49023,23.300232,23.460232,1568400,23.565805,0.105573
3/1/2001,24.115804,24.595804,23.055805,23.565805,1744500,25.337959,1.772154
3/2/2001,22.987961,25.387963,22.237961,25.337959,1398800,24.576313,-0.761646
3/5/2001,25.336311,25.386315,24.576313,24.576313,744200,25.488787,0.912474
3/6/2001,24.988787,25.538786,24.968787,25.488787,520900,26.016661,0.527874
3/7/2001,25.366659,26.276659,25.116659,26.016661,459500,25.616974,-0.399687
3/8/2001,26.096974,26.096974,25.246971,25.616974,624100,24.930742,-0.686232
3/9/2001,25.970739,25.970739,24.540739,24.930742,847800,23.543188,-1.387554
3/12/2001,25.373188,25.373188,23.533188,23.543188,980600,23.286789,-0.256399
3/13/2001,23.40679,23.50679,22.956789,23.286789,907300,22.291368,-0.995421
3/14/2001,21.981369,22.721369,21.751369,22.291368,1289100,22.442196,0.150828
3/15/2001,22.682196,23.152195,22.402195,22.442196,802100,21.664423,-0.777773
3/16/2001,22.624422,22.624422,21.174423,21.664423,1398400,21.52095,-0.143473
3/19/2001,21.52095,21.710951,21.220951,21.52095,1329800,21.664423,0.143473
3/20/2001,21.954422,24.224422,21.524421,21.664423,1425600,20.675209,-0.989214
3/21/2001,21.995211,22.13521,20.655211,20.675209,1156600,20.161724,-0.513485
3/22/2001,20.941723,20.941723,19.461723,20.161724,1407600,20.871544,0.70982
3/23/2001,20.231545,21.031544,20.231545,20.871544,1027000,20.962156,0.090612
3/26/2001,20.842155,21.192156,20.572157,20.962156,800500,21.090519,0.128363
3/27/2001,20.910519,21.140519,20.470518,21.090519,955600,20.418467,-0.672052
