,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,34.04813,36.23563,33.42313,33.73563,8293000,36.603851,2.868221
1/3/2001,30.853851,36.916351,28.916351,36.603851,15317700,37.924126,1.320275
1/4/2001,36.049126,40.549126,34.799126,37.924126,19354800,34.464062,-3.460064
1/5/2001,39.214062,39.214062,33.839062,34.464062,12625400,34.236435,-0.227627
1/8/2001,34.548935,34.548935,32.173935,34.236435,10807800,32.597446,-1.638989
1/9/2001,32.847446,33.222446,31.534946,32.597446,15945000,33.826694,1.229248
1/10/2001,31.451694,34.139194,31.014194,33.826694,10323900,36.148571,2.321877
1/11/2001,31.898571,36.148571,31.648571,36.148571,11842400,34.873802,-1.274769
1/12/2001,35.998802,36.123802,34.061302,34.873802,10038500,34.737232,-0.13657
1/16/2001,35.049732,35.049732,33.174732,34.737232,7543300,36.831482,2.09425
1/17/2001,36.018982,38.143982,35.143982,36.831482,15461900,37.332268,0.500786
1/18/2001,35.832268,37.769768,34.457268,37.332268,11893300,36.649361,-0.682907
1/19/2001,38.274361,38.836861,36.086861,36.649361,13487900,35.374615,-1.274746
1/22/2001,36.187115,36.624615,33.812115,35.374615,9522400,32.779568,-2.595047
1/23/2001,33.154568,33.779568,31.779568,32.779568,30667100,31.686913,-1.092655
1/24/2001,33.499413,33.936913,31.186913,31.686913,16363200,30.639786,-1.047127
1/25/2001,31.702286,32.077286,30.639786,30.639786,10686000,30.23004,-0.409746
1/26/2001,29.98004,30.48004,29.35504,30.23004,12559800,32.031143,1.801103
1/29/2001,29.581142,32.131141,28.101142,32.031143,14015600,32.599621,0.568478
1/30/2001,31.069622,33.16962,31.069622,32.599621,10951500,31.921829,-0.677792
1/31/2001,32.321831,34.091831,31.921829,31.921829,10300900,31.856241,-0.065588
2/1/2001,32.146242,33.096243,30.776243,31.856241,7234300,31.397083,-0.459158
2/2/2001,32.767082,33.307083,31.377082,31.397083,7070500,29.888454,-1.508629
