,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,0.953125,1.015625,0.953125,1.015625,440800,1.03125,0.015625
1/3/2001,1,1.039063,1,1.03125,314400,1.007813,-0.023437
1/4/2001,1.03125,1.03125,1,1.007813,283200,1.039063,0.03125
1/5/2001,1.023438,1.046875,1.015625,1.039063,935200,1.046875,0.007812
1/8/2001,1.046875,1.054688,1.03125,1.046875,261600,1.046875,0
1/9/2001,1.046875,1.046875,1.03125,1.046875,330400,1.023438,-0.023437
1/10/2001,1.039063,1.054688,1.015625,1.023438,534400,1.023438,0
1/11/2001,1.015625,1.039063,1.015625,1.023438,340000,1.039063,0.015625
1/12/2001,1.039063,1.039063,1.007813,1.039063,160000,1.109375,0.070312
1/16/2001,1.039063,1.132813,1.03515,1.109375,5467200,1.125,0.015625
1/17/2001,1.152338,1.171875,1.101563,1.125,4288000,1.164063,0.039063
1/18/2001,1.140625,1.21875,1.125,1.164063,1515200,1.148438,-0.015625
1/19/2001,1.169912,1.171875,1.109375,1.148438,149600,1.179688,0.03125
1/22/2001,1.140625,1.21875,1.125,1.179688,648800,1.121088,-0.0586
1/23/2001,1.132813,1.1875,1.09375,1.121088,688000,1.125,0.003912
1/24/2001,1.087888,1.125,1,1.125,760800,1.078125,-0.046875
1/25/2001,1.132813,1.140625,1.078125,1.078125,227200,1.109375,0.03125
1/26/2001,1.06445,1.109375,1.0625,1.109375,291200,1.109375,0
1/29/2001,1.109375,1.117188,1.078125,1.109375,204800,1.109375,0
1/30/2001,1.109375,1.109375,1.09375,1.109375,116000,1.109375,0
1/31/2001,1.078125,1.125,1.070313,1.109375,215200,1.234375,0.125
2/1/2001,1.06445,1.234375,1.06445,1.234375,2939200,1.1914,-0.042975
2/2/2001,1.257813,1.257813,1.164063,1.1914,393600,1.234375,0.042975
2/5/2001,1.171875,1.242188,1.171875,1.234375,340000,1.382813,0.148438
2/6/2001,1.28125,1.398438,1.273438,1.382813,1124800,1.351563,-0.03125
2/7/2001,1.37695,1.382813,1.320313,1.351563,419200,1.335938,-0.015625
2/8/2001,1.390625,1.390625,1.296875,1.335938,360000,1.304688,-0.03125
2/9/2001,1.304688,1.320313,1.273438,1.304688,365600,1.289063,-0.015625
2/12/2001,1.2832,1.296875,1.210938,1.289063,416000,1.320313,0.03125
2/13/2001,1.25195,1.320313,1.226563,1.320313,509600,1.320313,0
2/14/2001,1.289063,1.320313,1.28125,1.320313,268800,1.4375,0.117187
2/15/2001,1.289063,1.476563,1.289063,1.4375,1436000,1.507813,0.070313
2/16/2001,1.40625,1.507813,1.40625,1.507813,489600,1.570313,0.0625
2/20/2001,1.5,1.570313,1.5,1.570313,410400,1.5,-0.070313
2/21/2001,1.560537,1.5625,1.46875,1.5,627200,1.46875,-0.03125
2/22/2001,1.486325,1.492188,1.4375,1.46875,540000,1.398438,-0.070312
2/23/2001,1.421875,1.429688,1.382813,1.398438,538400,1.382813,-0.015625
2/26/2001,1.382813,1.40625,1.382813,1.382813,52000,1.390625,0.007812
2/27/2001,1.369138,1.398438,1.328125,1.390625,190400,1.398438,0.007813
2/28/2001,1.414063,1.414063,1.359375,1.398438,100800,1.4375,0.039062
3/1/2001,1.40625,1.460938,1.390625,1.4375,248000,1.390625,-0.046875
3/2/2001,1.421875,1.4375,1.382813,1.390625,96000,1.296875,-0.09375
3/5/2001,1.404287,1.429688,1.296875,1.296875,157600,1.398438,0.101563
3/6/2001,1.271475,1.421875,1.265625,1.398438,896000,1.460938,0.0625
3/7/2001,1.40625,1.460938,1.40625,1.460938,664000,1.445313,-0.015625
3/8/2001,1.46875,1.46875,1.40625,1.445313,480000,1.453125,0.007812
3/9/2001,1.414063,1.453125,1.40625,1.453125,1018400,1.5,0.046875
3/12/2001,1.4375,1.5,1.390625,1.5,2371200,1.445313,-0.054687
3/13/2001,1.492188,1.492188,1.421875,1.445313,903200,1.398438,-0.046875
3/14/2001,1.40625,1.445313,1.390625,1.398438,50400,1.414063,0.015625
3/15/2001,1.398438,1.453125,1.382813,1.414063,1388000,1.414063,0
3/16/2001,1.402338,1.421875,1.398438,1.414063,313600,1.429688,0.015625
3/19/2001,1.40625,1.429688,1.40625,1.429688,89600,1.429688,0
3/20/2001,1.4082,1.453125,1.4082,1.429688,133600,1.429688,0
3/21/2001,1.382813,1.4375,1.375,1.429688,117600,1.414063,-0.015625
3/22/2001,1.382813,1.414063,1.328125,1.414063,332000,1.359375,-0.054688
3/23/2001,1.367188,1.40625,1.335938,1.359375,295200,1.34375,-0.015625
3/26/2001,1.357412,1.375,1.34375,1.34375,52000,1.328125,-0.015625
3/27/2001,1.367188,1.367188,1.328125,1.328125,240800,1.328125,0
3/28/2001,1.322263,1.328125,1.320313,1.328125,38400,1.304688,-0.023437
3/29/2001,1.322263,1.322263,1.289063,1.304688,219200,1.335938,0.03125
3/30/2001,1.306638,1.34375,1.296875,1.335938,420000,1.328125,-0.007813
4/2/2001,1.320313,1.335938,1.304688,1.328125,124800,1.304688,-0.023437
4/3/2001,1.328125,1.328125,1.296875,1.304688,292000,1.296875,-0.007813
4/4/2001,1.289063,1.320313,1.234375,1.296875,368800,1.304688,0.007813
4/5/2001,1.228513,1.320313,1.228513,1.304688,369600,1.328125,0.023437
4/6/2001,1.3125,1.335938,1.296875,1.328125,115200,1.325,-0.003125
4/9/2001,1.29625,1.325,1.25,1.325,147200,1.33125,0.00625
4/10/2001,1.30625,1.335,1.30625,1.33125,608000,1.33875,0.0075
