,Open,High,Low,Close,Volume,Next Day Close,Differnece
1/2/2001,1.881987,1.926714,1.667769,1.674831,1164000,1.711086,0.036255
1/3/2001,1.534532,1.729918,1.322667,1.711086,1943900,1.743045,0.031959
1/4/2001,1.585324,1.766586,1.477038,1.743045,2059900,1.696297,-0.046748
1/5/2001,1.974075,1.974075,1.693943,1.696297,664800,1.753063,0.056766
1/8/2001,1.472931,1.795435,1.437621,1.753063,974500,1.729212,-0.023851
1/9/2001,1.844561,1.844561,1.63505,1.729212,760000,1.685326,-0.043886
1/10/2001,1.784196,1.803029,1.572331,1.685326,1095100,1.627129,-0.058197
1/11/2001,1.914323,1.914323,1.589464,1.627129,1534000,1.643824,0.016695
1/12/2001,1.582618,1.780359,1.490811,1.643824,1339000,1.701068,0.057244
1/16/2001,1.359731,1.752856,1.338544,1.701068,739600,1.699636,-0.001432
1/17/2001,1.730238,1.784381,1.645492,1.699636,698800,1.710131,0.010495
1/18/2001,1.658343,1.804293,1.646573,1.710131,520400,1.598507,-0.111624
1/19/2001,2.069317,2.081087,1.532594,1.598507,1289700,1.613296,0.014789
1/22/2001,1.54032,1.801619,1.467345,1.613296,1056900,1.617588,0.004292
1/23/2001,1.638774,1.737644,1.582277,1.617588,706000,1.601847,-0.015741
1/24/2001,1.677177,1.721904,1.540642,1.601847,856400,1.601847,0
1/25/2001,1.484145,1.677177,1.415877,1.601847,2006800,1.592783,-0.009064
1/26/2001,1.548057,1.665759,1.536286,1.592783,1020400,1.63333,0.040547
1/29/2001,1.430881,1.670994,1.430881,1.63333,596800,1.639531,0.006201
1/30/2001,1.552431,1.717215,1.528891,1.639531,567100,1.662905,0.023374
1/31/2001,1.547556,1.79944,1.535786,1.662905,691100,1.667676,0.004771
2/1/2001,1.691217,1.743006,1.622949,1.667676,408200,1.663859,-0.003817
2/2/2001,1.739188,1.80981,1.656796,1.663859,663100,1.664337,0.000478
2/5/2001,1.737312,1.758499,1.548988,1.664337,532300,1.706315,0.041978
2/6/2001,1.513283,1.718085,1.506221,1.706315,889500,1.703453,-0.002862
2/7/2001,1.630477,1.736409,1.437446,1.703453,895900,1.67817,-0.025283
2/8/2001,1.861785,1.861785,1.548697,1.67817,753600,1.640962,-0.037208
2/9/2001,1.765727,1.829286,1.636255,1.640962,468600,1.679125,0.038163
2/12/2001,1.549652,1.71679,1.457845,1.679125,867400,1.723965,0.04484
2/13/2001,1.561535,1.747506,1.502684,1.723965,1166900,1.712039,-0.011926
2/14/2001,1.714392,1.726163,1.639064,1.712039,754000,1.703453,-0.008586
2/15/2001,1.665788,1.722285,1.639894,1.703453,530600,1.709653,0.0062
2/16/2001,1.676696,1.723776,1.617844,1.709653,826700,1.70536,-0.004293
2/20/2001,1.811292,1.917224,1.698298,1.70536,1092200,1.628559,-0.076801
2/21/2001,2.009915,2.009915,1.619143,1.628559,874200,1.660043,0.031484
2/22/2001,1.50703,1.744789,1.471719,1.660043,659300,1.676262,0.016219
2/23/2001,1.643305,1.735113,1.579746,1.676262,757000,1.708223,0.031961
2/26/2001,1.552855,1.832987,1.498712,1.708223,1258300,1.681987,-0.026236
2/27/2001,1.81146,1.84677,1.576055,1.681987,1389100,1.72158,0.039593
2/28/2001,1.545026,1.728642,1.476758,1.72158,1012700,1.65575,-0.06583
3/1/2001,1.881739,1.881739,1.613377,1.65575,1212800,1.67817,0.02242
3/2/2001,1.567529,1.737021,1.480429,1.67817,799000,1.671969,-0.006201
3/5/2001,1.700218,1.700218,1.507186,1.671969,728100,1.696297,0.024328
3/6/2001,1.54093,1.797521,1.517389,1.696297,541200,1.768747,0.07245
3/7/2001,1.620442,1.785224,1.589839,1.768747,724300,1.790328,0.021581
3/8/2001,1.714999,1.790328,1.672626,1.790328,545000,1.780028,-0.0103
3/9/2001,1.805922,1.829462,1.641139,1.780028,449000,1.754031,-0.025997
3/12/2001,1.935292,1.935292,1.746969,1.754031,584500,1.730487,-0.023544
3/13/2001,1.843481,1.843481,1.452709,1.730487,742100,1.674569,-0.055918
3/14/2001,1.90762,2.034739,1.58747,1.674569,712000,1.722149,0.04758
3/15/2001,1.50793,1.766876,1.449079,1.722149,772300,1.704,-0.018149
3/16/2001,1.588651,1.80287,1.588651,1.704,1406100,1.735883,0.031883
3/19/2001,1.691156,1.874772,1.644075,1.735883,1183100,1.751088,0.015205
3/20/2001,1.692236,1.962952,1.67105,1.751088,811800,1.73343,-0.017658
3/21/2001,1.794635,1.869965,1.714598,1.73343,818200,1.662798,-0.070632
3/22/2001,1.891141,1.891141,1.592177,1.662798,956200,1.697133,0.034335
3/23/2001,1.473499,1.708903,1.393461,1.697133,929500,1.733921,0.036788
3/26/2001,1.566784,1.853978,1.566784,1.733921,626600,1.737844,0.003923
3/27/2001,1.766092,1.801403,1.504793,1.737844,1042500,1.720677,-0.017167
3/28/2001,1.748925,1.85015,1.584142,1.720677,815600,1.738335,0.017658
3/29/2001,1.634756,1.775999,1.575905,1.738335,556900,1.716753,-0.021582
3/30/2001,1.834456,1.834456,1.601405,1.716753,954100,1.757465,0.040712
4/2/2001,1.526767,1.769234,1.505581,1.757465,2150800,1.692719,-0.064746
4/3/2001,2.026993,2.026993,1.64093,1.692719,853400,1.738335,0.045616
4/4/2001,1.448787,1.804248,1.448787,1.738335,559900,1.773161,0.034826
4/5/2001,1.573067,1.782577,1.573067,1.773161,638500,1.815344,0.042183
4/6/2001,1.624665,1.815344,1.514025,1.815344,1393800,1.905106,0.089762
4/9/2001,1.568478,1.968665,1.568478,1.905106,2528000,1.878127,-0.026979
4/10/2001,2.162966,2.243004,1.786318,1.878127,1632500,1.824663,-0.053464
4/11/2001,2.012987,2.012987,1.742271,1.824663,1047100,1.842321,0.017658
4/12/2001,1.757575,1.842321,1.498629,1.842321,933700,1.828587,-0.013734
4/16/2001,1.880376,2.115781,1.779153,1.828587,738300,1.884014,0.055427
4/17/2001,1.646254,1.884014,1.634484,1.884014,792300,1.945325,0.061311
4/18/2001,1.742877,2.119525,1.738169,1.945325,1138500,1.939931,-0.005394
4/19/2001,1.965825,1.965825,1.786917,1.939931,771400,1.885976,-0.053955
4/20/2001,2.144922,2.156692,1.756503,1.885976,663100,1.921781,0.035805
4/23/2001,1.820557,2.020651,1.785246,1.921781,658000,1.907558,-0.014223
4/24/2001,1.811041,1.921682,1.698047,1.907558,2043700,1.941893,0.034335
4/25/2001,1.741799,1.944247,1.591139,1.941893,907800,1.960041,0.018148
4/26/2001,1.851755,1.992998,1.816445,1.960041,983400,1.992904,0.032863
4/27/2001,1.856369,2.120023,1.856369,1.992904,1142300,1.990944,-0.00196
4/30/2001,1.953279,1.993298,1.757893,1.990944,1663900,2.002715,0.011771
5/1/2001,1.946218,2.059212,1.889721,2.002715,906500,1.999772,-0.002943
5/2/2001,2.01625,2.084517,1.912672,1.999772,902300,1.986038,-0.013734
5/3/2001,2.021348,2.077845,1.927186,1.986038,780800,2.026749,0.040711
5/4/2001,1.892568,2.127973,1.833716,2.026749,1347900,2.008601,-0.018148
5/7/2001,2.020371,2.109825,1.989768,2.008601,746800,1.974266,-0.034335
5/8/2001,2.127279,2.129633,1.948372,1.974266,974500,1.963475,-0.010791
5/9/2001,2.050575,2.052929,1.909332,1.963475,826700,2.008111,0.044636
5/10/2001,1.791538,2.116397,1.78683,2.008111,1140600,2.002715,-0.005396
5/11/2001,2.038026,2.04038,1.819099,2.002715,622300,1.989963,-0.012752
5/14/2001,2.020565,2.086479,1.961714,1.989963,538600,2.003696,0.013733
5/15/2001,1.933075,2.048423,1.874223,2.003696,538200,2.033616,0.02992
5/16/2001,1.689925,2.040678,1.689925,2.033616,1003800,2.008601,-0.025015
5/17/2001,2.131011,2.159259,1.926209,2.008601,1089200,2.018901,0.0103
5/18/2001,1.969467,2.018901,1.910615,2.018901,868700,2.02773,0.008829
5/21/2001,1.985357,2.030085,1.959463,2.02773,637200,2.0552,0.02747
5/22/2001,1.925728,2.078741,1.923373,2.0552,1191600,2.058632,0.003432
5/23/2001,2.063339,2.063339,1.971532,2.058632,1388700,2.059123,0.000491
5/24/2001,2.061476,2.063831,1.922588,2.059123,745900,2.0552,-0.003923
5/25/2001,2.078741,2.078741,1.937498,2.0552,821100,2.059613,0.004413
5/29/2001,2.038427,2.226751,2.038427,2.059613,1113400,2.013016,-0.046597
5/30/2001,2.283731,2.330812,1.970643,2.013016,1097700,2.028712,0.015696
