,Open,High,Low,Close,Volume,Next Day Close,Difference
1/2/2001,2.120525,2.120525,1.870525,1.870525,703000,2.274962,0.404437
1/3/2001,1.837462,2.274962,1.774962,2.274962,1685100,2.628846,0.353884
1/4/2001,2.441346,2.753846,2.316346,2.628846,3339400,2.628846,0
1/5/2001,2.628846,2.691346,2.378846,2.628846,1200900,2.628846,0
1/8/2001,2.628846,2.691346,2.503846,2.628846,849200,2.881619,0.252773
1/9/2001,2.569119,2.944119,2.506619,2.881619,1447100,3.083838,0.202219
1/10/2001,2.833838,3.083838,2.646338,3.083838,1467600,3.184948,0.10111
1/11/2001,2.934948,3.184948,2.809948,3.184948,1566600,3.083838,-0.10111
1/12/2001,3.083838,3.208838,2.896338,3.083838,733500,3.083838,0
1/16/2001,2.958838,3.146338,2.958838,3.083838,381900,3.083838,0
1/17/2001,3.083838,3.208838,3.021338,3.083838,807500,3.134393,0.050555
1/18/2001,3.134393,3.196893,2.946893,3.134393,1458600,2.982729,-0.151664
1/19/2001,3.357729,3.357729,2.857729,2.982729,4651500,3.538831,0.556102
1/22/2001,2.851331,3.538831,2.726331,3.538831,2872000,3.943269,0.404438
1/23/2001,3.380769,4.005769,3.193269,3.943269,2459000,4.196042,0.252773
1/24/2001,3.883542,4.446042,3.758542,4.196042,4090100,3.892714,-0.303328
1/25/2001,4.267714,4.267714,3.767714,3.892714,3549800,3.336612,-0.556102
1/26/2001,3.961612,4.024112,3.274112,3.336612,3557500,3.639939,0.303327
1/29/2001,3.259939,3.679939,3.219939,3.639939,1880400,3.866426,0.226487
1/30/2001,3.686426,3.936426,3.496426,3.866426,1956000,4.270864,0.404438
1/31/2001,3.870864,4.380864,3.840864,4.270864,4315900,4.117177,-0.153687
2/1/2001,4.207177,4.967177,3.967177,4.117177,1367000,3.801715,-0.315462
2/2/2001,4.101715,4.351715,3.701715,3.801715,1390700,3.882603,0.080888
2/5/2001,3.662603,4.052603,3.492603,3.882603,755800,3.70465,-0.177953
2/6/2001,4.01465,4.07465,3.67465,3.70465,671100,3.526697,-0.177953
2/7/2001,3.746697,3.746697,3.316697,3.526697,1952300,3.470077,-0.05662
2/8/2001,3.540077,3.650077,3.430077,3.470077,761300,3.397277,-0.0728
2/9/2001,3.437277,3.447277,3.247277,3.397277,1081400,3.931135,0.533858
2/12/2001,3.221135,4.011135,3.221135,3.931135,1647600,4.060556,0.129421
2/13/2001,4.090556,4.240556,3.990556,4.060556,2611700,3.96349,-0.097066
2/14/2001,4.06349,4.06349,3.67349,3.96349,746500,4.23042,0.26693
2/15/2001,3.85042,4.26042,3.85042,4.23042,2118600,4.0282,-0.20222
2/16/2001,3.9982,4.0482,3.8982,4.0282,847900,3.639939,-0.388261
2/20/2001,3.889939,4.119939,3.589939,3.639939,1210900,3.486254,-0.153685
2/21/2001,3.576254,3.766254,3.346254,3.486254,1551900,3.518609,0.032355
2/22/2001,3.378609,3.668609,3.318609,3.518609,832900,3.478165,-0.040444
2/23/2001,3.428165,3.628165,3.338165,3.478165,617400,3.623763,0.145598
2/26/2001,3.503763,3.643763,3.423763,3.623763,610500,3.470077,-0.153686
2/27/2001,3.580077,3.590077,3.470077,3.470077,271100,3.332568,-0.137509
2/28/2001,3.502568,3.592568,3.212568,3.332568,1362300,3.114171,-0.218397
3/1/2001,3.334171,3.334171,2.514171,3.114171,3068200,3.154615,0.040444
3/2/2001,2.904615,3.404615,2.724615,3.154615,2181500,3.073728,-0.080887
3/5/2001,3.253728,3.333728,3.023728,3.073728,497400,3.348745,0.275017
3/6/2001,3.258745,3.418745,3.208745,3.348745,1320900,3.57523,0.226485
3/7/2001,3.30523,3.57523,3.25523,3.57523,1024100,3.559053,-0.016177
3/8/2001,3.519053,3.559053,3.309053,3.559053,772000,3.397277,-0.161776
3/9/2001,3.397277,3.447277,3.297277,3.397277,1018600,3.31639,-0.080887
3/12/2001,3.41639,3.41639,3.19639,3.31639,1398000,3.073728,-0.242662
3/13/2001,3.323728,3.353728,3.023728,3.073728,1745000,3.114171,0.040443
3/14/2001,2.864171,3.294171,2.864171,3.114171,826300,3.340657,0.226486
3/15/2001,3.110657,3.450657,3.110657,3.340657,1291300,3.25168,-0.088977
3/16/2001,3.41168,3.43168,3.23168,3.25168,953500,3.437722,0.186042
3/19/2001,3.137722,3.487722,3.097722,3.437722,1047600,3.154615,-0.283107
3/20/2001,3.484615,3.554615,3.154615,3.154615,684500,3.211236,0.056621
3/21/2001,3.141236,3.291236,3.111236,3.211236,911900,3.235503,0.024267
3/22/2001,3.205503,3.285503,3.135503,3.235503,1097000,3.413455,0.177952
3/23/2001,3.243455,3.423455,3.243455,3.413455,569500,3.397277,-0.016178
3/26/2001,3.447277,3.497277,3.297277,3.397277,465500,3.550965,0.153688
3/27/2001,3.400965,3.590965,3.310965,3.550965,708300,3.502431,-0.048534
3/28/2001,3.522431,3.522431,3.352431,3.502431,655100,3.688473,0.186042
3/29/2001,3.518473,3.858473,3.468473,3.688473,1154400,3.850248,0.161775
3/30/2001,3.550248,3.850248,3.490248,3.850248,888400,3.882603,0.032355
4/2/2001,3.782603,3.882603,3.432603,3.882603,949400,3.429633,-0.45297
4/3/2001,3.939633,3.939633,3.189633,3.429633,1049100,3.114171,-0.315462
4/4/2001,3.464171,3.494171,3.014171,3.114171,2200200,3.332568,0.218397
4/5/2001,3.162568,3.342568,3.122568,3.332568,1174200,3.235503,-0.097065
4/6/2001,3.285503,3.325503,3.165503,3.235503,614100,3.267858,0.032355
4/9/2001,3.227858,3.327858,3.217858,3.267858,444800,3.77745,0.509592
4/10/2001,3.40745,3.86745,3.40745,3.77745,2704100,3.874513,0.097063
4/11/2001,3.784513,3.934513,3.684513,3.874513,2313900,4.052467,0.177954
4/12/2001,3.842467,4.072467,3.742467,4.052467,3015900,4.238509,0.186042
4/16/2001,3.968509,4.268509,3.938509,4.238509,2422200,4.084822,-0.153687
4/17/2001,4.194822,4.334822,4.044822,4.084822,1775200,4.319396,0.234574
4/18/2001,4.089396,4.559396,4.029396,4.319396,3587300,4.343663,0.024267
4/19/2001,4.273663,4.353663,4.123663,4.343663,1590100,4.141443,-0.20222
4/20/2001,4.381443,4.441443,4.071443,4.141443,778800,4.068644,-0.072799
4/23/2001,4.158644,4.178644,4.038644,4.068644,1227800,4.125264,0.05662
4/24/2001,4.085264,4.175264,3.925264,4.125264,1114000,4.222331,0.097067
4/25/2001,4.102331,4.252331,4.052331,4.222331,583400,4.092911,-0.12942
