Sample,Total Profit,,
0,1.003007,,avg
1,1.100074,,1.13922466
2,1.229494,,
3,1.294204,,
4,1.706731,,
5,1.65011,,
6,1.294204,,
7,0.541949,,
8,1.45598,,
9,1.197137,1.247289,
0,3.445819,,
1,1.666291,,
2,1.965574,,
3,1.100077,,
4,0.703728,,
5,1.803799,,
6,1.731,,
7,1.666291,,
8,1.027278,,
9,0.865503,1.597536,
0,0.28311,,
1,1.091985,,
2,1.45598,,
3,1.091985,,
4,1.45598,,
5,2.264855,,
6,0.28311,,
7,2.022195,,
8,1.091985,,
9,0.28311,1.1324295,
0,1.45598,,
1,1.45598,,
2,1.45598,,
3,1.98175,,
4,1.45598,,
5,1.5126,,
6,1.45598,,
7,1.45598,,
8,1.45598,,
9,1.45598,1.514219,
0,-0.331638,,
1,0.436797,,
2,-0.331638,,
3,-0.331638,,
4,-0.331638,,
5,-0.331638,,
6,-0.331638,,
7,-0.331638,,
8,0.436797,,
9,-0.331638,-0.177951,
0,0.68755,,
1,0.68755,,
2,0.68755,,
3,2.426635,,
4,2.426635,,
5,2.426635,,
6,0.68755,,
7,2.426635,,
8,0.68755,,
9,0.68755,1.383184,
0,0.28311,,
1,2.992845,,
2,2.992845,,
3,2.992845,,
4,0.28311,,
5,2.992845,,
6,2.992845,,
7,0.28311,,
8,0.28311,,
9,0.768435,1.68651,
0,0.533864,,
1,0.533864,,
2,0.533864,,
3,0.533864,,
4,0.533864,,
5,-0.234571,,
6,0.533864,,
7,1.811888,,
8,0.33973,,
9,1.706734,0.6826965,
0,0.355909,,
1,1.294205,,
2,1.326559,,
3,1.326559,,
4,0.355909,,
5,1.326559,,
6,2.030281,,
7,2.264855,,
8,0.970655,,
9,2.264855,1.3516346,
0,0.28311,,
1,1.45598,,
2,1.98175,,
3,0.28311,,
4,0.28311,,
5,1.45598,,
6,1.45598,,
7,0.28311,,
8,1.98175,,
9,0.28311,0.974699,
