Sample,Total Profit,,
0,-89.065284,,avg
1,-73.235613,,-6.8066083
2,-60.641402,,
3,-63.973968,,
4,-36.447943,,
5,6.139363,,
6,-86.298931,,
7,-49.025954,,
8,-111.066704,,
9,-39.044423,,
0,9.94107,,
1,5.06355,,
2,5.201061,,
3,0.412517,,
4,9.787384,,
5,9.277785,,
6,9.277785,,
7,9.277785,,
8,5.969496,,
9,0.412517,,
0,1.221401,,
1,1.221401,,
2,0,,
3,-1.650109,,
4,0,,
5,0.914026,,
6,-4.408373,,
7,1.221401,,
8,-1.213315,,
9,-0.485325,,
0,-0.485327,,
1,-0.283107,,
2,-1.577308,,
3,-0.687546,,
4,-0.19413,,
5,-13.548667,,
6,-0.825059,,
7,-0.129421,,
8,-9.035141,,
9,0.461059,,
0,-1.375095,,
1,-1.601578,,
2,-1.763353,,
3,-1.86042,,
4,-14.236212,,
5,-22.066125,,
6,-2.750179,,
7,0,,
8,0,,
9,0,,
0,0.663276,,
1,-1.278027,,
2,-0.266927,,
3,-1.091995,,
4,-0.816979,,
5,0.687555,,
6,1.431719,,
7,-1.116252,,
8,-0.388272,,
9,-0.719916,,
0,-9.172646,,
1,-0.703719,,
2,-10.677152,,
3,-6.608508,,
4,-0.355902,,
5,-2.539869,,
6,-6.640872,,
7,0.258837,,
8,-1.577308,,
9,-6.373935,,
0,-3.939213,,
1,-4.424538,,
2,0.808885,,
3,-0.080885,,
4,2.06264,,
5,1.29421,,
6,0.962564,,
7,0.307375,,
8,1.577315,,
9,0.808885,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,2.386185,,
1,3.559055,,
2,-0.485325,,
3,2.386185,,
4,2.386185,,
5,2.386185,,
6,-18.72547,,
7,-18.72547,,
8,2.87152,,
9,2.386185,,
