Day,Profit
0,0
1,-3.4134549999998853
2,-6.810731999999916
3,-10.361697000000277
4,-13.864128000001074
5,-17.552601000001232
6,-21.40284900000188
7,-25.285452000001897
8,-28.715085000001636
9,-31.829256000000896
10,-35.161824000000706
11,-38.39732700000059
12,-22.058037000000695
13,-3.170787000000928
14,-7.045300000001589
15,-11.097767000001113
16,-15.336276000001817
17,-19.42109800000253
18,-23.74049400000331
19,-28.08415700000296
20,-32.225600000003396
21,-36.294244000004255
22,-15.66792400000486
23,1.221399999994901
