Sample,Total Profit,,
0,0,,avg
1,0,,-2.083548214
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,0,,
1,-0.485325,,
2,0,,
3,0,,
4,0,,
5,-0.485325,,
6,-0.485325,,
7,0,,
8,0,,
9,0,,
0,-10.709517,,
1,-10.709517,,
2,-10.709517,,
3,-10.709517,,
4,-10.73378,,
5,-10.709517,,
6,-10.709517,,
7,-10.709513,,
8,-10.68525,,
9,-7.805653,,
0,0.703724,,
1,-11.874286,,
2,-20.966052,,
3,0.655196,,
4,-19.61523,,
5,1.100077,,
6,1.075808,,
7,-12.594191,,
8,-5.831991,,
9,1.075808,,
0,-2.370005,,
1,-2.370005,,
2,-2.370005,,
3,-2.370005,,
4,-2.370005,,
5,-3.825983,,
6,-2.370005,,
7,-2.370005,,
8,-3.63185,,
9,-3.825983,,
0,-1.730994,,
1,0.873583,,
2,0.905942,,
3,0.905942,,
4,-2.887687,,
5,-2.887687,,
6,0.50959,,
7,1.633929,,
8,0.210306,,
9,0.938293,,
0,-0.080887,,
1,-0.404435,,
2,0,,
3,0.202215,,
4,0,,
5,0,,
6,-0.404435,,
7,0,,
8,0,,
9,-1.21331,,
0,0.444875,,
1,0.444875,,
2,0.60665,,
3,0.68754,,
4,-0.444885,,
5,0.68754,,
6,0.60665,,
7,0.9302,,
8,-0.444885,,
9,-0.444885,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,0,,
1,0.76844,,
2,0.76844,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,-16.363555,,
1,-16.080448,,
2,-16.363555,,
3,0.436791,,
4,-16.363555,,
5,-16.363555,,
6,0.590479,,
7,0.744167,,
8,-16.201782,,
9,1.39127,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
0,1.310382,,
1,0,,
2,0,,
3,0,,
4,0.177952,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
