Section ID,Cross Listed Courses,Course Title
ANTH 243A,INCL 243A,Cultural Anthropology
ANTH 310A,INCL 310A,Intercultural Competencies
ART 224A,COMM 224A,Motion Media Design and Animation
ART 228A,COMM 228A,Digital Video I
ART 245A,COMM 243A,Graphic Design I
ART 283A,COMM 283A,Introduction to Digital Photography
ART 284A,COMM 284A,Introduction to Digital Imaging
ART 345A,COMM 345A,Graphic Design II
ART 380A,COMM 380A,Lighting for the Still and Moving Image
BADM 218A,COMM 218A,Marketing Principles
BADM 312A,COMM 312A,Advertising Principles
BADM 315ONL1,COMM 313ONL1,Public Relations Principles
COMM 207A,MUS 207A,Introduction to Pro Tools
COMM 218A,BADM 218A,Marketing Principles
COMM 224A,ART 224A,Motion Media Design and Animation
COMM 228A,ART 228A,Digital Video I
COMM 243A,ART 245A,Graphic Design I
COMM 283A,ART 283A,Introduction to Digital Photography
COMM 284A,ART 284A,Introduction to Digital Imaging
COMM 312A,BADM 312A,Advertising Principles
COMM 313ONL1,BADM 315ONL1,Public Relations Principles
COMM 345A,ART 345A,Graphic Design II
COMM 380A,ART 380A,Lighting for the Still and Moving Image
CSCI 214A,MATH 214A,Discrete Mathematics
EDUC 371A,LING 371A,TESOL Methods: ELA
HIST 295A,POLS 295A,ST: Luther as Political Thinker
IDEV 389B,INCL 389B,International Development Internship
INCL 215A,REL 215A,Islam: A Christian Introduction
INCL 243A,ANTH 243A,Cultural Anthropology
INCL 243A,SOC 243A,Cultural Anthropology
INCL 310A,ANTH 310A,Intercultural Competencies
INCL 389A,LING 389A,Intercultural Internship
INCL 389B,IDEV 389B,Intercultural Internship
INCL 389B,LING 389B,Intercultural Internship
INDS 321A,"INDS 322A, INDS 323A, INDS 324A",Honors Sem: Communication & Conservation
INDS 321B,"INDS 322B, INDS 323B, INDS 324B",Honors Seminar: Religion and Violence
INDS 321C,"INDS 322C, INDS 323C, INDS 324C",Honors Seminar: Danteês Divine Comedy
INDS 322A,"INDS 321A, INDS 323A, INDS 324A",Honors Sem: Communication & Conservation
INDS 322B,"INDS 321B, INDS 323B, INDS 324B",Honors Seminar: Religion and Violence
INDS 322C,"INDS 321C, INDS 323C, INDS 324C",Honors Seminar: Danteês Divine Comedy
INDS 323A,"INDS 321A, INDS 322A, INDS 324A",Honors Sem: Communication & Conservation
INDS 323B,"INDS 321B, INDS 322B, INDS 324B",Honors Seminar: Religion and Violence
INDS 323C,"INDS 321C, INDS 322C, INDS 324C",Honors Seminar: Danteês Divine Comedy
INDS 324A,"INDS 321A, INDS 322A, INDS 323A",Honors Sem: Communication & Conservation
INDS 324B,"INDS 321B, INDS 322B, INDS 323B",Honors Seminar: Religion and Violence
INDS 324C,"INDS 321C, INDS 322C, INDS 323C",Honors Seminar: Danteês Divine Comedy
LING 371A,EDUC 371A,TESOL Methods: ELA
LING 389A,INCL 389A,Internship
LING 389B,INCL 389B,Internship
MATH 214A,CSCI 214A,Discrete Mathematics
MUS 207A,COMM 207A,Introduction to Pro Tools
POLS 295A,HIST 295A,ST: Luther as Political Thinker
PSY 218A,SOC 218A,Social Psychology
REL 215A,INCL 215A,Islam: A Christian Introduction
SOC 218A,PSY 218A,Social Psychology
SOC 243A,INCL 243A,Cultural Anthropology
